primitive_seed_id,top_instrument_weight_share,top_instrument_year_weight_share,top5_instrument_weight_share,instrument_hhi,instrument_year_hhi,max_single_event_weight_share,support_count,weighted_support,concentration_pass,pass
E10C_SEED_cbf63de235d8a660,0.09721920820079752,0.06840309258378764,0.4749635270694295,0.07779223007871583,0.04508235770933476,0.012382848047721159,1358,1344.2944507677762,True,True
E10C_SEED_fd035923866fd1e4,0.09861017889008919,0.0672573140499148,0.47429535940441114,0.0778368145698968,0.04504929471716158,0.012560016520938485,1337,1325.3321671593103,True,True
E10C_SEED_2576d8f88654df29,0.09827383604584816,0.06702791058915468,0.47472264148183013,0.07785269847851133,0.045109888560921324,0.01251717640313406,1340,1329.8681251375717,True,True
E10C_SEED_10252ec52570449e,0.1660200375289795,0.0788830700819332,0.5822756443490243,0.09161454533715073,0.042490177085607594,0.013553739343915844,1128,1228.1624644585245,False,False
E10C_SEED_cb5fb1523206af15,0.1589705757847454,0.09071413036600091,0.6103969207071954,0.10271792098315784,0.06046323264505424,0.015586559657398235,1036,1067.9838451297333,False,False
E10C_SEED_348502511b66a9da,0.1130215860052422,0.07595435524401342,0.4767365581234055,0.08235021162104035,0.04901968381089062,0.014879151997733658,1111,1256.9841117712663,True,True
E10C_SEED_ae3b660a4862e871,0.17802648780271008,0.08458783724422596,0.6187494057394175,0.09970689729189851,0.04568468546254341,0.014533936071238145,1048,1145.3328151204712,False,False
E10C_SEED_dc129ba4bf693d78,0.11554102533929325,0.08226794870972785,0.49987858021819953,0.08217188990642212,0.051000393158788355,0.014135331345650419,1127,1177.6302591148203,True,True
E10C_SEED_27fd3e12ebde8180,0.1506488398932351,0.0859654589165368,0.6633976563960079,0.11697582718077765,0.06508070844021835,0.014770639904413458,1037,1126.9785211051199,False,False
E10C_SEED_453d5ee94b815758,0.1085776276855153,0.0839025997642293,0.4758203258894101,0.08015425558620203,0.04883217816766464,0.016634200127540365,1086,1124.3617074689134,True,True
E10C_SEED_7400f6587f37602f,0.12001485973892977,0.049720492794557536,0.4840577026554899,0.07331220273045604,0.02896940331035009,0.018962296817685666,1508,1531.8773145629955,True,True
