feature_bank_v2_scope_id,fold_id,feature_name,feature_family,drop_reason,selection_inputs,labels_read_for_v2,oof_metric_read_for_v2,fold_2024_used_for_v2,pass
v2_hygiene_fold_fold_2021,fold_2021,close_location,kbar_candle_shape,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,lower_shadow_pct,kbar_candle_shape,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,open_close_ratio,kbar_candle_shape,duplicate_or_high_corr_non_representative,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,upper_shadow_pct,kbar_candle_shape,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,close_over_close_120d,rolling_return,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,close_over_close_1d,rolling_return,duplicate_or_high_corr_non_representative,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,close_over_close_40d,rolling_return,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,close_over_close_60d,rolling_return,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,ret_10d,rolling_return,duplicate_or_high_corr_non_representative,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,ret_120d,rolling_return,missingness,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,ret_1d,rolling_return,duplicate_or_high_corr_non_representative,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
v2_hygiene_fold_fold_2021,fold_2021,ret_20d,rolling_return,duplicate_or_high_corr_non_representative,train_scope_unsupervised_missingness_correlation_complexity_family_coverage,False,False,False,True
