feature_bank_version,probe_contract_id,fixed_lgbm_only,hyperparameter_search_used,early_stopping_used,metric_selection_used,fold_2024_used_for_probe_selection,recommendation_eligible,pass
v1_reference,explore10c_fixed_lightgbm_no_inner_validation,True,False,False,False,False,False,True
v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,True,False,False,False,False,True,True
