feature_bank_version,target_industry,task,fold_id,train_scope_rows,v1_feature_count,missing_weight_share,missing_row_rate,constant_or_near_constant_rate,duplicate_or_high_corr_cluster_count,max_feature_family_share,pass
alpha158_like_v1,电子,launch_winner,fold_2021,643,164,0.12852399598050604,0.10745173159352121,0.03048780487804878,16,0.2926829268292683,True
alpha158_like_v1,电子,launch_winner,fold_2022,1033,164,0.09434499348416132,0.08576133922036219,0.03048780487804878,20,0.2926829268292683,True
alpha158_like_v1,电子,launch_winner,fold_2023,1425,164,0.07754308128888601,0.0745186136071887,0.03048780487804878,23,0.2926829268292683,True
