path_pattern_id,task,fold_id,path_count,path_train_support_count,path_oof_support_count
E10C_PATH_00476b09acc2ea65,failure_reject,fold_2021,1,150,0
E10C_PATH_0053f7b9c3026c7a,failure_reject,fold_2023,1,107,0
E10C_PATH_00697286ca8adb6f,launch_winner,fold_2023,1,57,38
E10C_PATH_0075f3a51d206e75,launch_winner,fold_2022,1,307,107
E10C_PATH_00af7ff544400c60,launch_winner,fold_2022,1,69,0
E10C_PATH_00c372f8cf620aa8,launch_winner,fold_2021,1,173,130
E10C_PATH_00d230a77c842e3c,launch_winner,fold_2022,1,342,90
E10C_PATH_01619ca4dd02b8b0,failure_reject,fold_2022,1,129,28
E10C_PATH_0176ac7568d04e22,failure_reject,fold_2023,1,127,75
E10C_PATH_017aa41de57ada23,launch_winner,fold_2022,1,60,13
E10C_PATH_01960b1eabd5610a,launch_winner,fold_2023,1,69,50
E10C_PATH_01badb91801bad2d,launch_winner,fold_2022,1,124,15
E10C_PATH_01c813e576be89f0,launch_winner,fold_2023,1,85,19
E10C_PATH_02041c1b1a6f0932,launch_winner,fold_2021,1,40,8
E10C_PATH_0233406419bc7889,launch_winner,fold_2023,1,242,60
E10C_PATH_02cf7f27e583a25f,launch_winner,fold_2022,1,285,106
E10C_PATH_0308ca74785c75c5,launch_winner,fold_2023,1,114,23
E10C_PATH_032a5724a80c5866,failure_reject,fold_2023,1,1486,1
E10C_PATH_033bc70f1067229f,launch_winner,fold_2023,1,722,131
E10C_PATH_035dc490311d6fe8,failure_reject,fold_2022,1,876,412
E10C_PATH_037f6c75e0cb0619,launch_winner,fold_2022,2,148,66
E10C_PATH_038389686a1c39d9,launch_winner,fold_2023,1,390,22
E10C_PATH_03a26d987e38d79c,launch_winner,fold_2021,1,51,16
E10C_PATH_03a2cbafae72d9e5,launch_winner,fold_2021,1,244,97
E10C_PATH_03d79b7aaf4dadd7,launch_winner,fold_2022,3,1455,438
E10C_PATH_042eba7a2c8109a3,launch_winner,fold_2022,1,42,32
E10C_PATH_043fbd224a3d2d38,launch_winner,fold_2022,1,50,0
