primitive_seed_id,target_industry,task,fold_id,baseline_name,candidate_event_count,baseline_event_count,candidate_positive_rate,baseline_positive_rate,lift,pass
E10C_SEED_cbf63de235d8a660,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_cbf63de235d8a660,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,447,1039,0.7520941276554112,0.7023441613397531,1.0708341708440456,True
E10C_SEED_cbf63de235d8a660,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,911,1043,0.4499549286470133,0.44445076643134734,1.0123841888267193,True
E10C_SEED_fd035923866fd1e4,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_fd035923866fd1e4,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,443,1039,0.75733617925467,0.7023441613397531,1.078297821697581,True
E10C_SEED_fd035923866fd1e4,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,894,1043,0.451354181388643,0.44445076643134734,1.0155324627128572,True
E10C_SEED_2576d8f88654df29,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_2576d8f88654df29,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,442,1039,0.7579065056832878,0.7023441613397531,1.0791098544017894,True
E10C_SEED_2576d8f88654df29,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,898,1043,0.4487984155493442,0.44445076643134734,1.0097820713707069,True
E10C_SEED_10252ec52570449e,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,240,1200,0.769524923381974,0.5736149640457191,1.3415356495487802,True
E10C_SEED_10252ec52570449e,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,209,1039,0.7602260428397467,0.7023441613397531,1.0824124192754465,True
E10C_SEED_10252ec52570449e,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,679,1043,0.47859047059808296,0.44445076643134734,1.0768132417474614,True
E10C_SEED_cb5fb1523206af15,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_cb5fb1523206af15,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,296,1039,0.5636924930737544,0.7023441613397531,0.802587284271696,True
E10C_SEED_cb5fb1523206af15,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,740,1043,0.47256260917808884,0.44445076643134734,1.063250746471789,True
E10C_SEED_348502511b66a9da,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_348502511b66a9da,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,237,1039,0.8432022293066676,0.7023441613397531,1.2005541951088785,True
E10C_SEED_348502511b66a9da,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,874,1043,0.44434290332579923,0.44445076643134734,0.9997573114646326,True
E10C_SEED_ae3b660a4862e871,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,229,1200,0.7601225345898162,0.5736149640457191,1.3251441859686766,True
E10C_SEED_ae3b660a4862e871,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,186,1039,0.7414465869944604,0.7023441613397531,1.0556741663234128,True
E10C_SEED_ae3b660a4862e871,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,633,1043,0.4783891772806035,0.44445076643134734,1.0763603382254454,True
E10C_SEED_dc129ba4bf693d78,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_dc129ba4bf693d78,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,257,1039,0.9121370153144966,0.7023441613397531,1.2987037773255696,True
E10C_SEED_dc129ba4bf693d78,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,870,1043,0.45327201892506985,0.44445076643134734,1.0198475357901877,True
E10C_SEED_27fd3e12ebde8180,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_27fd3e12ebde8180,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,335,1039,0.6262826762370588,0.7023441613397531,0.8917033994308381,True
E10C_SEED_27fd3e12ebde8180,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,702,1043,0.3653593513834355,0.44445076643134734,0.8220468474315731,True
E10C_SEED_453d5ee94b815758,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,0,1200,,0.5736149640457191,,True
E10C_SEED_453d5ee94b815758,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,250,1039,0.8699144296325704,0.7023441613397531,1.238587116568563,True
E10C_SEED_453d5ee94b815758,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,836,1043,0.48521081850359626,0.44445076643134734,1.091708812653257,True
E10C_SEED_7400f6587f37602f,电子,failure_reject,fold_2021,candidate_scope_weighted_baseline,576,1200,0.5281079650873646,0.5736149640457191,0.9206662974107358,True
E10C_SEED_7400f6587f37602f,电子,failure_reject,fold_2022,candidate_scope_weighted_baseline,456,1039,0.6939603084100032,0.7023441613397531,0.9880630417518425,True
E10C_SEED_7400f6587f37602f,电子,failure_reject,fold_2023,candidate_scope_weighted_baseline,476,1043,0.4577636977649698,0.44445076643134734,1.0299536694255624,True
