path_pattern_raw_id,path_pattern_id,target_industry,task,feature_bank_version,probe_contract_id,source_fold_id,source_tree_id_internal_only,source_leaf_id_internal_only,path_depth,feature_name_list,feature_family_list,split_direction_list,raw_threshold_internal_list,split_threshold_quantile_list,quantile_bucket_count,quantile_source_row_count,quantile_source_excludes_validation_rows,missing_branch_token_list,tie_policy,formula_tokens,raw_numeric_threshold_in_formula,leaf_id_in_formula,tree_id_in_formula,canonicalization_pass,path_train_support_count,path_oof_support_count,path_train_weighted_support,path_oof_weighted_support,token_json,pass
E10C_RAW_221b77af476d49f8,E10C_PATH_1dd19c670eecbe1e,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,0,0,3,atr_like_10;gap_open_pct;amplitude_5,volatility_range;kbar_candle_shape;volatility_range,less_than;less_than;less_than,3.5685001373291017;-0.002731561660766601;0.1028407937260243,q80_85;q30_35;q35_40,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct <= train_q30_35 and amplitude_5 <= train_q35_40,False,False,False,True,95,36,69.34648138392885,36.64783012126762,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""less_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""amplitude_5"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q35_40"", ""quantile_level"": 0.39999999999999997}]",True
E10C_RAW_0d63efdf403d6d23,E10C_PATH_5c5d7fa4e5cff737,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,0,4,3,atr_like_10;gap_open_pct;amplitude_5,volatility_range;kbar_candle_shape;volatility_range,less_than;less_than;greater_than,3.5685001373291017;-0.002731561660766601;0.1028407937260243,q80_85;q30_35;q35_40,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct <= train_q30_35 and amplitude_5 >= train_q35_40,False,False,False,True,90,43,73.14317270808868,37.9495854329494,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""less_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""amplitude_5"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q35_40"", ""quantile_level"": 0.39999999999999997}]",True
E10C_RAW_0ecff18e10968c2d,E10C_PATH_1d20ceff1dc692b1,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,0,2,3,atr_like_10;gap_open_pct;market_volatility_regime,volatility_range;kbar_candle_shape;industry_market_context,less_than;greater_than;less_than,3.5685001373291017;-0.002731561660766601;0.18918826004647946,q80_85;q30_35;q25_30,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q30_35 and market_volatility_regime <= train_q25_30,False,False,False,True,100,0,90.16090304420136,0.0,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}]",True
E10C_RAW_f1fecb0d8c460dd0,E10C_PATH_2964fd7e87244a33,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,0,3,3,atr_like_10;gap_open_pct;market_volatility_regime,volatility_range;kbar_candle_shape;industry_market_context,less_than;greater_than;greater_than,3.5685001373291017;-0.002731561660766601;0.18918826004647946,q80_85;q30_35;q25_30,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q30_35 and market_volatility_regime >= train_q25_30,False,False,False,True,262,171,185.30507056940883,202.54841777911628,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}]",True
E10C_RAW_78999bba26f1d357,E10C_PATH_662b22590699bb29,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,0,1,1,atr_like_10,volatility_range,greater_than,3.5685001373291017,q80_85,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 >= train_q80_85,False,False,False,True,96,162,69.0443722943723,138.24609375,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}]",True
E10C_RAW_d08630978484ff2b,E10C_PATH_33393153c9cd6e31,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,1,0,3,atr_like_10;gap_open_pct;close_over_close_20d,volatility_range;kbar_candle_shape;rolling_return,less_than;less_than;less_than,2.808499908447266;-0.004118651151657104;1.0978164672851565,q80_85;q25_30;q55_60,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct <= train_q25_30 and close_over_close_20d <= train_q55_60,False,False,False,True,106,39,79.70348644119653,36.837930421294395,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""less_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}, {""feature_name"": ""close_over_close_20d"", ""feature_family"": ""rolling_return"", ""direction"": ""less_than"", ""quantile_bucket"": ""q55_60"", ""quantile_level"": 0.6}]",True
E10C_RAW_87a38c743027fa7b,E10C_PATH_26891e13cbe8d307,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,1,4,3,atr_like_10;gap_open_pct;close_over_close_20d,volatility_range;kbar_candle_shape;rolling_return,less_than;less_than;greater_than,2.808499908447266;-0.004118651151657104;1.0978164672851565,q80_85;q25_30;q55_60,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct <= train_q25_30 and close_over_close_20d >= train_q55_60,False,False,False,True,48,16,25.521578759709016,15.288695505883005,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""less_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}, {""feature_name"": ""close_over_close_20d"", ""feature_family"": ""rolling_return"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q55_60"", ""quantile_level"": 0.6}]",True
E10C_RAW_9419a3a213fc8401,E10C_PATH_eb1fb3421633bcec,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,1,2,3,atr_like_10;gap_open_pct;market_volatility_regime,volatility_range;kbar_candle_shape;industry_market_context,less_than;greater_than;less_than,2.808499908447266;-0.004118651151657104;0.22192440445359166,q80_85;q25_30;q30_35,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and market_volatility_regime <= train_q30_35,False,False,False,True,134,0,124.93229675320012,0.0,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""less_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}]",True
E10C_RAW_0f188c6216de7a07,E10C_PATH_8415143f45b010b6,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,1,3,3,atr_like_10;gap_open_pct;market_volatility_regime,volatility_range;kbar_candle_shape;industry_market_context,less_than;greater_than;greater_than,2.808499908447266;-0.004118651151657104;0.22192440445359166,q80_85;q25_30;q30_35,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 <= train_q80_85 and gap_open_pct >= train_q25_30 and market_volatility_regime >= train_q30_35,False,False,False,True,259,195,187.79826575152208,225.01920740615594,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""less_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}, {""feature_name"": ""gap_open_pct"", ""feature_family"": ""kbar_candle_shape"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q25_30"", ""quantile_level"": 0.3}, {""feature_name"": ""market_volatility_regime"", ""feature_family"": ""industry_market_context"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q30_35"", ""quantile_level"": 0.35}]",True
E10C_RAW_f4833e448ec23081,E10C_PATH_662b22590699bb29,电子,launch_winner,v2_hygiene,explore10c_fixed_lightgbm_no_inner_validation,fold_2021,1,1,1,atr_like_10,volatility_range,greater_than,2.808499908447266,q80_85,20,643,True,explicit_missing_branch_token,average_rank_then_lower_bucket,atr_like_10 >= train_q80_85,False,False,False,True,96,162,69.0443722943723,138.24609375,"[{""feature_name"": ""atr_like_10"", ""feature_family"": ""volatility_range"", ""direction"": ""greater_than"", ""quantile_bucket"": ""q80_85"", ""quantile_level"": 0.85}]",True
