primitive_seed_id,fold_id,baseline_name,candidate_baseline_missing_row_rate,candidate_baseline_missing_weight_share,candidate_baseline_sparse_cell_weight_share,baseline_sparsity_pass,pass
E10C_SEED_cbf63de235d8a660,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_cbf63de235d8a660,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_cbf63de235d8a660,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_fd035923866fd1e4,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_fd035923866fd1e4,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_fd035923866fd1e4,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_2576d8f88654df29,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_2576d8f88654df29,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_2576d8f88654df29,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_10252ec52570449e,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_10252ec52570449e,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_10252ec52570449e,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_cb5fb1523206af15,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_cb5fb1523206af15,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_cb5fb1523206af15,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_348502511b66a9da,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_348502511b66a9da,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_348502511b66a9da,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_ae3b660a4862e871,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_ae3b660a4862e871,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_ae3b660a4862e871,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_dc129ba4bf693d78,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_dc129ba4bf693d78,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_dc129ba4bf693d78,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_27fd3e12ebde8180,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_27fd3e12ebde8180,fold_2022,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_27fd3e12ebde8180,fold_2023,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
E10C_SEED_453d5ee94b815758,fold_2021,candidate_scope_weighted_baseline,0.0,0.0,0.0,True,True
