artifact_name,artifact_path,required_by_section,produced,schema_pass,row_count,column_count,sha256,artifact_authority,git_check_ignore_pass,tracked_by_git,authority_pass,pass
explore10c_run_manifest.json,Explore10/outputs/explore10c/reports/explore10c_run_manifest.json,14,True,True,1,24,fce52faabecbed311b37f33241f5ad626e9b62d3ad8273f6b83b0ec70b1f8bff,required_output,True,False,True,True
explore10c_preflight_reference_artifact_audit.csv,Explore10/outputs/explore10c/reports/explore10c_preflight_reference_artifact_audit.csv,14,True,True,16,11,9a00639465798795c0073d04e298f9e35326a37c9825bd16c10b035bd05275c2,required_output,True,False,True,True
explore10c_scope_selection_lineage_audit.csv,Explore10/outputs/explore10c/reports/explore10c_scope_selection_lineage_audit.csv,14,True,True,1,16,6164f0c327bc6150e902ef2e8799b3429f02e103d44f26df0cc5fa6c2fbde020,required_output,True,False,True,True
explore10c_explore10b_width_inheritance_gate.csv,Explore10/outputs/explore10c/reports/explore10c_explore10b_width_inheritance_gate.csv,14,True,True,1,13,90a6b6835355a73187c9123e636b5756c1d0e4ab54e220880fa8107500a2183b,required_output,True,False,True,True
explore10c_data_discipline_audit.csv,Explore10/outputs/explore10c/reports/explore10c_data_discipline_audit.csv,14,True,True,35,27,84f2596f792171344008c37271ed8d9dc6569494b1c56dee0eb610cda24266f4,required_output,True,False,True,True
explore10c_feature_bank_v1_profile_audit.csv,Explore10/outputs/explore10c/reports/explore10c_feature_bank_v1_profile_audit.csv,14,True,True,3,12,94d14329db40123fbde869e5f93eb8de239e5754902997c5113d903d66ddfa4b,required_output,True,False,True,True
explore10c_feature_bank_v1_to_v2_hygiene_audit.csv,Explore10/outputs/explore10c/reports/explore10c_feature_bank_v1_to_v2_hygiene_audit.csv,14,True,True,4,32,a928a5f6f3065ab9e1e8a3e4ebdc2c9745a106351ac7c1a8d179420318b53d68,required_output,True,False,True,True
explore10c_feature_bank_v2_dictionary.csv,Explore10/outputs/explore10c/reports/explore10c_feature_bank_v2_dictionary.csv,14,True,True,81,25,8ac388861d6487b82e35ee9f5592b3871ef881ccefb481510ed3060f206cac3e,required_output,True,False,True,True
explore10c_feature_bank_v2_feature_drop_log.csv,Explore10/outputs/explore10c/reports/explore10c_feature_bank_v2_feature_drop_log.csv,14,True,True,217,10,079324120f957f5e69b63520b6df8d18090cbdc4e12c8c9e6f22409a42bea9f2,required_output,True,False,True,True
explore10c_feature_bank_v2_duplicate_cluster_audit.csv,Explore10/outputs/explore10c/reports/explore10c_feature_bank_v2_duplicate_cluster_audit.csv,14,True,True,167,10,bc4d347b6909b4c5e7a4dc325dee120712f03ba86deb8de9a78c9e4f569a0326,required_output,True,False,True,True
