dataset_id,provider,board_type,role,cached_files,rows,first_date,last_date
eastmoney_industry_current_membership,eastmoney,industry,current_membership,390,12278,,
ths_industry_current_info,ths,industry,current_info,15,150,,
ths_industry_historical_index_ohlcv,ths,industry,historical_index_ohlcv,4,14449,2007-08-01,2026-07-03
