dataset_id,provider,board_type,role,api,board_name,board_code,output_path,status,rows,cols,first_date,last_date,elapsed_seconds,attempts,error_type,error_message
ths_industry_board_list,ths,industry,board_list,stock_board_industry_name_ths,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/lists/ths_industry_board_list.csv,ok_cached,90,10,,,0.232,2,,
ths_concept_board_list,ths,concept,board_list,stock_board_concept_name_ths,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/lists/ths_concept_board_list.csv,ok_cached,374,10,,,0.182,2,,
ths_industry_current_overview,ths,industry,current_overview,stock_board_industry_summary_ths,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/combined/ths_industry_current_overview.csv,ok_cached,90,20,,,0.118,2,,
ths_concept_event_table,ths,concept,concept_event_table,stock_board_concept_summary_ths,,,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/combined/ths_concept_event_table.csv,ok_cached,50,13,2023-11-14,2026-07-01,0.116,2,,
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,半导体,881121,,error,,,,,0.176,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,白酒,881273,,error,,,,,0.175,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,白色家电,881131,,error,,,,,0.176,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,保险,881156,,error,,,,,0.195,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,包装印刷,881138,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/by_board/ths/industry/historical_index_ohlcv/ths_industry_881138.csv,ok_cached,4597,17,2007-08-01,2026-07-03,0.000,0,,
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,厨卫电器,881174,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/by_board/ths/industry/historical_index_ohlcv/ths_industry_881174.csv,ok_cached,4004,17,2010-01-04,2026-07-03,0.000,0,,
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,电池,881281,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/by_board/ths/industry/historical_index_ohlcv/ths_industry_881281.csv,ok_cached,4005,17,2010-01-04,2026-07-03,0.000,0,,
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,电机,881277,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/akshare_board_full_dump/by_board/ths/industry/historical_index_ohlcv/ths_industry_881277.csv,ok_cached,1843,17,2018-11-26,2026-07-03,0.000,0,,
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,电力,881145,,error,,,,,0.172,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,电网设备,881278,,error,,,,,0.175,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,多元金融,881283,,error,,,,,0.174,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,电子化学品,881172,,error,,,,,0.176,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,房地产,881153,,error,,,,,0.186,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,风电设备,881280,,error,,,,,0.175,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,非金属材料,881167,,error,,,,,0.181,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,服装家纺,881136,,error,,,,,0.179,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,纺织制造,881135,,error,,,,,0.181,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,工程机械,881268,,error,,,,,0.387,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,光伏设备,881279,,error,,,,,0.178,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,贵金属,881169,,error,,,,,0.178,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,轨交设备,881269,,error,,,,,0.190,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,港口航运,881148,,error,,,,,0.294,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,公路铁路运输,881149,,error,,,,,0.265,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,钢铁,881112,,error,,,,,0.171,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,光学光电子,881122,,error,,,,,0.170,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,工业金属,881168,,error,,,,,0.231,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,环保设备,881284,,error,,,,,0.177,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,环境治理,881181,,error,,,,,0.185,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,互联网电商,881177,,error,,,,,0.179,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,黑色家电,881132,,error,,,,,0.175,2,AttributeError,'NoneType' object has no attribute 'find_all'
ths_industry_historical_index_ohlcv,ths,industry,historical_board_index_ohlcv,stock_board_industry_index_ths,化学纤维,881264,,error,,,,,0.172,2,AttributeError,'NoneType' object has no attribute 'find_all'
