feature_name,feature_family,source_column,source_artifact,asof_policy,allowed_as_feature,blocked_reason,missing_policy,point_in_time_safe,label_leakage_check_status
stock_vs_market_20d,R1_relative_strength_breakout,stock_vs_market_20d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
stock_vs_board_20d,R1_relative_strength_breakout,stock_vs_board_20d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
return_60d,R1_relative_strength_breakout,return_60d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
universe_up_share_z,R6_market_breadth_thrust,universe_up_share_z,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
universe_up_share_change_5d,R6_market_breadth_thrust,universe_up_share_change_5d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
momentum_percentile_20d,R7_cross_sectional_momentum_rank_jump,momentum_percentile_20d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
momentum_percentile_20d_delta,R7_cross_sectional_momentum_rank_jump,momentum_percentile_20d;momentum_percentile_20d_lag20,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
return_60d,R8_persistent_distance_above_ema,return_60d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
momentum_percentile_60d,R8_persistent_distance_above_ema,momentum_percentile_60d,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
close_to_high_60,R8_persistent_distance_above_ema,close_to_high_60,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
non_scored_volume_unavailable,R2_near_high_volume_expansion,,risk_on_r_series_score_spec.csv,t0_or_earlier_only,False,core_semantic_score_unavailable,non_scored_core_family_retain_and_audit,True,pass_no_future_label_feature
close_to_high_60,R3_vcp_breakout,close_to_high_60,risk_on_r_series_score_spec.csv,event_t0_or_earlier_only,True,,missing_score_field_fails_arm_for_that_family,True,pass_no_future_label_feature
failure_10_label,label_only,failure_10_label,candidate_family_event_labels.parquet/candidate_family_capture.parquet,future_label_not_t0_feature,False,label_only_not_t0_feature,block_supervised_readout_if_missing,False,blocked_as_feature_allowed_as_label
event_false_repair_20d_label,label_only,event_false_repair_20d_label,candidate_family_event_labels.parquet/candidate_family_capture.parquet,future_label_not_t0_feature,False,label_only_not_t0_feature,block_supervised_readout_if_missing,False,blocked_as_feature_allowed_as_label
bridge_positive_event_or_episode_capture,label_only,bridge_positive_event_or_episode_capture,candidate_family_event_labels.parquet/candidate_family_capture.parquet,future_label_not_t0_feature,False,label_only_not_t0_feature,block_supervised_readout_if_missing,False,blocked_as_feature_allowed_as_label
