arm_id,target_regime,split,label_name,sample_count,positive_count,auc,pr_auc,top_decile_lift,calibration_status,oos_separability_status
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,non_fast_fail_vs_fast_fail_10d,9730,7387,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,non_false_repair_vs_false_repair_20d,9730,7006,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,winner_120d,9730,2024,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,bridge_positive_vs_bridge_negative,181,98,0.5041799852471109,0.5260314257510387,0.8748657357679914,diagnostic_only,positive
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,e1_missed_captured_vs_still_missed,92,78,0.4065934065934066,0.8951977830704095,0.9435897435897437,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,validation,non_fast_fail_vs_fast_fail_10d,4457,3587,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,validation,non_false_repair_vs_false_repair_20d,4457,3156,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,validation,winner_120d,4457,298,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,validation,bridge_positive_vs_bridge_negative,22,7,0.4380952380952381,0.4095993660622143,1.0476190476190477,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_on,validation,e1_missed_captured_vs_still_missed,13,11,0.22727272727272727,0.9617715617715619,1.1818181818181819,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,robustness,non_fast_fail_vs_fast_fail_10d,3225,2805,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,robustness,non_false_repair_vs_false_repair_20d,3225,2579,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,robustness,winner_120d,3225,631,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,robustness,bridge_positive_vs_bridge_negative,99,18,0.6392318244170097,0.2260062432617112,1.1,diagnostic_only,positive
baseline_r_core_no_ranker_diagnostic,transition,robustness,e1_missed_captured_vs_still_missed,60,4,0.35714285714285715,0.11282051282051281,0.0,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,validation,non_fast_fail_vs_fast_fail_10d,6210,4921,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,validation,non_false_repair_vs_false_repair_20d,6210,4378,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,validation,winner_120d,6210,350,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,transition,validation,bridge_positive_vs_bridge_negative,81,32,0.5248724489795918,0.3285483752739513,0.28125,diagnostic_only,positive
baseline_r_core_no_ranker_diagnostic,transition,validation,e1_missed_captured_vs_still_missed,24,23,0.043478260869565216,0.9981884057971014,1.0434782608695652,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,non_fast_fail_vs_fast_fail_10d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,non_false_repair_vs_false_repair_20d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,winner_120d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,bridge_positive_vs_bridge_negative,476,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,e1_missed_captured_vs_still_missed,91,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,validation,non_fast_fail_vs_fast_fail_10d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,validation,non_false_repair_vs_false_repair_20d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,validation,winner_120d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,validation,bridge_positive_vs_bridge_negative,341,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r_core_no_ranker_diagnostic,risk_off,validation,e1_missed_captured_vs_still_missed,58,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,robustness,non_fast_fail_vs_fast_fail_10d,3003,2323,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,robustness,non_false_repair_vs_false_repair_20d,3003,2151,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,robustness,winner_120d,3003,622,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,robustness,bridge_positive_vs_bridge_negative,181,74,0.48888608234402625,0.41874331915748847,1.0298719772403981,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,robustness,e1_missed_captured_vs_still_missed,92,67,0.45313432835820894,0.7885124285386114,0.9611940298507462,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,validation,non_fast_fail_vs_fast_fail_10d,1441,1180,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,validation,non_false_repair_vs_false_repair_20d,1441,1054,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,validation,winner_120d,1441,107,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_on,validation,bridge_positive_vs_bridge_negative,22,5,0.5294117647058824,0.2838570691434469,1.4666666666666666,diagnostic_only,positive
baseline_r6_only_transition_primary,risk_on,validation,e1_missed_captured_vs_still_missed,13,7,0.30952380952380953,0.7782312925170067,1.8571428571428572,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,robustness,non_fast_fail_vs_fast_fail_10d,1326,1135,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,robustness,non_false_repair_vs_false_repair_20d,1326,1049,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,robustness,winner_120d,1326,283,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,robustness,bridge_positive_vs_bridge_negative,100,14,0.6196013289036545,0.18817449221962643,1.4285714285714286,diagnostic_only,positive
baseline_r6_only_transition_primary,transition,robustness,e1_missed_captured_vs_still_missed,60,2,0.1896551724137931,0.11666666666666667,0.0,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,validation,non_fast_fail_vs_fast_fail_10d,2456,1961,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,validation,non_false_repair_vs_false_repair_20d,2456,1749,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,validation,winner_120d,2456,133,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,validation,bridge_positive_vs_bridge_negative,81,27,0.49039780521262005,0.2913187372667261,0.3333333333333333,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,transition,validation,e1_missed_captured_vs_still_missed,24,21,0.19047619047619047,0.9726079107879196,1.1428571428571428,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,robustness,non_fast_fail_vs_fast_fail_10d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,robustness,non_false_repair_vs_false_repair_20d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,robustness,winner_120d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,robustness,bridge_positive_vs_bridge_negative,476,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,robustness,e1_missed_captured_vs_still_missed,91,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,validation,non_fast_fail_vs_fast_fail_10d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,validation,non_false_repair_vs_false_repair_20d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,validation,winner_120d,0,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,validation,bridge_positive_vs_bridge_negative,341,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_transition_primary,risk_off,validation,e1_missed_captured_vs_still_missed,58,0,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,robustness,non_fast_fail_vs_fast_fail_10d,3003,2323,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,robustness,non_false_repair_vs_false_repair_20d,3003,2151,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,robustness,winner_120d,3003,622,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,robustness,bridge_positive_vs_bridge_negative,181,74,0.48888608234402625,0.41874331915748847,1.0298719772403981,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,robustness,e1_missed_captured_vs_still_missed,92,67,0.45313432835820894,0.7885124285386114,0.9611940298507462,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,validation,non_fast_fail_vs_fast_fail_10d,1441,1180,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,validation,non_false_repair_vs_false_repair_20d,1441,1054,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,validation,winner_120d,1441,107,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,risk_on,validation,bridge_positive_vs_bridge_negative,22,5,0.5294117647058824,0.2838570691434469,1.4666666666666666,diagnostic_only,positive
baseline_r6_only_risk_on_positive,risk_on,validation,e1_missed_captured_vs_still_missed,13,7,0.30952380952380953,0.7782312925170067,1.8571428571428572,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,transition,robustness,non_fast_fail_vs_fast_fail_10d,1326,1135,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,transition,robustness,non_false_repair_vs_false_repair_20d,1326,1049,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,transition,robustness,winner_120d,1326,283,,,,diagnostic_only,not_positive_or_low_power
baseline_r6_only_risk_on_positive,transition,robustness,bridge_positive_vs_bridge_negative,100,14,0.6196013289036545,0.18817449221962643,1.4285714285714286,diagnostic_only,positive
