arm_id,target_regime,split,market_regime_bucket,selected_event_count,density_granularity,density_reference_scope_id,events_per_instrument_year_mean,events_per_instrument_year_p95,density_vs_e1_full_denominator,rolling_10d_duplicate_rate,adjacent_gap_median,fast_fail_10d_count,fast_fail_10d_rate,fast_fail_10d_excess_vs_e1,false_repair_20d_count,false_repair_20d_rate,false_repair_20d_excess_vs_e1,event_level_label_source_status,direct_entry_density_gate_pass,feature_source_density_gate_pass
baseline_r6_only_transition_primary,risk_off,all,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_transition_primary,risk_off,train,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_transition_primary,risk_off,robustness,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_transition_primary,risk_off,validation,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_risk_on_positive,risk_on,all,risk_on,9260,selected_arm_recomputed,07_E1_only,2.5562988921521694,6.698000002190938,1.3577712609970676,0.0,65.0,2404,0.26045503791982666,0.12383008019240027,3118,0.3367170626349892,0.12848216557120248,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,risk_on,train,risk_on,4816,selected_arm_recomputed,07_E1_only,1.3294962704756854,3.090747559021133,0.706158357771261,0.0,58.0,1463,0.30517313308302046,0.16613881080262496,1879,0.3901578073089701,0.1668399418797358,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,risk_on,robustness,risk_on,3003,selected_arm_recomputed,07_E1_only,0.8290027616774259,1.6210137251314838,0.4403225806451613,0.0,47.0,680,0.22696929238985314,0.09226055452577553,852,0.2837162837162837,0.10432234432234441,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,risk_on,validation,risk_on,1441,selected_arm_recomputed,07_E1_only,0.39779985999905787,0.810230804370045,0.21129032258064517,0.0,53.0,261,0.18125,0.0508152173913044,387,0.2685634975711312,0.06566494684649349,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,transition,all,transition,6944,selected_arm_recomputed,07_E1_only,1.91694811091843,5.051864981251048,1.018181818181818,0.0,100.0,1345,0.19385990198904585,0.052743150720010346,1792,0.25806451612903225,0.06161781562141805,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,transition,train,transition,3162,selected_arm_recomputed,07_E1_only,0.8728960147932138,2.223648766337551,0.4636363636363637,0.0,111.0,659,0.20861031972143082,0.03708173162341452,808,0.25553447185325745,0.045499466018951745,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,transition,robustness,transition,1326,selected_arm_recomputed,07_E1_only,0.36605316749392836,0.6503931090616103,0.19442815249266862,0.0,77.0,191,0.14415094339622642,0.06781506553363102,277,0.20889894419306185,0.07403889330247665,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,transition,validation,transition,2456,selected_arm_recomputed,07_E1_only,0.6779989286312881,1.3468879368045825,0.3601173020527859,0.0,64.0,495,0.2017114914425428,0.061433713664765105,707,0.28786644951140067,0.07397756062251187,event_level_label_available,True,True
baseline_r6_only_risk_on_positive,risk_off,all,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_risk_on_positive,risk_off,train,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_risk_on_positive,risk_off,robustness,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_r6_only_risk_on_positive,risk_off,validation,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_t4_t7_negative_control,risk_on,all,risk_on,1622,selected_arm_recomputed,07_E1_only,0.44776639342017477,1.1304583113783082,0.2378299120234604,0.051171393341553635,144.0,609,0.3780260707635009,0.24140111303607453,682,0.4204685573366215,0.21223366027283477,event_level_label_available,True,True
baseline_t4_t7_negative_control,risk_on,train,risk_on,914,selected_arm_recomputed,07_E1_only,0.2523171908668556,0.46791864170603964,0.1340175953079179,0.047045951859956234,160.0,365,0.40198237885462557,0.26294805657423004,409,0.4474835886214442,0.22416572319220993,event_level_label_available,True,True
baseline_t4_t7_negative_control,risk_on,robustness,risk_on,614,selected_arm_recomputed,07_E1_only,0.16949973215782202,0.48448213344784635,0.09002932551319648,0.06514657980456026,95.0,220,0.361247947454844,0.2265392095907664,239,0.38925081433224756,0.20985687493830826,event_level_label_available,True,True
baseline_t4_t7_negative_control,risk_on,validation,risk_on,94,selected_arm_recomputed,07_E1_only,0.025949470395497182,0.04858624244263302,0.01378299120234604,0.0,39.5,24,0.2553191489361702,0.1248843663274746,34,0.3617021276595745,0.1588035769349368,event_level_label_available,True,True
baseline_t4_t7_negative_control,transition,all,transition,470,selected_arm_recomputed,07_E1_only,0.1297473519774859,0.20262671564143547,0.0689149560117302,0.010638297872340425,294.0,122,0.26124197002141325,0.12012521875237775,140,0.2978723404255319,0.1014256399179177,event_level_label_available,True,True
baseline_t4_t7_negative_control,transition,train,transition,251,selected_arm_recomputed,07_E1_only,0.06929060711989142,0.1170486749754341,0.03680351906158358,0.01593625498007968,239.0,72,0.2891566265060241,0.11762803840800778,77,0.30677290836653387,0.09673790253222816,event_level_label_available,True,True
baseline_t4_t7_negative_control,transition,robustness,transition,62,selected_arm_recomputed,07_E1_only,0.01711560813320027,0.017916176900720837,0.009090909090909092,0.016129032258064516,123.0,10,0.16393442622950818,0.08759854836691279,16,0.25806451612903225,0.12320446523844705,event_level_label_available,True,True
baseline_t4_t7_negative_control,transition,validation,transition,157,selected_arm_recomputed,07_E1_only,0.04334113672439423,0.0784005275778851,0.023020527859237534,0.0,252.0,40,0.25477707006369427,0.11449929228591657,47,0.29936305732484075,0.08547416843595196,event_level_label_available,True,True
baseline_t4_t7_negative_control,risk_off,all,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_t4_t7_negative_control,risk_off,train,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_t4_t7_negative_control,risk_off,robustness,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
baseline_t4_t7_negative_control,risk_off,validation,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r1_r7_bridge_pool,risk_on,all,risk_on,19513,selected_arm_recomputed,07_E1_only,5.386723572631239,14.3622036893206,2.8611436950146625,0.3912263619125711,17.0,5376,0.2762022194821208,0.13957726175469443,6793,0.34812688976579714,0.13989199270201044,event_level_label_available,False,False
r6_r1_r7_bridge_pool,risk_on,train,risk_on,10354,selected_arm_recomputed,07_E1_only,2.858306558244445,7.091382931058847,1.5181818181818183,0.39279505505118795,15.0,3261,0.3160189940885745,0.17698467180817898,4084,0.39443693258644,0.17111906715720573,event_level_label_available,False,True
r6_r1_r7_bridge_pool,risk_on,robustness,risk_on,6244,selected_arm_recomputed,07_E1_only,1.7237073739306852,3.529127973787617,0.9155425219941349,0.4122357463164638,13.0,1521,0.24406290115532733,0.10935416329124972,1831,0.2932415118513773,0.11384757245743801,event_level_label_available,True,True
r6_r1_r7_bridge_pool,risk_on,validation,risk_on,2915,selected_arm_recomputed,07_E1_only,0.8047096404561095,1.6149404448261544,0.4274193548387097,0.3337907375643225,17.0,594,0.203913491246138,0.07347870863744241,878,0.3012006861063465,0.09830213538170879,event_level_label_available,True,True
r6_r1_r7_bridge_pool,transition,all,transition,13401,selected_arm_recomputed,07_E1_only,3.699455880532529,10.2232631612388,1.9649560117302052,0.3368405342884859,26.0,2685,0.2005227781926811,0.059406026923645605,3593,0.2681143198268786,0.07166761931926441,event_level_label_available,False,True
r6_r1_r7_bridge_pool,transition,train,transition,6090,selected_arm_recomputed,07_E1_only,1.6811944117933812,4.200501505722182,0.8929618768328446,0.3218390804597701,23.0,1334,0.21922760887428103,0.04769902077626473,1612,0.26469622331691295,0.054661217482607244,event_level_label_available,True,True
r6_r1_r7_bridge_pool,transition,robustness,transition,2415,selected_arm_recomputed,07_E1_only,0.6666805426077201,1.3913333063117639,0.3541055718475073,0.2956521739130435,25.0,345,0.14297554910899296,0.06663967124639757,531,0.21987577639751552,0.08501572550693032,event_level_label_available,True,True
r6_r1_r7_bridge_pool,transition,validation,transition,4896,selected_arm_recomputed,07_E1_only,1.3515809261314278,2.5946709813540214,0.7178885630498534,0.3758169934640523,17.0,1006,0.20564186426819298,0.06536408649041528,1450,0.29616013071895425,0.08227124183006546,event_level_label_available,True,True
r6_r1_r7_bridge_pool,risk_off,all,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r1_r7_bridge_pool,risk_off,train,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
