arm_id,arm_type,target_regime,source_family_ids,r2_policy,upstream_a_decision,upstream_b_decision,source_caveat_status,train_selected_event_count,validation_selected_event_count,robustness_selected_event_count,density_vs_e1_full_denominator,events_per_instrument_year_mean,events_per_instrument_year_p95,density_granularity,rolling_10d_duplicate_rate,adjacent_gap_median,cross_family_collision_rate,single_family_selected_share_max,train_incremental_recall_over_e1,train_bridge_delta_vs_e1,robustness_incremental_recall_over_e1,robustness_bridge_delta_vs_e1,fast_fail_10d_rate,fast_fail_10d_excess_vs_e1,false_repair_20d_rate,false_repair_20d_excess_vs_e1,direct_entry_gate_pass,feature_source_gate_pass,target_regime_decision_tier,final_decision,ranker_arm_status,train_cell_sample_status,robustness_cell_sample_status,sample_status_gate_pass,borderline_pass_flag,borderline_metric_names,failure_reason
baseline_r_core_no_ranker_diagnostic,baseline_stress,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,16603,4457,9730,4.5146627565982405,8.499831845503811,23.548316209326604,selected_arm_recomputed,0.5443000974342319,7.0,0.0,0.28285157518674897,0.3555555555555556,0.13777777777777783,0.43093922651933697,0.1933701657458563,0.26518528158245763,0.12856032385503124,0.3370250081195193,0.1287901110557326,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,diagnostic_stress_pool_not_direct_selectable,diagnostic_only,diagnostic_only,False,False,,density;duplicate;false_repair;fast_fail;p95;sample_status
baseline_r_core_no_ranker_diagnostic,baseline_stress,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,7689,6210,3225,2.510850439882698,4.727220543111636,13.135401067644116,selected_arm_recomputed,0.43500350385423964,13.0,0.0,0.3300046718056529,0.26315789473684204,0.01980198019801982,0.03999999999999998,-0.05818181818181817,0.20026881720430106,0.05915206593526556,0.26454099509460405,0.06809429458698985,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,diagnostic_stress_pool_not_direct_selectable,diagnostic_only,diagnostic_only,False,True,robustness_incremental_recall_over_e1,bridge;density;duplicate;false_repair;p95;sample_status
baseline_r_core_no_ranker_diagnostic,baseline_stress,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,diagnostic_stress_pool_not_direct_selectable,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
baseline_r6_only_transition_primary,baseline_single_family,risk_on,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,4816,1441,3003,1.3577712609970676,2.5562988921521694,6.698000002190938,selected_arm_recomputed,0.0,65.0,0.0,1.0,0.3155555555555556,0.03700396825396829,0.3701657458563536,0.06077348066298344,0.26045503791982666,0.12383008019240027,0.3367170626349892,0.12848216557120248,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,false_repair;fast_fail;selected_share
baseline_r6_only_transition_primary,baseline_single_family,transition,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,3162,2456,1326,1.018181818181818,1.91694811091843,5.051864981251048,selected_arm_recomputed,0.0,100.0,0.0,1.0,0.22368421052631582,-0.0486088343933731,0.019999999999999962,-0.09999999999999998,0.19385990198904585,0.052743150720010346,0.25806451612903225,0.06161781562141805,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;false_repair;recall;selected_share
baseline_r6_only_transition_primary,baseline_single_family,risk_off,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
baseline_r6_only_risk_on_positive,baseline_single_family,risk_on,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,4816,1441,3003,1.3577712609970676,2.5562988921521694,6.698000002190938,selected_arm_recomputed,0.0,65.0,0.0,1.0,0.3155555555555556,0.03700396825396829,0.3701657458563536,0.06077348066298344,0.26045503791982666,0.12383008019240027,0.3367170626349892,0.12848216557120248,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,false_repair;fast_fail;selected_share
baseline_r6_only_risk_on_positive,baseline_single_family,transition,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,3162,2456,1326,1.018181818181818,1.91694811091843,5.051864981251048,selected_arm_recomputed,0.0,100.0,0.0,1.0,0.22368421052631582,-0.0486088343933731,0.019999999999999962,-0.09999999999999998,0.19385990198904585,0.052743150720010346,0.25806451612903225,0.06161781562141805,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;false_repair;recall;selected_share
baseline_r6_only_risk_on_positive,baseline_single_family,risk_off,R6_market_breadth_thrust,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
baseline_t4_t7_negative_control,negative_control,risk_on,T4_entropy_compression_then_directional_expansion;T7_board_relative_strength_break,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,914,94,614,0.2378299120234604,0.44776639342017477,1.1304583113783082,selected_arm_recomputed,0.051171393341553635,144.0,0.032059186189889025,0.655980271270037,0.06222222222222229,-0.2444444444444444,0.04419889502762425,-0.2928176795580111,0.3780260707635009,0.24140111303607453,0.4204685573366215,0.21223366027283477,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,negative_control_diagnostic_only,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;false_repair;fast_fail;recall;selected_share
baseline_t4_t7_negative_control,negative_control,transition,T4_entropy_compression_then_directional_expansion;T7_board_relative_strength_break,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,251,157,62,0.0689149560117302,0.1297473519774859,0.20262671564143547,selected_arm_recomputed,0.010638297872340425,294.0,0.01276595744680851,0.8489361702127659,0.02631578947368418,-0.297029702970297,0.0,-0.24,0.26124197002141325,0.12012521875237775,0.2978723404255319,0.1014256399179177,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,negative_control_diagnostic_only,sufficient_for_cell_readout,low_power_caution,False,False,,bridge;false_repair;fast_fail;oos_separability;recall;sample_status;selected_share
baseline_t4_t7_negative_control,negative_control,risk_off,T4_entropy_compression_then_directional_expansion;T7_board_relative_strength_break,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,negative_control_diagnostic_only,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
r6_r1_r7_bridge_pool,family_pool,risk_on,R6_market_breadth_thrust;R1_relative_strength_breakout;R7_cross_sectional_momentum_rank_jump,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,10354,2915,6244,2.8611436950146625,5.386723572631239,14.3622036893206,selected_arm_recomputed,0.3912263619125711,17.0,0.0010249577204940296,0.4464715830471993,0.35111111111111115,0.10666666666666669,0.4198895027624309,0.13812154696132595,0.2762022194821208,0.13957726175469443,0.34812688976579714,0.13989199270201044,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,density;duplicate;false_repair;fast_fail;p95
