arm_id,target_regime,target_regime_decision_tier,final_decision,direct_entry_gate_pass,feature_source_gate_pass,density_gate_pass,p95_gate_pass,duplicate_gate_pass,bridge_gate_pass,recall_gate_pass,fast_fail_gate_pass,false_repair_gate_pass,selected_share_gate_pass,sample_status_gate_pass,oos_separability_status,borderline_pass_flag,borderline_metric_names,supported_usage,failure_reason
baseline_r_core_no_ranker_diagnostic,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,True,True,False,False,True,False,positive,False,,diagnostic_only,density;duplicate;false_repair;fast_fail;p95;sample_status
baseline_r_core_no_ranker_diagnostic,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,True,False,False,True,False,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;density;duplicate;false_repair;p95;sample_status
baseline_r_core_no_ranker_diagnostic,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
baseline_r6_only_transition_primary,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,True,False,False,False,True,positive,False,,diagnostic_only,false_repair;fast_fail;selected_share
baseline_r6_only_transition_primary,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,True,positive,False,,diagnostic_only,bridge;false_repair;recall;selected_share
baseline_r6_only_transition_primary,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
baseline_r6_only_risk_on_positive,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,True,False,False,False,True,positive,False,,diagnostic_only,false_repair;fast_fail;selected_share
baseline_r6_only_risk_on_positive,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,True,positive,False,,diagnostic_only,bridge;false_repair;recall;selected_share
baseline_r6_only_risk_on_positive,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
baseline_t4_t7_negative_control,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,True,positive,False,,diagnostic_only,bridge;false_repair;fast_fail;recall;selected_share
baseline_t4_t7_negative_control,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,bridge;false_repair;fast_fail;oos_separability;recall;sample_status;selected_share
baseline_t4_t7_negative_control,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
r6_r1_r7_bridge_pool,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,True,True,False,False,False,True,positive,False,,diagnostic_only,density;duplicate;false_repair;fast_fail;p95
r6_r1_r7_bridge_pool,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,True,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair
r6_r1_r7_bridge_pool,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
r6_r2_low_fast_fail_support,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,True,True,False,False,False,True,positive,False,,diagnostic_only,duplicate;false_repair;fast_fail
r6_r2_low_fast_fail_support,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,True,positive,False,,diagnostic_only,bridge;false_repair;recall;selected_share
r6_r2_low_fast_fail_support,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
r6_r1_r2_r7_bridge_pool,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,True,True,False,False,False,True,not_positive_or_low_power,False,,diagnostic_only,density;duplicate;false_repair;fast_fail;oos_separability;p95
r6_r1_r2_r7_bridge_pool,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,True,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair
