arm_id,target_regime,split,market_regime_bucket,episode_denominator_n,bridge_denominator_n,selected_event_count,pre_replay_any_recall,pre_replay_bridge_recall,incremental_recall_over_e1,incremental_captures_over_e1,e1_missed_capture_n,retention_source_status,cell_sample_status
baseline_r_core_no_ranker_diagnostic,risk_on,train,risk_on,225,225,16603,0.9422222222222222,0.4266666666666667,0.3555555555555556,80,80,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,robustness,risk_on,181,181,9730,0.8729281767955801,0.5414364640883977,0.43093922651933697,78,78,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,validation,risk_on,22,22,4457,0.8636363636363636,0.3181818181818182,0.49999999999999994,11,11,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,train,transition,304,303,7689,0.6513157894736842,0.33993399339933994,0.26315789473684204,80,80,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,robustness,transition,100,99,3225,0.31,0.18181818181818182,0.03999999999999998,4,4,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,validation,transition,81,81,6210,0.8888888888888888,0.3950617283950617,0.28395061728395055,23,23,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_off,train,risk_off,761,759,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_off,robustness,risk_off,477,476,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_off,validation,risk_off,342,341,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r6_only_transition_primary,risk_on,train,risk_on,225,224,4816,0.8266666666666667,0.32589285714285715,0.3155555555555556,71,71,pre_replay_capture_only,sufficient_for_cell_readout
baseline_r6_only_transition_primary,risk_on,robustness,risk_on,181,181,3003,0.7292817679558011,0.4088397790055249,0.3701657458563536,67,67,pre_replay_capture_only,sufficient_for_cell_readout
baseline_r6_only_transition_primary,risk_on,validation,risk_on,22,22,1441,0.6818181818181818,0.22727272727272727,0.3181818181818182,7,7,pre_replay_capture_only,diagnostic_only
baseline_r6_only_transition_primary,transition,train,transition,304,302,3162,0.555921052631579,0.271523178807947,0.22368421052631582,68,68,pre_replay_capture_only,sufficient_for_cell_readout
baseline_r6_only_transition_primary,transition,robustness,transition,100,100,1326,0.24,0.14,0.019999999999999962,2,2,pre_replay_capture_only,sufficient_for_cell_readout
baseline_r6_only_transition_primary,transition,validation,transition,81,81,2456,0.8024691358024691,0.3333333333333333,0.2592592592592592,21,21,pre_replay_capture_only,low_power_caution
baseline_r6_only_transition_primary,risk_off,train,risk_off,761,759,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r6_only_transition_primary,risk_off,robustness,risk_off,477,476,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r6_only_transition_primary,risk_off,validation,risk_off,342,341,0,0.0,0.0,0.0,0,0,pre_replay_capture_only,diagnostic_only
baseline_r6_only_risk_on_positive,risk_on,train,risk_on,225,224,4816,0.8266666666666667,0.32589285714285715,0.3155555555555556,71,71,pre_replay_capture_only,sufficient_for_cell_readout
