arm_id,target_regime,instrument,event_t0_date,pre_deoverlap_event_count,post_deoverlap_selected_count,suppressed_event_count,suppression_rule,cross_family_collision_count,cooldown_rule,family_budget_rule
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-04-15,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-04-30,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-05-06,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-05-17,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-10-08,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-12-10,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2024-12-25,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-03-14,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-05-20,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-06-04,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-06-05,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-06-23,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-07-03,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600000,2025-08-26,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2018-01-15,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2018-01-16,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2018-01-17,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2018-01-25,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2019-02-01,,1,,all_core,0,,
baseline_r_core_no_ranker_diagnostic,risk_on,SH600004,2019-03-08,,1,,all_core,0,,
