arm_id,target_regime,family_id,budget_rule,budget_cap,candidate_event_count,selected_event_count,selected_share,single_family_share_gate_pass,r2_policy
baseline_r_core_no_ranker_diagnostic,risk_on,R1_relative_strength_breakout,all_core,,8709,8709,0.28285157518674897,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,R2_near_high_volume_expansion,all_core,,5814,5814,0.18882754140954855,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,R6_market_breadth_thrust,all_core,,6920,6920,0.22474829490094186,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,R7_cross_sectional_momentum_rank_jump,all_core,,3202,3202,0.10399480350763235,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,risk_on,R8_persistent_distance_above_ema,all_core,,6145,6145,0.1995777849951283,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,R1_relative_strength_breakout,all_core,,5651,5651,0.3300046718056529,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,R2_near_high_volume_expansion,all_core,,1808,1808,0.10558280775519738,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,R6_market_breadth_thrust,all_core,,5150,5150,0.30074748890446157,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,R7_cross_sectional_momentum_rank_jump,all_core,,2281,2281,0.133204858677879,True,r2_diagnostic_only
baseline_r_core_no_ranker_diagnostic,transition,R8_persistent_distance_above_ema,all_core,,2234,2234,0.13046017285680916,True,r2_diagnostic_only
baseline_r6_only_transition_primary,risk_on,R6_market_breadth_thrust,r6_only,,9260,9260,1.0,False,r2_diagnostic_only
baseline_r6_only_transition_primary,transition,R6_market_breadth_thrust,r6_only,,6944,6944,1.0,False,r2_diagnostic_only
baseline_r6_only_risk_on_positive,risk_on,R6_market_breadth_thrust,r6_only,,9260,9260,1.0,False,r2_diagnostic_only
baseline_r6_only_risk_on_positive,transition,R6_market_breadth_thrust,r6_only,,6944,6944,1.0,False,r2_diagnostic_only
baseline_t4_t7_negative_control,risk_on,T4_entropy_compression_then_directional_expansion,t4_t7,,1064,1064,0.655980271270037,False,r2_diagnostic_only
baseline_t4_t7_negative_control,risk_on,T7_board_relative_strength_break,t4_t7,,558,558,0.344019728729963,True,r2_diagnostic_only
baseline_t4_t7_negative_control,transition,T4_entropy_compression_then_directional_expansion,t4_t7,,399,399,0.8489361702127659,False,r2_diagnostic_only
baseline_t4_t7_negative_control,transition,T7_board_relative_strength_break,t4_t7,,71,71,0.15106382978723404,True,r2_diagnostic_only
r6_r1_r7_bridge_pool,risk_on,R1_relative_strength_breakout,suppress_same_day,,8712,8712,0.4464715830471993,False,r2_diagnostic_only
r6_r1_r7_bridge_pool,risk_on,R6_market_breadth_thrust,suppress_same_day,,9260,7407,0.37959309178496387,False,r2_diagnostic_only
r6_r1_r7_bridge_pool,risk_on,R7_cross_sectional_momentum_rank_jump,suppress_same_day,,5568,3394,0.17393532516783683,True,r2_diagnostic_only
r6_r1_r7_bridge_pool,transition,R1_relative_strength_breakout,suppress_same_day,,5651,5651,0.4216849488844116,False,r2_diagnostic_only
r6_r1_r7_bridge_pool,transition,R6_market_breadth_thrust,suppress_same_day,,6944,5409,0.40362659503022164,False,r2_diagnostic_only
r6_r1_r7_bridge_pool,transition,R7_cross_sectional_momentum_rank_jump,suppress_same_day,,4218,2341,0.17468845608536676,True,r2_diagnostic_only
r6_r2_low_fast_fail_support,risk_on,R2_near_high_volume_expansion,suppress_same_day,,7083,7083,0.45904082955281916,False,r2_family_budget_only
r6_r2_low_fast_fail_support,risk_on,R6_market_breadth_thrust,suppress_same_day,,9260,8347,0.5409591704471808,False,r2_family_budget_only
