split,family,first_observed_stage,episode_count,unique_instrument_count,unique_signal_date_count,seed_anchor_big_winner_denominator,seed_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_rate,fresh_path_denominator,fresh_P_good,fresh_P_bad,wait_return_p50,fresh_max_gain_120d_p50,fresh_max_drawdown_120d_p50,sample_sufficiency_status
train,momentum_rps,fresh_1,856,262,468,684.0,0.21198830409356725,704.0,0.6477272727272727,0.34232954545454547,677.0,0.1757754800590842,701.0,0.33238231098430815,0.651925820256776,0.04068145618441543,,,sufficient
train,momentum_rps,fresh_2,326,169,243,277.0,0.20938628158844766,286.0,0.7342657342657343,0.24825174825174826,278.0,0.15467625899280577,288.0,0.34375,0.6458333333333334,0.05770004454004951,,,sufficient
train,momentum_rps,fresh_3,148,109,131,129.0,0.13953488372093023,132.0,0.8484848484848485,0.10606060606060606,128.0,0.0703125,131.0,0.3435114503816794,0.648854961832061,0.07085413434377885,,,sufficient
train,momentum_rps,fresh_4plus,69,52,62,57.0,0.08771929824561403,57.0,0.8245614035087719,0.15789473684210525,59.0,0.03389830508474576,59.0,0.288135593220339,0.6779661016949152,0.09235882562835251,,,thin_episode_denominator
train,momentum_rps,not_observed,2084,301,2084,1726.0,0.07184241019698726,1787.0,0.10016787912702854,0.8528259653049804,0.0,,0.0,,,,,,sufficient
train,momentum_rps,seed,1656,368,674,1261.0,0.2204599524187153,1304.0,0.3496932515337423,0.6357361963190185,0.0,,0.0,,,0.0,,,sufficient
train,oscillator,fresh_1,743,244,413,625.0,0.1824,646.0,0.6501547987616099,0.3065015479876161,624.0,0.13141025641025642,650.0,0.34923076923076923,0.6030769230769231,0.041647138731716105,,,sufficient
train,oscillator,fresh_2,625,238,367,498.0,0.17670682730923695,514.0,0.7178988326848249,0.245136186770428,507.0,0.11637080867850098,524.0,0.33587786259541985,0.6374045801526718,0.055555566067838624,,,sufficient
train,oscillator,fresh_3,233,150,185,192.0,0.23958333333333334,196.0,0.826530612244898,0.14285714285714285,196.0,0.12244897959183673,201.0,0.3482587064676617,0.6268656716417911,0.0894039677588605,,,sufficient
train,oscillator,fresh_4plus,66,54,63,60.0,0.3333333333333333,60.0,0.95,0.05,59.0,0.2033898305084746,59.0,0.3728813559322034,0.6271186440677966,0.12255204462684077,,,thin_episode_denominator
train,oscillator,not_observed,2310,359,2310,1812.0,0.11147902869757174,1879.0,0.05854177754124534,0.9196381053751995,0.0,,0.0,,,,,,sufficient
