split,prefix_family_count_bucket,prefix_family_set_bucket,candidate_next_family,candidate_occurs_at_next_step,candidate_row_count,candidate_weight_sum,seed_episode_count,candidate_occurrence_rate,seed_anchor_big_winner_rate,seed_P_good,seed_P_bad,next_step_fresh_anchor_big_winner_rate_weighted,next_step_fresh_P_good_weighted,next_step_fresh_P_bad_weighted,candidate_fresh_anchor_big_winner_rate,candidate_fresh_P_good,candidate_fresh_P_bad,wait_return_p50,sample_sufficiency_status
train,1,other_sparse_prefix,momentum_rps,False,89,14.833333333333334,89,0.0,0.06666666666666667,0.21518987341772156,0.7468354430379747,0.06382978723404253,0.3061224489795918,0.63265306122449,,,,,thin_episode_denominator
train,1,other_sparse_prefix,momentum_rps,True,21,3.499999999999999,21,1.0,0.26315789473684215,0.5789473684210528,0.4210526315789474,0.2105263157894737,0.31578947368421056,0.6842105263157896,0.2105263157894737,0.31578947368421056,0.6842105263157896,,thin_episode_denominator
train,1,other_sparse_prefix,oscillator,False,182,30.333333333333332,182,0.0,0.1096774193548387,0.3229813664596272,0.6583850931677019,0.09473684210526317,0.40816326530612235,0.5714285714285713,,,,,sufficient
train,1,other_sparse_prefix,oscillator,True,21,3.499999999999999,21,1.0,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.23529411764705885,0.4117647058823529,0.5882352941176472,0.23529411764705885,0.4117647058823529,0.5882352941176472,,thin_episode_denominator
train,1,other_sparse_prefix,price_trend,False,173,28.833333333333332,173,0.0,0.08108108108108109,0.2565789473684211,0.7171052631578949,0.07058823529411765,0.3953488372093024,0.5697674418604652,,,,,thin_episode_denominator
train,1,other_sparse_prefix,price_trend,True,43,7.166666666666667,43,1.0,0.33333333333333326,0.736842105263158,0.26315789473684204,0.24999999999999997,0.42105263157894723,0.5789473684210523,0.24999999999999997,0.42105263157894723,0.5789473684210523,,thin_episode_denominator
train,1,other_sparse_prefix,pullback_drawdown,False,137,22.833333333333332,137,0.0,0.07894736842105263,0.2016806722689075,0.7731092436974787,0.07843137254901962,0.32075471698113217,0.6226415094339625,,,,,thin_episode_denominator
train,1,other_sparse_prefix,pullback_drawdown,True,79,13.166666666666663,79,1.0,0.21428571428571433,0.6056338028169017,0.3802816901408453,0.15714285714285722,0.4647887323943664,0.5352112676056341,0.15714285714285722,0.4647887323943664,0.5352112676056341,,thin_episode_denominator
train,1,other_sparse_prefix,range_breakout,False,114,19.0,114,0.0,0.10416666666666667,0.19191919191919185,0.7979797979797976,0.09090909090909091,0.4545454545454545,0.5454545454545454,,,,,thin_episode_denominator
train,1,other_sparse_prefix,range_breakout,True,102,17.000000000000007,102,1.0,0.15909090909090906,0.5274725274725275,0.43956043956043955,0.13636363636363635,0.3846153846153847,0.5824175824175822,0.13636363636363635,0.3846153846153847,0.5824175824175822,,thin_episode_denominator
