split,unordered_pair_key,pair_order_key,episode_count,pair_completion_count,same_offset_pair_count,seed_anchor_big_winner_rate,seed_P_good,seed_P_bad,pair_completion_fresh_anchor_big_winner_rate,pair_completion_fresh_P_good,pair_completion_fresh_P_bad,pair_completion_wait_return_p50,sample_sufficiency_status,opposite_order_episode_count,seed_anchor_big_winner_rate_diff_vs_opposite_order,seed_P_good_diff_vs_opposite_order,fresh_anchor_big_winner_rate_diff_vs_opposite_order,fresh_P_good_diff_vs_opposite_order,asymmetry_status
train,momentum_rps|oscillator,A_before_B,684,684,0,0.3054545454545455,0.8795811518324608,0.11169284467713787,0.19454545454545455,0.3628472222222222,0.6284722222222222,,sufficient,1396,0.10369243091710054,0.2831801235548258,0.06954545454545455,0.029038377714376284,candidate_order_asymmetry
train,momentum_rps|oscillator,B_before_A,472,472,0,0.17336683417085427,0.7639902676399026,0.21897810218978103,0.115,0.3301204819277108,0.655421686746988,,sufficient,1608,-0.08148942068540058,0.097323600973236,-0.06090361445783131,-0.024867917144214935,candidate_order_asymmetry
train,momentum_rps|oscillator,same_offset_unordered,924,924,924,0.21709633649932158,0.5052910052910053,0.48412698412698413,0.1392857142857143,0.33916083916083917,0.6503496503496503,,sufficient,1156,-0.032903663500678415,-0.32600980771712473,-0.021766917293233073,-0.009981441363883348,same_offset_only
train,momentum_rps|price_trend,A_before_B,382,382,0,0.22884012539184953,0.8165137614678899,0.1712538226299694,0.1588785046728972,0.36363636363636365,0.6272727272727273,,sufficient,2277,0.0023395591404339056,0.28113252175313397,-0.0018562829275620696,0.029191919191919213,no_material_asymmetry
train,momentum_rps|price_trend,B_before_A,594,594,0,0.19739696312364424,0.7023060796645703,0.2809224318658281,0.14782608695652175,0.31524008350730687,0.6722338204592901,,sufficient,2065,-0.03782471175320304,0.15956848253366773,-0.020206699928724148,-0.044280555640496044,candidate_order_asymmetry
train,momentum_rps|price_trend,same_offset_unordered,1683,1683,1683,0.2367816091954023,0.47622585438335807,0.5096582466567607,0.17518248175182483,0.35629453681710216,0.6294536817102138,,sufficient,976,0.02652519893899205,-0.27253036452211454,0.02281372374926402,0.021313078226249227,same_offset_only
train,momentum_rps|pullback_drawdown,A_before_B,388,388,0,0.23202614379084968,0.6146496815286624,0.3471337579617834,0.20846905537459284,0.4,0.5873015873015873,,sufficient,2386,0.024488988801465383,0.05760959930872411,0.05462290152843899,0.068421052631579,candidate_order_asymmetry
train,momentum_rps|pullback_drawdown,B_before_A,651,651,0,0.20149253731343283,0.6941391941391941,0.2857142857142857,0.14446529080675422,0.30895795246800734,0.6819012797074955,,sufficient,2123,-0.012534064863108874,0.17021854069695375,-0.03414676835138003,-0.059984778809525685,candidate_order_asymmetry
train,momentum_rps|pullback_drawdown,same_offset_unordered,1735,1735,1735,0.2099406528189911,0.5035714285714286,0.4878571428571429,0.16258741258741258,0.3524451939291737,0.6290050590219224,,sufficient,1039,-0.0026484208152131594,-0.1615448504983389,-0.005269730269730266,0.010217815738918445,same_offset_only
train,momentum_rps|range_breakout,A_before_B,272,272,0,0.24434389140271492,0.6885964912280702,0.2982456140350877,0.17567567567567569,0.34497816593886466,0.62882096069869,,sufficient,2584,0.035742803908893866,0.15076124218592457,0.022336070783860074,0.0058872568479555465,candidate_order_asymmetry
train,momentum_rps|range_breakout,B_before_A,1134,1134,0,0.1865671641791045,0.7185877466251298,0.2616822429906542,0.14132762312633834,0.3381742738589212,0.6462655601659751,,sufficient,1722,-0.0439075678270211,0.28399794618167085,-0.05810257630386109,-0.007031205593133638,candidate_order_asymmetry
train,momentum_rps|range_breakout,same_offset_unordered,1450,1450,1450,0.22764976958525346,0.3831111111111111,0.6044444444444445,0.24031007751937986,0.34558823529411764,0.6397058823529411,,sufficient,1406,0.030065645340214636,-0.3297352364959418,0.09238620208685391,0.006107933533849419,same_offset_only
