split,seed_episode_count,no_clean_fresh_episode_count,failed_before_first_clean_fresh_count,first_clean_fresh_episode_count,stage_role_not_observed_row_count,transition_candidate_row_count,actual_transition_row_count,same_offset_multi_family_step_count,same_offset_multi_family_step_rate,ordered_pair_observable_count,same_offset_pair_count,terminal_after_prefix_count,exhausted_prefix_count
train,5139,2288,2227,2851,12479,33302,9562,2239,0.4034234234234234,27253,26808,12479,
validation,2891,1216,1194,1675,7699,20006,5414,1275,0.40476190476190477,14819,13011,7699,
robustness,2973,1156,1079,1817,7057,20997,6259,1459,0.4050527484730705,17277,14740,7057,
all,11003,4660,4500,6343,27235,74305,21235,4973,0.40424321248577466,59349,54559,27235,3246.0
