split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
validation,fresh_count,fresh_step,fresh_max_drawdown_120d_p50,4,4,1.0,3133,3150.0,fresh_step_base,0.0038849683633882122,0.0004319490596715511,0.027745952217828884,0.004862254595286844,sufficient,comparable
robustness,fresh_count,fresh_step,seed_anchor_big_winner_rate,4,4,1.0,3582,3602.0,fresh_step_base,0.004771146330094304,-3.988825238174215e-18,0.02174060968971149,0.006819555233260818,sufficient,comparable
robustness,fresh_count,fresh_step,seed_P_good_minus_P_bad,4,4,1.0,3582,3602.0,fresh_step_base,0.14143760813148787,6.530723674265627e-17,0.27292581211589123,0.18217510318868493,sufficient,comparable
robustness,fresh_count,fresh_step,fresh_anchor_big_winner_rate,4,4,1.0,3582,3602.0,fresh_step_base,0.010637200168916231,5.316311370910566e-18,0.05189578908923668,0.011894322152729862,sufficient,comparable
robustness,fresh_count,fresh_step,fresh_P_good_minus_P_bad,4,4,1.0,3582,3602.0,fresh_step_base,0.029045145134706032,1.1860984395052733e-17,0.08296953541181068,0.036596763522950465,sufficient,comparable
robustness,fresh_count,fresh_step,fresh_max_gain_120d_p50,4,4,1.0,3582,3602.0,fresh_step_base,0.005154369118773032,-0.0012782129427333126,0.02124622734889539,0.0070717730141812984,sufficient,comparable
robustness,fresh_count,fresh_step,fresh_max_drawdown_120d_p50,4,4,1.0,3582,3602.0,fresh_step_base,0.0008307285801088142,2.8317787084436974e-05,0.003035951868886,0.0017240694313876426,sufficient,comparable
all,fresh_count,fresh_step,seed_anchor_big_winner_rate,4,4,1.0,12226,12302.0,fresh_step_base,0.011041097939493663,1.6806337847061194e-17,0.036624953993375065,0.012596662596662603,sufficient,comparable
all,fresh_count,fresh_step,seed_P_good_minus_P_bad,4,4,1.0,12226,12302.0,fresh_step_base,0.18273888963321636,-1.1452285455990332e-17,0.422358952571344,0.23606900001259035,sufficient,comparable
all,fresh_count,fresh_step,fresh_anchor_big_winner_rate,4,4,1.0,12226,12302.0,fresh_step_base,0.002921308154755563,4.409791463965292e-18,0.008662011849779619,0.003716323454658055,sufficient,comparable
all,fresh_count,fresh_step,fresh_P_good_minus_P_bad,4,4,1.0,12226,12302.0,fresh_step_base,0.014535943414288538,-3.635977565039915e-19,0.037046217042653595,0.02990728900255757,sufficient,comparable
all,fresh_count,fresh_step,fresh_max_gain_120d_p50,4,4,1.0,12226,12302.0,fresh_step_base,0.0008769908048712418,-2.780999255945679e-05,0.007099524216401032,0.0014904069249440516,sufficient,comparable
all,fresh_count,fresh_step,fresh_max_drawdown_120d_p50,4,4,1.0,12226,12302.0,fresh_step_base,0.0012739668451535288,0.00032788686282340745,0.010150707016335803,0.00123050380174676,sufficient,comparable
train,kth_offset,fresh_step,seed_anchor_big_winner_rate,15,12,0.8,5524,5550.0,fresh_count,0.04092392467456034,9.223540650580663e-18,0.08055305755395684,0.05577848531097787,sufficient,comparable
train,kth_offset,fresh_step,seed_P_good_minus_P_bad,15,12,0.8,5524,5550.0,fresh_count,0.012325085518970384,3.225966647593913e-17,0.11433664374840846,0.01619563814685765,sufficient,comparable
train,kth_offset,fresh_step,fresh_anchor_big_winner_rate,15,12,0.8,5524,5550.0,fresh_count,0.031763340692362516,1.2655141720765325e-17,0.0650961495560612,0.04345467100720132,sufficient,comparable
train,kth_offset,fresh_step,fresh_P_good_minus_P_bad,15,12,0.8,5524,5550.0,fresh_count,0.03611550860001694,-5.387434390767398e-17,0.3972258628221932,0.0341304295685127,sufficient,comparable
train,kth_offset,fresh_step,fresh_max_gain_120d_p50,15,12,0.8,5524,5550.0,fresh_count,0.017360232022424225,0.0015692717127801538,0.04806443965238105,0.01774165576660028,sufficient,comparable
train,kth_offset,fresh_step,fresh_max_drawdown_120d_p50,15,12,0.8,5524,5550.0,fresh_count,0.02008886797198203,-6.350109239895436e-05,0.1064280955402982,0.025795553129526194,sufficient,comparable
validation,kth_offset,fresh_step,seed_anchor_big_winner_rate,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.01543966231578005,5.152366740592938e-19,0.06553413501304321,0.01696248487293263,sufficient,comparable
validation,kth_offset,fresh_step,seed_P_good_minus_P_bad,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.04227910556168448,1.670443606478827e-17,0.3612701717855283,0.04048201845226895,sufficient,comparable
validation,kth_offset,fresh_step,fresh_anchor_big_winner_rate,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.012923215860444608,-9.969027767788794e-19,0.030842182053983952,0.01371742112482853,sufficient,comparable
validation,kth_offset,fresh_step,fresh_P_good_minus_P_bad,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.07704998526975647,-2.294849368623658e-17,0.6518502137697184,0.09582043343653251,sufficient,comparable
validation,kth_offset,fresh_step,fresh_max_gain_120d_p50,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.005547932515917533,0.0015513766327713472,0.029070466979644355,0.006354848399809446,sufficient,comparable
