split,family,stage_role_candidate,episode_count,stage_count,median_wait_return,up_10pct_plus_price_state_share,seed_anchor_big_winner_denominator,seed_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_rate,fresh_path_denominator,fresh_P_good,fresh_P_bad,sample_sufficiency_status
train,momentum_rps,early_confirmation,1712,1,0.04068145618441543,0.0969626168224299,1368.0,0.21198830409356725,1408.0,0.6477272727272727,0.34232954545454547,1354.0,0.1757754800590842,1402.0,0.33238231098430815,0.651925820256776,sufficient
train,momentum_rps,late_continuation,1086,3,0.06545456972989161,0.2283609576427256,926.0,0.17494600431965443,950.0,0.7768421052631579,0.19789473684210526,930.0,0.11612903225806452,956.0,0.3368200836820084,0.6506276150627615,sufficient
train,momentum_rps,not_supported,4168,1,,0.0,3452.0,0.07184241019698726,3574.0,0.10016787912702854,0.8528259653049804,0.0,,0.0,,,sufficient
train,momentum_rps,probe_candidate,3312,1,0.0,0.0,2522.0,0.2204599524187153,2608.0,0.3496932515337423,0.6357361963190185,0.0,,0.0,,,sufficient
train,oscillator,early_confirmation,1486,1,0.041647138731716105,0.14131897711978467,1250.0,0.1824,1292.0,0.6501547987616099,0.3065015479876161,1248.0,0.13141025641025642,1300.0,0.34923076923076923,0.6030769230769231,sufficient
train,oscillator,lagging_price_state_proxy,132,1,0.12255204462684077,0.6818181818181818,120.0,0.3333333333333333,120.0,0.95,0.05,118.0,0.2033898305084746,118.0,0.3728813559322034,0.6271186440677966,sufficient
train,oscillator,late_continuation,1716,2,0.06592205275721041,0.289044289044289,1380.0,0.19420289855072465,1420.0,0.747887323943662,0.21690140845070421,1406.0,0.11806543385490754,1450.0,0.3393103448275862,0.6344827586206897,sufficient
train,oscillator,not_supported,4620,1,,0.0,3624.0,0.11147902869757174,3758.0,0.05854177754124534,0.9196381053751995,0.0,,0.0,,,sufficient
train,oscillator,probe_candidate,2324,1,0.0,0.0,1894.0,0.16684266103484688,1950.0,0.3507692307692308,0.6205128205128205,0.0,,0.0,,,sufficient
train,price_trend,early_confirmation,1264,1,0.05990769096499393,0.13765822784810128,1040.0,0.23461538461538461,1084.0,0.7398523985239852,0.24538745387453875,1040.0,0.18269230769230768,1084.0,0.35977859778597787,0.6254612546125461,sufficient
train,price_trend,lagging_price_state_proxy,74,1,0.09896752787332785,0.5,66.0,0.13636363636363635,66.0,0.9242424242424242,0.06060606060606061,69.0,0.07246376811594203,69.0,0.3333333333333333,0.6521739130434783,thin_episode_denominator
train,price_trend,late_continuation,1132,3,0.06996057784905285,0.20936395759717313,974.0,0.15503080082135523,992.0,0.78125,0.18951612903225806,977.0,0.10337768679631525,997.0,0.354062186559679,0.6308926780341023,sufficient
train,price_trend,not_supported,3888,1,,0.0,3198.0,0.07066916823014384,3312.0,0.0785024154589372,0.8743961352657005,0.0,,0.0,,,sufficient
train,price_trend,probe_candidate,3920,1,0.0,0.0,2990.0,0.2093645484949833,3086.0,0.3311730395333765,0.6552171095268956,0.0,,0.0,,,sufficient
train,pullback_drawdown,early_confirmation,2440,1,0.03353107655666199,0.06311475409836066,1960.0,0.19591836734693877,2022.0,0.5964391691394659,0.3788328387734916,1960.0,0.1683673469387755,2026.0,0.36031589338598224,0.6258637709772952,sufficient
train,pullback_drawdown,late_continuation,876,3,0.05467981454147952,0.12557077625570776,750.0,0.12,778.0,0.7300771208226221,0.2390745501285347,758.0,0.08970976253298153,786.0,0.3460559796437659,0.6335877862595419,sufficient
train,pullback_drawdown,not_supported,3376,1,,0.0,2796.0,0.07868383404864092,2888.0,0.062326869806094184,0.8857340720221607,0.0,,0.0,,,sufficient
train,pullback_drawdown,probe_candidate,3586,1,0.0,0.0,2762.0,0.20347574221578565,2852.0,0.3387096774193548,0.6542776998597476,0.0,,0.0,,,sufficient
train,range_breakout,early_confirmation,1110,1,0.032673258538831185,0.07927927927927927,910.0,0.1956043956043956,950.0,0.5810526315789474,0.391578947368421,912.0,0.16447368421052633,954.0,0.3584905660377358,0.6184486373165619,sufficient
train,range_breakout,late_continuation,314,2,0.055417731225518185,0.17197452229299362,256.0,0.21875,260.0,0.6846153846153846,0.3,254.0,0.14173228346456693,258.0,0.3023255813953488,0.6744186046511628,sufficient
train,range_breakout,not_supported,1096,1,,0.0,872.0,0.14678899082568808,906.0,0.004415011037527594,0.9867549668874173,0.0,,0.0,,,sufficient
train,range_breakout,probe_candidate,7758,1,0.0,0.0,6230.0,0.1434991974317817,6424.0,0.34028642590286423,0.6276463262764632,0.0,,0.0,,,sufficient
train,volatility_band,early_confirmation,1458,1,0.04357027703136929,0.13854595336076816,1166.0,0.17667238421955403,1212.0,0.6386138613861386,0.30528052805280526,1178.0,0.13412563667232597,1224.0,0.36437908496732024,0.5996732026143791,sufficient
train,volatility_band,lagging_price_state_proxy,128,1,0.12696614219709668,0.640625,108.0,0.3333333333333333,108.0,0.9259259259259259,0.05555555555555555,106.0,0.24528301886792453,108.0,0.35185185185185186,0.6481481481481481,sufficient
train,volatility_band,late_continuation,1516,2,0.06974151530525807,0.26649076517150394,1266.0,0.21484992101105846,1296.0,0.7608024691358025,0.2037037037037037,1270.0,0.14645669291338584,1310.0,0.34961832061068704,0.6244274809160305,sufficient
train,volatility_band,not_supported,4364,1,,0.0,3440.0,0.11569767441860465,3572.0,0.07726763717805152,0.9003359462486002,0.0,,0.0,,,sufficient
train,volatility_band,probe_candidate,2812,1,0.0,0.0,2288.0,0.15034965034965034,2352.0,0.3333333333333333,0.6462585034013606,0.0,,0.0,,,sufficient
train,volume_money,early_confirmation,1506,1,0.02555908012174135,0.08764940239043825,1228.0,0.1465798045602606,1270.0,0.5622047244094488,0.3858267716535433,1230.0,0.12032520325203253,1274.0,0.35949764521193095,0.598116169544741,sufficient
train,volume_money,lagging_price_state_proxy,78,1,0.1280603248053176,0.6153846153846154,66.0,0.30303030303030304,70.0,0.9142857142857143,0.08571428571428572,66.0,0.15151515151515152,70.0,0.37142857142857144,0.6285714285714286,thin_episode_denominator
train,volume_money,late_continuation,1096,2,0.07230370794716456,0.3302919708029197,912.0,0.24780701754385964,938.0,0.7590618336886994,0.21108742004264391,914.0,0.17286652078774617,944.0,0.3538135593220339,0.625,sufficient
train,volume_money,not_supported,3446,1,,0.0,2666.0,0.13578394598649662,2762.0,0.08544532947139753,0.8993482983345402,0.0,,0.0,,,sufficient
train,volume_money,probe_candidate,4152,1,0.0,0.0,3396.0,0.13780918727915195,3500.0,0.34114285714285714,0.628,0.0,,0.0,,,sufficient
validation,momentum_rps,early_confirmation,1014,1,0.0360386611117165,0.05325443786982249,826.0,0.08232445520581114,834.0,0.5899280575539568,0.3932853717026379,828.0,0.06280193236714976,834.0,0.290167865707434,0.6954436450839329,sufficient
validation,momentum_rps,lagging_price_state_proxy,35,1,0.10182159368110799,0.5714285714285714,31.0,0.12903225806451613,31.0,0.9354838709677419,0.03225806451612903,32.0,0.09375,31.0,0.3870967741935484,0.5483870967741935,thin_episode_denominator
validation,momentum_rps,late_continuation,531,3,0.06195390973135617,0.15065913370998116,421.0,0.0997624703087886,425.0,0.7694117647058824,0.1952941176470588,426.0,0.06338028169014084,427.0,0.3700234192037471,0.5878220140515222,sufficient
validation,momentum_rps,not_supported,2478,1,,0.0,1750.0,0.022857142857142857,1766.0,0.13137032842582105,0.7995469988674971,0.0,,0.0,,,sufficient
validation,momentum_rps,probe_candidate,1724,1,0.0,0.0,1370.0,0.06569343065693431,1376.0,0.2747093023255814,0.7180232558139535,0.0,,0.0,,,sufficient
validation,oscillator,early_confirmation,990,1,0.03225808436366906,0.05858585858585859,714.0,0.056022408963585436,724.0,0.643646408839779,0.30386740331491713,720.0,0.03611111111111111,732.0,0.4180327868852459,0.5300546448087432,sufficient
validation,oscillator,lagging_price_state_proxy,26,1,0.08675335323206257,0.46153846153846156,24.0,0.041666666666666664,24.0,0.9166666666666666,0.08333333333333333,23.0,0.08695652173913043,23.0,0.34782608695652173,0.6521739130434783,thin_episode_denominator
validation,oscillator,late_continuation,934,3,0.059812233786919466,0.22483940042826553,750.0,0.09733333333333333,752.0,0.7420212765957447,0.2127659574468085,735.0,0.0707482993197279,737.0,0.37177747625508817,0.582089552238806,sufficient
validation,oscillator,not_supported,2810,1,,0.0,2092.0,0.03441682600382409,2114.0,0.06906338694418164,0.9035004730368968,0.0,,0.0,,,sufficient
validation,oscillator,probe_candidate,1022,1,0.0,0.0,818.0,0.07090464547677261,818.0,0.3251833740831296,0.6356968215158925,0.0,,0.0,,,sufficient
validation,price_trend,early_confirmation,594,1,0.0502242545987206,0.08080808080808081,486.0,0.05761316872427984,488.0,0.6885245901639344,0.30327868852459017,488.0,0.03278688524590164,492.0,0.3130081300813008,0.6666666666666666,sufficient
validation,price_trend,late_continuation,618,3,0.06770709846507805,0.1715210355987055,514.0,0.10894941634241245,518.0,0.8185328185328186,0.16216216216216217,512.0,0.08203125,514.0,0.3657587548638132,0.5953307392996109,sufficient
validation,price_trend,not_supported,2772,1,,0.0,1930.0,0.024870466321243522,1948.0,0.12320328542094455,0.8100616016427105,0.0,,0.0,,,sufficient
validation,price_trend,probe_candidate,1798,1,0.0,0.0,1468.0,0.07629427792915532,1478.0,0.30987821380243574,0.6779431664411367,0.0,,0.0,,,sufficient
validation,pullback_drawdown,early_confirmation,1448,1,0.031585752441190884,0.03867403314917127,1166.0,0.0686106346483705,1178.0,0.5127334465195246,0.4634974533106961,1172.0,0.05460750853242321,1174.0,0.27597955706984667,0.7052810902896082,sufficient
validation,pullback_drawdown,late_continuation,530,3,0.05502393026769625,0.1018867924528302,380.0,0.07368421052631578,384.0,0.7291666666666666,0.21354166666666666,398.0,0.04522613065326633,402.0,0.39303482587064675,0.5472636815920398,sufficient
validation,pullback_drawdown,not_supported,2252,1,,0.0,1578.0,0.031685678073510776,1596.0,0.11904761904761904,0.818295739348371,0.0,,0.0,,,sufficient
validation,pullback_drawdown,probe_candidate,1552,1,0.0,0.0,1274.0,0.06750392464678179,1274.0,0.30141287284144425,0.6891679748822606,0.0,,0.0,,,sufficient
validation,range_breakout,early_confirmation,572,1,0.025484246750209105,0.04195804195804196,456.0,0.07456140350877193,458.0,0.5283842794759825,0.4410480349344978,448.0,0.06696428571428571,450.0,0.32,0.6577777777777778,sufficient
validation,range_breakout,late_continuation,125,2,0.05355511522951839,0.16,114.0,0.08771929824561403,114.0,0.8070175438596491,0.15789473684210525,107.0,0.09345794392523364,107.0,0.45794392523364486,0.5233644859813084,sufficient
validation,range_breakout,not_supported,661,2,0.010607737540495377,0.0,528.0,0.045454545454545456,534.0,0.011235955056179775,0.9850187265917603,1.0,0.0,1.0,1.0,0.0,sufficient
