split,kth_fresh_step_bucket,kth_fresh_offset_bucket,wait_return_bucket,last_added_family_set,fresh_step_count,seed_episode_count,unique_instrument_count,unique_signal_date_count,seed_anchor_big_winner_rate,seed_P_good,seed_P_bad,fresh_anchor_big_winner_rate,fresh_P_good,fresh_P_bad,fresh_max_gain_120d_p50,fresh_max_drawdown_120d_p50,sample_sufficiency_status
train,1,t11_t20,down_or_flat,oscillator,10,10,8,9,0.0,0.2,0.7,0.0,0.2,0.7,0.036080250568885155,-0.1568242937735975,thin_episode_denominator
train,1,t11_t20,down_or_flat,oscillator|range_breakout,2,2,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0489258977222504,-0.1941254034226857,thin_episode_denominator
train,1,t11_t20,down_or_flat,oscillator|volatility_band,2,2,2,2,0.0,0.5,0.5,0.0,0.5,0.5,0.11589974564996534,-0.17101933875712505,thin_episode_denominator
train,1,t11_t20,down_or_flat,price_trend|range_breakout,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2980769706901025,-0.2044444613986544,thin_episode_denominator
train,1,t11_t20,down_or_flat,range_breakout,11,11,11,11,0.0,0.3,0.6,0.0,0.36363636363636365,0.45454545454545453,0.1064814860806051,-0.2129585213004683,thin_episode_denominator
train,1,t11_t20,down_or_flat,range_breakout|volume_money,3,3,3,3,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0484428586172103,-0.235973571260914,thin_episode_denominator
train,1,t11_t20,down_or_flat,volatility_band,6,6,6,5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.1532827869965222,-0.1979030164455089,thin_episode_denominator
train,1,t11_t20,down_or_flat,volatility_band|volume_money,1,1,1,1,,,,,,,0.3679654390070557,-0.2151898886985145,thin_episode_denominator
train,1,t11_t20,down_or_flat,volume_money,29,29,24,26,0.043478260869565216,0.391304347826087,0.4782608695652174,0.04,0.44,0.48,0.1417366232621089,-0.1910828212480255,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|oscillator|price_trend,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.1381732460366234,-0.1758241815823832,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|oscillator|price_trend|pullback_drawdown,1,1,1,1,,1.0,0.0,,1.0,0.0,0.7992452945349351,-0.1590056021657174,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|oscillator|pullback_drawdown|volatility_band|volume_money,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2532561560989612,-0.3181292940122907,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,1,1,1,1,,,,,,,0.2755906053817019,-0.2777777995810309,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|price_trend|pullback_drawdown|volatility_band|volume_money,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.3911845816877197,-0.1247524931972808,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|pullback_drawdown,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0478842235072871,-0.319872454925966,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|pullback_drawdown|volatility_band,2,2,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0386698319129499,-0.38551007224336165,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|volatility_band,1,1,1,1,,,,,,,0.0934046670408379,-0.2575806846716149,thin_episode_denominator
train,1,t11_t20,up_0_5pct,momentum_rps|volume_money,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.2958167607881794,-0.1852940612735759,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator,27,27,24,23,0.07692307692307693,0.5,0.4230769230769231,0.037037037037037035,0.4074074074074074,0.5185185185185185,0.1306122151080497,-0.1919002564760134,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|price_trend|pullback_drawdown|range_breakout,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.5595237900948573,-0.4274808910230487,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|price_trend|pullback_drawdown|volatility_band,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.3683384616994387,-0.1272264609431851,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|price_trend|volatility_band|volume_money,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.1097780393119769,-0.1427027212606894,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|price_trend|volume_money,1,1,1,1,1.0,0.0,1.0,1.0,0.0,1.0,1.3512234203743674,-0.4665995349117139,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|pullback_drawdown,2,2,2,2,0.0,1.0,0.0,,1.0,0.0,0.16642533369540197,-0.29387277675283824,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|pullback_drawdown|volatility_band,1,1,1,1,,,,,,,0.1820948692354527,-0.3551953671706974,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|range_breakout,1,1,1,1,,,,,,,0.0280898154015183,-0.2386156643705523,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|range_breakout|volatility_band,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0794872068663898,-0.31345821322371,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|volatility_band,9,9,9,8,0.0,0.2857142857142857,0.2857142857142857,0.0,0.25,0.5,0.1302605461285981,-0.1329787265522296,thin_episode_denominator
train,1,t11_t20,up_0_5pct,oscillator|volume_money,14,14,13,12,0.0,0.45454545454545453,0.5454545454545454,0.0,0.3333333333333333,0.5,0.06100802351257345,-0.19645153977916913,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.4740566833454718,-0.264000015258789,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend|pullback_drawdown|volatility_band,1,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0652174157170883,-0.2704081839527431,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend|range_breakout,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.3669064040715717,-0.2210525954749324,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend|range_breakout|volume_money,1,1,1,1,,,,,,,0.0170709414581928,-0.343639573441349,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend|volatility_band,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.463592324588155,-0.2437811303286056,thin_episode_denominator
train,1,t11_t20,up_0_5pct,price_trend|volume_money,4,4,4,4,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.05859619369394705,-0.2039363943533522,thin_episode_denominator
train,1,t11_t20,up_0_5pct,pullback_drawdown,4,4,4,4,0.0,0.75,0.25,0.0,0.5,0.5,0.1766304201425369,-0.2028919851587513,thin_episode_denominator
train,1,t11_t20,up_0_5pct,pullback_drawdown|volatility_band,2,2,2,2,0.0,1.0,0.0,0.0,0.5,0.5,0.06279738109030594,-0.2146222781306572,thin_episode_denominator
train,1,t11_t20,up_0_5pct,range_breakout,3,3,3,3,0.0,0.5,0.5,0.0,0.5,0.5,0.1606805424778381,-0.3025876576388678,thin_episode_denominator
train,1,t11_t20,up_0_5pct,range_breakout|volatility_band,2,2,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.02873528805293275,-0.26497458116421335,thin_episode_denominator
train,1,t11_t20,up_0_5pct,range_breakout|volatility_band|volume_money,1,1,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.3497855119539463,-0.2775119882336276,thin_episode_denominator
