policy_id,split_bucket,context_stratum,binary_step_n,positive_n,negative_n,neutral_step_n,defended_binary_step_n,continued_binary_step_n,defended_positive_n,defended_negative_n,continued_positive_n,continued_negative_n,neutral_defended_n,neutral_continued_n,binary_negative_base_rate,defense_rate,defense_negative_capture_rate,positive_sacrifice_rate,defense_precision,defense_precision_lift_vs_binary_negative_base,continue_positive_precision,continue_negative_leakage_rate,neutral_defense_rate,valid_stratum_power,context_independence_status,context_caveat
defense_bottom_10pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,1497,13465,556,941,9522,3943,237,5046,0.326426948268948,0.10005346878759525,0.19266994266994267,0.055169676523119666,0.6285905143620575,0.30216356609310946,0.7071667285555143,0.8073300573300574,0.044860874503123226,True,readout,
defense_bottom_10pct_continuation_score_v1,train,late_rescue_context,7603,5066,2537,3018,802,6801,285,517,4781,2020,145,2873,0.3336840720768118,0.10548467710114429,0.20378399684666929,0.05625740228977497,0.6446384039900249,0.31095433191321314,0.7029848551683576,0.7962160031533307,0.04804506295559974,True,readout,
defense_bottom_10pct_continuation_score_v1,train,non_late_rescue_context,7359,5012,2347,2265,695,6664,271,424,4741,1923,92,2173,0.31892920233727406,0.09444217964397336,0.18065615679590968,0.05407023144453312,0.6100719424460431,0.29114274010876906,0.7114345738295318,0.8193438432040904,0.04061810154525387,True,readout,
defense_bottom_10pct_continuation_score_v1,train,known_failed_context_any,11197,7410,3787,4257,1181,10016,430,751,6980,3036,204,4053,0.3382155934625346,0.10547468071804948,0.19831000792183787,0.058029689608636977,0.6359017781541066,0.29768618469157204,0.6968849840255591,0.8016899920781622,0.04792107117688513,True,readout,
defense_bottom_10pct_continuation_score_v1,train,non_known_failed_context,3765,2668,1097,1026,316,3449,126,190,2542,907,33,993,0.29136786188579017,0.08393094289508632,0.1731996353691887,0.0472263868065967,0.6012658227848101,0.30989796089901994,0.7370252247028124,0.8268003646308113,0.03216374269005848,True,readout,
defense_bottom_10pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,199,1673,81,118,1265,408,30,594,0.280982905982906,0.1063034188034188,0.22433460076045628,0.060178306092124816,0.592964824120603,0.31198191813769705,0.7561267184698147,0.7756653992395437,0.04807692307692308,True,readout,
defense_bottom_10pct_continuation_score_v1,robustness,late_rescue_context,319,214,105,104,30,289,9,21,205,84,8,96,0.329153605015674,0.09404388714733543,0.2,0.04205607476635514,0.7,0.370846394984326,0.7093425605536332,0.8,0.07692307692307693,True,readout,
defense_bottom_10pct_continuation_score_v1,robustness,non_late_rescue_context,1553,1132,421,520,169,1384,72,97,1060,324,22,498,0.27108821635544106,0.10882163554410818,0.23040380047505937,0.0636042402826855,0.5739644970414202,0.3028762806859791,0.7658959537572254,0.7695961995249406,0.04230769230769231,True,readout,
defense_bottom_10pct_continuation_score_v1,robustness,known_failed_context_any,965,663,302,336,119,846,48,71,615,231,16,320,0.31295336787564765,0.12331606217616581,0.23509933774834438,0.07239819004524888,0.5966386554621849,0.2836852875865372,0.7269503546099291,0.7649006622516556,0.047619047619047616,True,readout,
defense_bottom_10pct_continuation_score_v1,robustness,non_known_failed_context,907,683,224,288,80,827,33,47,650,177,14,274,0.24696802646085997,0.08820286659316427,0.20982142857142858,0.048316251830161056,0.5875,0.34053197353914005,0.7859733978234583,0.7901785714285714,0.04861111111111111,True,readout,
