split_bucket,policy_family,grid_point_n,negative_capture_monotonic_status,positive_sacrifice_monotonic_status,defense_precision_above_base_grid_n,stability_status,blocking_reason
train,bottom_quantile_defense_on_continuation_score,4,pass,pass,4,pass,
robustness,bottom_quantile_defense_on_continuation_score,4,pass,pass,4,pass,
validation,bottom_quantile_defense_on_continuation_score,4,pass,pass,4,pass,
