policy_id,policy_family,policy_role,score_model_id,defense_quantile,threshold_source_split,action_rule,used_for_primary_decision,allowed_for_16e_if_ready
defense_bottom_10pct_continuation_score_v1,bottom_quantile_defense_on_continuation_score,diagnostic_grid_readout,ridge_logistic_bar_state_v1,0.1,train,defend_next_h20_if_score_le_train_binary_quantile_else_continue_next_h20,False,False
defense_bottom_20pct_continuation_score_v1,bottom_quantile_defense_on_continuation_score,diagnostic_grid_readout,ridge_logistic_bar_state_v1,0.2,train,defend_next_h20_if_score_le_train_binary_quantile_else_continue_next_h20,False,False
defense_bottom_30pct_continuation_score_v1,bottom_quantile_defense_on_continuation_score,primary,ridge_logistic_bar_state_v1,0.3,train,defend_next_h20_if_score_le_train_binary_quantile_else_continue_next_h20,True,True
defense_bottom_40pct_continuation_score_v1,bottom_quantile_defense_on_continuation_score,diagnostic_grid_readout,ridge_logistic_bar_state_v1,0.4,train,defend_next_h20_if_score_le_train_binary_quantile_else_continue_next_h20,False,False
