policy_id,threshold_source_split,threshold_source_model_id,threshold_fit_population,threshold_quantile,threshold_value,threshold_tie_policy,train_score_n,train_binary_score_n,neutral_rows_excluded_from_fit,validation_used_for_threshold,robustness_used_for_threshold,threshold_freeze_status,blocking_reason
defense_bottom_10pct_continuation_score_v1,train,ridge_logistic_bar_state_v1,train_binary_primary_model_score_rows,0.1,0.3007733534084162,defend if primary_score <= threshold_value,20245,14962,True,False,False,pass,
defense_bottom_20pct_continuation_score_v1,train,ridge_logistic_bar_state_v1,train_binary_primary_model_score_rows,0.2,0.39763750207858806,defend if primary_score <= threshold_value,20245,14962,True,False,False,pass,
defense_bottom_30pct_continuation_score_v1,train,ridge_logistic_bar_state_v1,train_binary_primary_model_score_rows,0.3,0.4570714890970447,defend if primary_score <= threshold_value,20245,14962,True,False,False,pass,
defense_bottom_40pct_continuation_score_v1,train,ridge_logistic_bar_state_v1,train_binary_primary_model_score_rows,0.4,0.5014795294713565,defend if primary_score <= threshold_value,20245,14962,True,False,False,pass,
