artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role
requirement,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/requirement_16d_sequential_continuation_policy_preflight.md,1247,723e5995472d94587090c2bc3855b545804169dfc272e08db37748f502f6e9a2,pass,pass,required,requirement
source_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/research_plan.md,98,e7e5dfb5953d8e0440287980583054d73190a69ef659f99ce147b8389197910c,pass,pass,required,source_plan
stock_daily_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,4598,,pass,pass,required,stock_daily_qfq_dir
pit_executable_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,1140000,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,pass,pass,required,pit_executable_daily
pit_membership_daily,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_membership_daily.csv,1140500,982cc6930b27c4b255f019af5180ef835667280b841154af8c2ca9b0138a863b,pass,pass,required,pit_membership_daily
upstream_16b_config,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/configs/config_16b_sequential_continuation_label_design_diagnostic.yaml,78,16b9e7417f477efab53f01d1d7b7e01062c4e92c7bb8ef9bd4b95f7227813de1,pass,pass,required,upstream_16b_config
upstream_16b_runner,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/src/run_16b_sequential_continuation_label_design_diagnostic.py,1433,54af61c8dd07c7961fc3af8ce47b2ec49fe3680beeda5f1548cf14e4f52214f1,pass,pass,required,upstream_16b_runner
upstream_16b_continuation_label_step_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16B_sequential_continuation_label_design_diagnostic/continuation_label_step_panel.parquet,504580,5199f61ea9a625a92eb0e5a0f86deed73fc539d65e74ee2623cadbc16700f2f1,pass,pass,optional_cache,upstream_16b_continuation_label_step_panel
upstream_16b_base_rate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,135,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,required,upstream_16b_base_rate_readout
upstream_16b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,1,1b3f820fe4aeb4c4da7aa0b68e6d3ec2abe6f35b216f26a657ba9131c486e3ef,pass,pass,required,upstream_16b_decision
upstream_16b_step_materialization_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_materialization_audit.csv,45,7973e0248154b30996411eca80dedb0df7cfc0e5be33c3fdb8d374ea79cf0beb,pass,pass,required,upstream_16b_step_materialization_audit
upstream_16b_step_lineage_adapter_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/step_lineage_adapter_audit.csv,45,7973e0248154b30996411eca80dedb0df7cfc0e5be33c3fdb8d374ea79cf0beb,pass,pass,required,upstream_16b_step_lineage_adapter_audit
