split_bucket,policy_id,defense_quantile,threshold_value,defense_rate,defense_negative_capture_rate,positive_sacrifice_rate,defense_precision,defense_precision_lift_vs_binary_negative_base,continue_negative_leakage_rate,frontier_status
train,defense_bottom_10pct_continuation_score_v1,0.1,0.3007733534084162,0.10005346878759525,0.19266994266994267,0.055169676523119666,0.6285905143620575,0.30216356609310946,0.8073300573300574,pass
robustness,defense_bottom_10pct_continuation_score_v1,0.1,0.3007733534084162,0.1063034188034188,0.22433460076045628,0.060178306092124816,0.592964824120603,0.31198191813769705,0.7756653992395437,pass
validation,defense_bottom_10pct_continuation_score_v1,0.1,0.3007733534084162,0.12475247524752475,0.20555555555555555,0.08,0.5873015873015873,0.2308659437372309,0.7944444444444444,pass
train,defense_bottom_20pct_continuation_score_v1,0.2,0.39763750207858806,0.20004010159069643,0.33886158886158885,0.1327644373883707,0.552956899432008,0.22652995116305996,0.6611384111384111,pass
robustness,defense_bottom_20pct_continuation_score_v1,0.2,0.39763750207858806,0.16185897435897437,0.3155893536121673,0.10178306092124814,0.5478547854785478,0.26687187949564184,0.6844106463878327,pass
validation,defense_bottom_20pct_continuation_score_v1,0.2,0.39763750207858806,0.2594059405940594,0.37222222222222223,0.19692307692307692,0.5114503816793893,0.15501473811503286,0.6277777777777778,pass
train,defense_bottom_30pct_continuation_score_v1,0.3,0.4570714890970447,0.3000267343937976,0.47072072072072074,0.21730502083746775,0.5121407885943418,0.18571384032539373,0.5292792792792793,pass
robustness,defense_bottom_30pct_continuation_score_v1,0.3,0.4570714890970447,0.21207264957264957,0.3726235741444867,0.14933135215453194,0.49370277078085645,0.21271986479795046,0.6273764258555133,pass
validation,defense_bottom_30pct_continuation_score_v1,0.3,0.4570714890970447,0.31287128712871287,0.45,0.23692307692307693,0.5126582278481012,0.1562225842837448,0.55,pass
train,defense_bottom_40pct_continuation_score_v1,0.4,0.5014795294713565,0.4000133671968988,0.5733005733005733,0.3160349275649931,0.4678362573099415,0.14140930904099347,0.4266994266994267,pass
robustness,defense_bottom_40pct_continuation_score_v1,0.4,0.5014795294713565,0.25854700854700857,0.43155893536121676,0.19093610698365526,0.4690082644628099,0.18802535847990393,0.5684410646387833,pass
validation,defense_bottom_40pct_continuation_score_v1,0.4,0.5014795294713565,0.38415841584158417,0.5277777777777778,0.3046153846153846,0.4896907216494845,0.1332550780851281,0.4722222222222222,pass
