split_bucket,labelable_step_n,binary_step_n,neutral_step_n,neutral_rate,neutral_defended_n,neutral_continued_n,neutral_defense_rate,neutral_usage,neutral_mapped_to_negative_n,neutral_handling_gate
train,20245,14962,5283,0.2609533218078538,1095,4188,0.2072685973878478,excluded_from_binary_confusion_threshold_fit_after_freeze_action_readout_only,0,pass
robustness,2496,1872,624,0.25,89,535,0.14262820512820512,excluded_from_binary_confusion_threshold_fit_after_freeze_action_readout_only,0,pass
validation,664,505,159,0.2394578313253012,25,134,0.15723270440251572,excluded_from_binary_confusion_threshold_fit_after_freeze_action_readout_only,0,pass
