feature_id,missing_rate_before_impute,winsor_low_clip_rate,winsor_high_clip_rate,post_transform_null_rate,risk_on_train_reference_rate,clip_rate_excess_vs_risk_on_train,status
return_10d,,,,,,,riskoff_feature_matrix_not_materialized
return_60d,,,,,,,riskoff_feature_matrix_not_materialized
stock_vs_market_5d,,,,,,,riskoff_feature_matrix_not_materialized
stock_vs_market_10d,,,,,,,riskoff_feature_matrix_not_materialized
close_to_high_120,,,,,,,riskoff_feature_matrix_not_materialized
direction_entropy_20d,,,,,,,riskoff_feature_matrix_not_materialized
ema60_positive_run,,,,,,,riskoff_feature_matrix_not_materialized
panel_return_20d_rolling_z_60d,,,,,,,riskoff_feature_matrix_not_materialized
panel_return_20d_rolling_pct_60d,,,,,,,riskoff_feature_matrix_not_materialized
log_close_fracdiff_d04,,,,,,,riskoff_feature_matrix_not_materialized
family_count,,,,,,,riskoff_feature_matrix_not_materialized
channel_count,,,,,,,riskoff_feature_matrix_not_materialized
raw_cluster_event_count,,,,,,,riskoff_feature_matrix_not_materialized
event_family_priority,,,,,,,riskoff_feature_matrix_not_materialized
close_to_ema20,,,,,,,riskoff_feature_matrix_not_materialized
close_to_ema60,,,,,,,riskoff_feature_matrix_not_materialized
ema20_slope_20d,,,,,,,riskoff_feature_matrix_not_materialized
ema60_slope_20d,,,,,,,riskoff_feature_matrix_not_materialized
return_5d,,,,,,,riskoff_feature_matrix_not_materialized
return_20d,,,,,,,riskoff_feature_matrix_not_materialized
stock_vs_market_20d,,,,,,,riskoff_feature_matrix_not_materialized
stock_vs_board_20d,,,,,,,riskoff_feature_matrix_not_materialized
close_to_high_60,,,,,,,riskoff_feature_matrix_not_materialized
relative_cusum_20d,,,,,,,riskoff_feature_matrix_not_materialized
atr_20_pct,,,,,,,riskoff_feature_matrix_not_materialized
atr_pct_rank_60d,,,,,,,riskoff_feature_matrix_not_materialized
intraday_range_pct,,,,,,,riskoff_feature_matrix_not_materialized
close_position_in_range,,,,,,,riskoff_feature_matrix_not_materialized
upper_shadow_pct,,,,,,,riskoff_feature_matrix_not_materialized
gap_open_pct,,,,,,,riskoff_feature_matrix_not_materialized
range_width_ratio_20d_60d,,,,,,,riskoff_feature_matrix_not_materialized
intraday_range_atr_norm,,,,,,,riskoff_feature_matrix_not_materialized
return_20d_sigma_norm,,,,,,,riskoff_feature_matrix_not_materialized
amount_ratio_20d,,,,,,,riskoff_feature_matrix_not_materialized
amount_ratio_60d,,,,,,,riskoff_feature_matrix_not_materialized
turnover_ratio_20d,,,,,,,riskoff_feature_matrix_not_materialized
turnover_ratio_60d,,,,,,,riskoff_feature_matrix_not_materialized
quality_amount_flag,,,,,,,riskoff_feature_matrix_not_materialized
market_return_20d,,,,,,,riskoff_feature_matrix_not_materialized
market_drawdown_60d,,,,,,,riskoff_feature_matrix_not_materialized
market_volatility_20d,,,,,,,riskoff_feature_matrix_not_materialized
universe_up_share,,,,,,,riskoff_feature_matrix_not_materialized
universe_up_share_z,,,,,,,riskoff_feature_matrix_not_materialized
universe_up_share_change_5d,,,,,,,riskoff_feature_matrix_not_materialized
board_relative_cusum_20d,,,,,,,riskoff_feature_matrix_not_materialized
momentum_percentile_20d,,,,,,,riskoff_feature_matrix_not_materialized
prior_event_count_20d,,,,,,,riskoff_feature_matrix_not_materialized
prior_event_count_60d,,,,,,,riskoff_feature_matrix_not_materialized
