model_id,model_family,train_target_component,ablation_id,calibration_id,feature_count,family_count,direct_overlap_feature_count,related_overlap_feature_count,rolling_fracdiff_feature_count
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,10,1,0,2,3
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,10,1,0,2,3
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,10,1,0,2,3
regularized_logistic_or_elastic_net__fast_fail_only_10d__full__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,full,none,48,7,0,13,3
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_direct_overlap__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,drop_direct_overlap,none,48,7,0,13,3
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,drop_direct_related_overlap,none,35,7,0,0,3
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,drop_fs2_related_subset_only,none,43,7,0,8,3
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs0_rolling_fracdiff_hygiene__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,drop_fs0_rolling_fracdiff_hygiene,none,45,7,0,13,0
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,regularized_logistic_or_elastic_net,fast_fail_only_10d,family_representative_features_only,none,7,7,0,2,0
regularized_logistic_or_elastic_net__false_repair_20d_component__full__none,regularized_logistic_or_elastic_net,false_repair_20d_component,full,none,48,7,0,13,3
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,48,7,0,13,3
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_related_overlap,none,35,7,0,0,3
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_fs2_related_subset_only,none,43,7,0,8,3
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_fs0_rolling_fracdiff_hygiene,none,45,7,0,13,0
regularized_logistic_or_elastic_net__false_repair_20d_component__family_representative_features_only__none,regularized_logistic_or_elastic_net,false_repair_20d_component,family_representative_features_only,none,7,7,0,2,0
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,none,48,7,0,13,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_direct_overlap__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_direct_overlap,none,48,7,0,13,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_direct_related_overlap,none,35,7,0,0,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_fs2_related_subset_only__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_fs2_related_subset_only,none,43,7,0,8,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_fs0_rolling_fracdiff_hygiene__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_fs0_rolling_fracdiff_hygiene,none,45,7,0,13,0
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__family_representative_features_only__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,family_representative_features_only,none,7,7,0,2,0
shallow_tree_or_bagging_shallow_trees_diagnostic__fast_fail_only_10d__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,fast_fail_only_10d,full,none,48,7,0,13,3
shallow_tree_or_bagging_shallow_trees_diagnostic__false_repair_20d_component__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,false_repair_20d_component,full,none,48,7,0,13,3
shallow_tree_or_bagging_shallow_trees_diagnostic__hybrid_cost_bad_10_20__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,hybrid_cost_bad_10_20,full,none,48,7,0,13,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,platt,48,7,0,13,3
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,isotonic,48,7,0,13,3
