model_id,train_target_component,threshold_id,denominator_id,split,e1_missed_winner_n,rejected_e1_missed_winner_n,e1_missed_retention,e1_missed_definition,proxy_status
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,robustness,306,104,0.6601307189542484,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,train,497,149,0.7002012072434608,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,validation,41,13,0.6829268292682927,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,robustness,991,315,0.6821392532795156,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,train,1593,427,0.7319522912743252,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,validation,121,44,0.6363636363636364,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,robustness,306,120,0.6078431372549019,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,train,497,172,0.6539235412474849,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,validation,41,15,0.6341463414634146,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,robustness,991,355,0.6417759838546923,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,train,1593,490,0.6924042686754551,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,validation,121,47,0.6115702479338843,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,robustness,306,123,0.5980392156862745,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,train,497,193,0.6116700201207244,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,validation,41,16,0.6097560975609756,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,robustness,991,376,0.62058526740666,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,train,1593,546,0.6572504708097928,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,validation,121,50,0.5867768595041323,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,robustness,306,129,0.5784313725490197,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,train,497,214,0.5694164989939637,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,validation,41,16,0.6097560975609756,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,robustness,991,400,0.5963673057517659,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,train,1593,607,0.6189579409918393,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,validation,121,50,0.5867768595041323,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,robustness,306,137,0.5522875816993464,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,train,497,227,0.5432595573440644,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,validation,41,17,0.5853658536585366,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,robustness,991,422,0.574167507568113,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,train,1593,643,0.5963590709353421,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,validation,121,53,0.5619834710743802,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,robustness,306,143,0.5326797385620915,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,train,497,245,0.5070422535211268,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,validation,41,17,0.5853658536585366,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,robustness,991,439,0.557013118062563,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,train,1593,695,0.5637162586315129,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,validation,121,55,0.5454545454545454,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,robustness,306,147,0.5196078431372549,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,train,497,256,0.48490945674044267,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,validation,41,18,0.5609756097560976,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,robustness,991,465,0.5307769929364279,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,train,1593,740,0.5354676710608914,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,validation,121,56,0.5371900826446281,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,robustness,306,67,0.7810457516339869,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,train,497,117,0.7645875251509054,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,validation,41,5,0.8780487804878049,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,robustness,991,205,0.79313824419778,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,train,1593,365,0.770872567482737,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,validation,121,17,0.859504132231405,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,robustness,306,75,0.7549019607843137,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,train,497,129,0.7404426559356136,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,validation,41,9,0.7804878048780488,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,robustness,991,231,0.7669021190716448,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,train,1593,408,0.743879472693032,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,validation,121,22,0.8181818181818182,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,robustness,306,82,0.7320261437908496,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,train,497,142,0.7142857142857143,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,validation,41,9,0.7804878048780488,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,robustness,991,253,0.7447023208879919,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,train,1593,451,0.7168863779033271,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,validation,121,23,0.8099173553719008,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,robustness,306,86,0.7189542483660131,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,train,497,154,0.6901408450704225,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,validation,41,10,0.7560975609756098,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,robustness,991,275,0.722502522704339,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,train,1593,493,0.6905210295040803,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,validation,121,25,0.7933884297520661,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,robustness,306,92,0.6993464052287581,episode_level_proxy_from_08_membership,no_episode_membership_for_event
