metric,value,cap,cap_usage_ratio,binding_flag,status
formal_event_day_density,26.344073647871117,7.5,3.5125431530494824,True,cap_exceeded
p95_density,59.0,20.0,2.95,True,cap_exceeded
rolling_10d_executable_event_day_density,5.0,1.8,2.7777777777777777,True,cap_exceeded
rolling_20d_executable_event_day_density,5.0,2.2,2.2727272727272725,True,cap_exceeded
family_concentration,0.2686847507971869,0.3,0.895615835990623,True,pass
board_concentration,0.8236578866902546,0.85,0.9690092784591231,True,pass
