model_id,model_family,train_target_component,ablation_id,calibration_id,denominator_id,split,sample_n,positive_n,positive_rate,roc_auc,pr_auc,brier_score,top_decile_lift,bottom_decile_cost_bad_rate,score_target_monotonicity_spearman,readout_scope
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r6_horizon_complete,robustness,3003,852,0.2837162837162837,0.674212199706696,0.5184247556226874,0.237430385793921,2.259990173599738,0.13953488372093023,0.9878787878787878,readout_only
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r6_horizon_complete,train,4816,1879,0.3901578073089701,0.6229362906860688,0.5350813209867125,0.24513435195360175,1.5899513955290954,0.21991701244813278,0.9999999999999999,readout_only
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r6_horizon_complete,validation,1441,387,0.2685634975711312,0.6485273141270934,0.4590890168187078,0.2361718418935045,1.8232379934063974,0.1103448275862069,0.9515151515151514,readout_only
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r_core_horizon_complete,robustness,9730,2724,0.27995889003083246,0.6899222538995863,0.5033211797052357,0.23657413624878212,2.1585903083700444,0.14285714285714285,0.9878787878787878,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r_core_horizon_complete,train,16603,6352,0.38258146118171416,0.6515869988875101,0.5769322516381363,0.23755827449294153,1.6900934840927668,0.1782059000602047,0.9999999999999999,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,risk_on_r_core_horizon_complete,validation,4457,1301,0.2919003814224815,0.6707564356112287,0.49098504871948867,0.23270666779418353,1.8588564160718042,0.11434977578475336,0.9999999999999999,supported_gate
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r6_horizon_complete,robustness,3003,195,0.065086782376502,0.7637494712514339,0.16210252783548051,0.2693339972003912,2.714324786324786,0.0033333333333333335,0.9969650916353059,readout_only
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r6_horizon_complete,train,4816,426,0.08886107634543179,0.7525847144245821,0.24088508582798324,0.2503966918260146,2.977494131455399,0.0020833333333333333,0.9393939393939393,readout_only
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r6_horizon_complete,validation,1441,120,0.08333333333333333,0.7247035969793836,0.2392178379749389,0.2713873122642122,3.0,0.0,0.9632626970495626,readout_only
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r_core_horizon_complete,robustness,9730,584,0.060137987848831224,0.7390232599975243,0.1316875026111397,0.2714116470496746,2.617437214611872,0.00102880658436214,0.9999999999999999,supported_gate
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r_core_horizon_complete,train,16603,1250,0.07543298533582765,0.7523020115560243,0.24384886834079728,0.2425471128446373,2.926410615199035,0.0036188178528347406,0.9999999999999999,supported_gate
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,h_style_logistic_baseline,fast_fail_only_10d,baseline_fs0,none,risk_on_r_core_horizon_complete,validation,4457,338,0.07586980920314254,0.731730048956308,0.18933489781614393,0.2698686863037626,2.9552630880675035,0.002242152466367713,0.9999999999999999,supported_gate
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r6_horizon_complete,robustness,3003,909,0.3026973026973027,0.6464399067236521,0.5161497339275589,0.24147183407508963,2.140225650472024,0.17940199335548174,0.8997002046464956,readout_only
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r6_horizon_complete,train,4816,1945,0.40386212624584716,0.6098414171588471,0.5408802000459791,0.24706661493307389,1.5565478031765672,0.2697095435684647,0.9757575757575757,readout_only
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r6_horizon_complete,validation,1441,421,0.2921582234559334,0.6243635760325712,0.46281604183461494,0.2409260801198922,1.652387582930625,0.15172413793103448,0.9240164263936982,readout_only
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r_core_horizon_complete,robustness,9730,2878,0.2957862281603289,0.6621708066344812,0.5018797751868699,0.24052733715691785,2.077831827658096,0.19527235354573483,0.9515151515151514,supported_gate
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r_core_horizon_complete,train,16603,6484,0.3905318315966994,0.6408928308965353,0.577933402551417,0.23952650051454497,1.6433540292392035,0.19265502709211318,0.9999999999999999,supported_gate
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,h_style_logistic_baseline,hybrid_cost_bad_10_20,baseline_fs0,none,risk_on_r_core_horizon_complete,validation,4457,1386,0.31097150549697106,0.6472253591462505,0.4888281578964342,0.2377928733840995,1.759277593358311,0.15246636771300448,0.9878787878787878,supported_gate
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r6_horizon_complete,robustness,3003,852,0.2837162837162837,0.6925300402062256,0.5205247956827537,0.22842647394732976,2.096053062561415,0.11960132890365449,0.9636363636363635,readout_only
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r6_horizon_complete,train,4816,1879,0.3901578073089701,0.676052314416649,0.5872732514468924,0.2312103464999502,1.7228904754228325,0.13692946058091288,0.9878787878787878,readout_only
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r6_horizon_complete,validation,1441,387,0.2685634975711312,0.6760356663638297,0.4781464957422224,0.20902932139098057,2.02867326026909,0.041379310344827586,0.9757575757575757,readout_only
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r_core_horizon_complete,robustness,9730,2724,0.27995889003083246,0.7041513396544975,0.5056919031777355,0.22531817486861694,2.0631424375917766,0.08941418293936279,0.9999999999999999,supported_gate
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r_core_horizon_complete,train,16603,6352,0.38258146118171416,0.6999510161254716,0.6280407114982208,0.2240640737568386,1.768775676089637,0.12281757977122215,0.9999999999999999,supported_gate
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,risk_on_r_core_horizon_complete,validation,4457,1301,0.2919003814224815,0.7075684406411524,0.526129454386888,0.20640917681557916,2.00479968840802,0.08520179372197309,0.9999999999999999,supported_gate
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_related_overlap,none,risk_on_r6_horizon_complete,robustness,3003,852,0.2837162837162837,0.6737503229351754,0.480360657155658,0.23922933180365358,1.8735669832951196,0.11295681063122924,0.9999999999999999,readout_only
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_related_overlap,none,risk_on_r6_horizon_complete,train,4816,1879,0.3901578073089701,0.6546185080284005,0.5603280664261914,0.23626179266664393,1.6484445906823397,0.17427385892116182,0.9757575757575757,readout_only
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_related_overlap,none,risk_on_r6_horizon_complete,validation,1441,387,0.2685634975711312,0.6386788609917792,0.4499902149163064,0.21897097925245565,1.9002762184799074,0.0896551724137931,0.9030303030303028,readout_only
