model_id,model_family,train_target_component,readout_target_component,ablation_id,calibration_id,threshold_id,keep_fraction,denominator_id,split,evaluable_event_n,selected_event_n,rejected_event_n,selected_fraction,rejected_fraction,before_cost_bad_rate,after_cost_bad_rate,relative_cost_reduction,winner_complete_n,winner_n,rejected_winner_n,any_recall_retention,e1_missed_winner_n,rejected_e1_missed_winner_n,e1_missed_retention,non_winner_n,rejected_non_winner_n,non_winner_hit_rate,winner_injury_rate,kill_wrong_rate,fast_fail_positive_n,rejected_fast_fail_positive_n,fast_fail_bad_side_capture
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,robustness,2996,2523,473,0.8421228304405874,0.15787716955941256,0.065086782376502,0.06738010305192231,-0.03523481406953452,2994,622,131,0.7893890675241158,306,104,0.6601307189542484,2372,341,0.14376053962900506,0.21061093247588425,0.2769556025369979,195,25,0.1282051282051282
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,robustness,3003,2528,475,0.8418248418248419,0.15817515817515818,0.2837162837162837,0.22903481012658228,0.1927329403637012,2994,622,131,0.7893890675241158,306,104,0.6601307189542484,2372,341,0.14376053962900506,0.21061093247588425,0.27578947368421053,195,25,0.1282051282051282
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,robustness,3003,2528,475,0.8418248418248419,0.15817515817515818,0.3026973026973027,0.25158227848101267,0.16886514600827174,2994,622,131,0.7893890675241158,306,104,0.6601307189542484,2372,341,0.14376053962900506,0.21061093247588425,0.27578947368421053,195,25,0.1282051282051282
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,train,4794,4037,757,0.8420942845223196,0.15790571547768043,0.08886107634543179,0.09388159524399306,-0.05649851549225991,4794,878,181,0.7938496583143508,497,149,0.7002012072434608,3916,576,0.1470888661899898,0.2061503416856492,0.23910171730515192,426,47,0.11032863849765258
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,train,4816,4051,765,0.8411544850498339,0.1588455149501661,0.3901578073089701,0.35571463836089856,0.08828009667584487,4794,878,181,0.7938496583143508,497,149,0.7002012072434608,3916,576,0.1470888661899898,0.2061503416856492,0.23660130718954248,426,47,0.11032863849765258
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,train,4816,4051,765,0.8411544850498339,0.1588455149501661,0.40386212624584716,0.37151320661565046,0.08009891873471842,4794,878,181,0.7938496583143508,497,149,0.7002012072434608,3916,576,0.1470888661899898,0.2061503416856492,0.23660130718954248,426,47,0.11032863849765258
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,validation,1440,1331,109,0.9243055555555556,0.07569444444444444,0.08333333333333333,0.08264462809917356,0.008264462809917272,1440,107,16,0.8504672897196262,41,13,0.6829268292682927,1333,93,0.06976744186046512,0.14953271028037382,0.14678899082568808,120,10,0.08333333333333333
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,validation,1441,1332,109,0.9243580846634282,0.07564191533657183,0.2685634975711312,0.2484984984984985,0.0747123092084333,1440,107,16,0.8504672897196262,41,13,0.6829268292682927,1333,93,0.06976744186046512,0.14953271028037382,0.14678899082568808,120,10,0.08333333333333333
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r6_horizon_complete,validation,1441,1332,109,0.9243580846634282,0.07564191533657183,0.2921582234559334,0.27402402402402404,0.06206978950446885,1440,107,16,0.8504672897196262,41,13,0.6829268292682927,1333,93,0.06976744186046512,0.14953271028037382,0.14678899082568808,120,10,0.08333333333333333
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,robustness,9711,8243,1468,0.8488312223251983,0.15116877767480177,0.060137987848831224,0.06284119859274535,-0.044950136188613196,9705,2024,428,0.7885375494071146,991,315,0.6821392532795156,7681,1039,0.13526884520244759,0.21146245059288538,0.29155313351498635,584,66,0.11301369863013698
