split,selected_event_n,unique_event_day_n,formal_event_day_density,primary_family_top_share,board_top_share
robustness,7350,271,27.121771217712176,0.2614965986394558,0.8270748299319728
train,11623,470,24.729787234042554,0.26318506409704895,0.8216467349221371
validation,3920,128,30.625,0.29846938775510207,0.8232142857142857
