target_component,denominator_id,split,weight_horizon_id,sample_n,positive_n,evaluable_n,zero_weight_n,avg_uniqueness_mean,concurrency_mean,weight_status
fast_fail_only_10d,risk_on_r6_horizon_complete,robustness,fast_fail_10d,3003,195,2996,0,0.010852254465523289,111.09304293590009,complete
fast_fail_only_10d,risk_on_r6_horizon_complete,train,fast_fail_10d,4816,426,4794,0,0.012900205713609537,96.81472695182725,complete
fast_fail_only_10d,risk_on_r6_horizon_complete,validation,fast_fail_10d,1441,120,1440,0,0.013292842507458701,91.53534692618662,complete
fast_fail_only_10d,risk_on_r_core_horizon_complete,robustness,fast_fail_10d,9730,584,9711,0,0.003409953591932818,347.4826857718981,complete
fast_fail_only_10d,risk_on_r_core_horizon_complete,train,fast_fail_10d,16603,1250,16571,0,0.003992166444719386,342.67904615275904,complete
fast_fail_only_10d,risk_on_r_core_horizon_complete,validation,fast_fail_10d,4457,338,4455,0,0.004823552085980841,259.78751535839825,complete
false_repair_20d_component,risk_on_r6_horizon_complete,robustness,cost_bad_10_20_20d,3003,852,3003,7,0.00601912234776553,196.0962445020489,complete
false_repair_20d_component,risk_on_r6_horizon_complete,train,cost_bad_10_20_20d,4816,1879,4816,22,0.0074059621854104625,173.2140799928664,complete
false_repair_20d_component,risk_on_r6_horizon_complete,validation,cost_bad_10_20_20d,1441,387,1441,1,0.008146696539668312,158.4646436287478,complete
false_repair_20d_component,risk_on_r_core_horizon_complete,robustness,cost_bad_10_20_20d,9730,2724,9730,19,0.0018937128702611512,634.2016543429797,complete
false_repair_20d_component,risk_on_r_core_horizon_complete,train,cost_bad_10_20_20d,16603,6352,16603,32,0.0022285756807923648,630.0036199911275,complete
false_repair_20d_component,risk_on_r_core_horizon_complete,validation,cost_bad_10_20_20d,4457,1301,4457,2,0.002831974484822191,460.50069796138933,complete
hybrid_cost_bad_10_20,risk_on_r6_horizon_complete,robustness,cost_bad_10_20_20d,3003,909,3003,7,0.00601912234776553,196.0962445020489,complete
hybrid_cost_bad_10_20,risk_on_r6_horizon_complete,train,cost_bad_10_20_20d,4816,1945,4816,22,0.0074059621854104625,173.2140799928664,complete
hybrid_cost_bad_10_20,risk_on_r6_horizon_complete,validation,cost_bad_10_20_20d,1441,421,1441,1,0.008146696539668312,158.4646436287478,complete
hybrid_cost_bad_10_20,risk_on_r_core_horizon_complete,robustness,cost_bad_10_20_20d,9730,2878,9730,19,0.0018937128702611512,634.2016543429797,complete
hybrid_cost_bad_10_20,risk_on_r_core_horizon_complete,train,cost_bad_10_20_20d,16603,6484,16603,32,0.0022285756807923648,630.0036199911275,complete
hybrid_cost_bad_10_20,risk_on_r_core_horizon_complete,validation,cost_bad_10_20_20d,4457,1386,4457,2,0.002831974484822191,460.50069796138933,complete
