target_component,binding_field,contract_component_id,weight_horizon_id,label_t1_date_rule,selected_target_id,source_artifact
fast_fail_only_10d,selected_fast_fail_10_label,break_swing_low_20,fast_fail_10d,10D fast-fail horizon,break_swing_low_20__or_false_repair_20d,09A selected_label_event_bindings.parquet
false_repair_20d_component,frozen_false_repair_20d_label,frozen_event_false_repair_20d_label,cost_bad_10_20_20d,20D false-repair horizon,break_swing_low_20__or_false_repair_20d,09A selected_label_event_bindings.parquet
hybrid_cost_bad_10_20,selected_cost_bad_10_20_target,break_swing_low_20__or_false_repair_20d,cost_bad_10_20_20d,"max(10D fast-fail, 20D false-repair) cost horizon",break_swing_low_20__or_false_repair_20d,09A selected_label_event_bindings.parquet
