model_id,train_target_component,threshold_id,denominator_id,split,winner_complete_n,winner_n,rejected_winner_n,any_recall_retention,retention_definition
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,robustness,2994,622,131,0.7893890675241158,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,train,4794,878,181,0.7938496583143508,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,validation,1440,107,16,0.8504672897196262,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,robustness,9705,2024,428,0.7885375494071146,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,train,16571,2968,539,0.8183962264150944,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,validation,4455,298,54,0.8187919463087249,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,robustness,2994,622,153,0.7540192926045016,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,train,4794,878,208,0.7630979498861048,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,validation,1440,107,19,0.822429906542056,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,robustness,9705,2024,486,0.7598814229249012,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,train,16571,2968,624,0.7897574123989218,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,validation,4455,298,62,0.7919463087248322,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,robustness,2994,622,166,0.7331189710610932,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,train,4794,878,237,0.7300683371298405,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,validation,1440,107,21,0.8037383177570093,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,robustness,9705,2024,529,0.7386363636363636,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,train,16571,2968,706,0.7621293800539084,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,validation,4455,298,66,0.7785234899328859,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,robustness,2994,622,179,0.7122186495176849,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,train,4794,878,270,0.6924829157175398,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,validation,1440,107,23,0.7850467289719626,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,robustness,9705,2024,582,0.7124505928853755,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,train,16571,2968,801,0.730121293800539,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,validation,4455,298,69,0.7684563758389261,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,robustness,2994,622,192,0.6913183279742765,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,train,4794,878,296,0.662870159453303,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,validation,1440,107,24,0.7757009345794392,event_big_winner_120d_label_complete_event_level
