ablation_id,split,best_threshold_id,relative_cost_reduction,any_recall_retention,fast_fail_bad_side_capture,status
drop_direct_overlap,robustness,keep_7000,0.2254012376319535,0.6951581027667985,0.19863013698630136,pass
drop_direct_overlap,train,keep_7000,0.20342763627454116,0.6714959568733153,0.3208,pass
drop_direct_overlap,validation,keep_7000,0.11075256942603887,0.7281879194630873,0.15680473372781065,pass
drop_direct_related_overlap,robustness,keep_7000,0.20339724777706203,0.6457509881422925,0.1558219178082192,pass
drop_direct_related_overlap,train,keep_7000,0.1749628620583128,0.6502695417789758,0.264,pass
drop_direct_related_overlap,validation,keep_7000,0.09394229020753417,0.738255033557047,0.10650887573964497,pass
drop_fs0_rolling_fracdiff_hygiene,robustness,keep_7000,0.22860293414058766,0.6813241106719368,0.1969178082191781,pass
drop_fs0_rolling_fracdiff_hygiene,train,keep_7000,0.20298632194560737,0.6694743935309974,0.3224,pass
drop_fs0_rolling_fracdiff_hygiene,validation,keep_7000,0.11610627220445688,0.7348993288590604,0.16863905325443787,pass
drop_fs2_related_subset_only,robustness,keep_7000,0.24280807953181446,0.6857707509881423,0.21232876712328766,pass
drop_fs2_related_subset_only,train,keep_7000,0.19879383582073648,0.659366576819407,0.3192,pass
drop_fs2_related_subset_only,validation,keep_7000,0.1098300530176483,0.738255033557047,0.14497041420118342,pass
family_representative_features_only,robustness,keep_7000,0.25917923735852866,0.7104743083003953,0.16095890410958905,pass
family_representative_features_only,train,keep_7000,0.20673749374154435,0.6586927223719676,0.2808,pass
family_representative_features_only,validation,keep_7000,0.14432336371111873,0.7181208053691275,0.15976331360946747,pass
full,robustness,keep_7000,0.2254012376319535,0.6951581027667985,0.19863013698630136,pass
full,train,keep_7000,0.20342763627454116,0.6714959568733153,0.3208,pass
full,validation,keep_7000,0.11075256942603887,0.7281879194630873,0.15680473372781065,pass
