model_id,model_family,train_target_component,ablation_id,calibration_id,threshold_id,keep_fraction,threshold_score,denominator_id,split,evaluable_event_n,selected_event_n,rejected_event_n,selected_fraction,rejected_fraction,before_cost_bad_rate,after_cost_bad_rate,relative_cost_reduction,winner_complete_n,winner_n,rejected_winner_n,any_recall_retention,e1_missed_winner_n,rejected_e1_missed_winner_n,e1_missed_retention,non_winner_n,rejected_non_winner_n,non_winner_hit_rate,winner_injury_rate,kill_wrong_rate,fast_fail_positive_n,rejected_fast_fail_positive_n,fast_fail_bad_side_capture,threshold_fit_scope,readout_scope
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,0.6519886998144071,risk_on_r_core_horizon_complete,robustness,9730,8256,1474,0.8485097636176773,0.1514902363823227,0.27995889003083246,0.22843992248062014,0.1840233312274471,9705,2024,428,0.7885375494071146,991,315,0.6821392532795156,7681,1039,0.13526884520244759,0.21146245059288538,0.2903663500678426,584,66,0.11301369863013698,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,0.6519886998144071,risk_on_r_core_horizon_complete,train,16571,14085,2486,0.8499788787641059,0.15002112123589403,0.3827167943998552,0.3434859779907703,0.10250612720197816,16571,2968,539,0.8183962264150944,1593,427,0.7319522912743252,13603,1947,0.14313019186944057,0.18160377358490565,0.2168141592920354,1250,158,0.1264,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,0.6519886998144071,risk_on_r_core_horizon_complete,validation,4457,4112,345,0.9225936728741306,0.07740632712586942,0.2919003814224815,0.2694552529182879,0.07689311125533488,4455,298,54,0.8187919463087249,121,44,0.6363636363636364,4157,291,0.0700024055809478,0.18120805369127516,0.1565217391304348,338,25,0.07396449704142012,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,0.6337682513518087,risk_on_r_core_horizon_complete,robustness,9730,8050,1680,0.8273381294964028,0.17266187050359713,0.27995889003083246,0.2213664596273292,0.20928940815935637,9705,2024,486,0.7598814229249012,991,355,0.6417759838546923,7681,1186,0.1544069782580393,0.24011857707509882,0.2892857142857143,584,76,0.13013698630136986,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,0.6337682513518087,risk_on_r_core_horizon_complete,train,16571,13671,2900,0.8249954740208798,0.17500452597912014,0.3827167943998552,0.3384536610343062,0.11565505881433495,16571,2968,624,0.7897574123989218,1593,490,0.6924042686754551,13603,2276,0.16731603322796443,0.21024258760107817,0.21517241379310345,1250,185,0.148,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,0.6337682513518087,risk_on_r_core_horizon_complete,validation,4457,4055,402,0.9098048014359434,0.09019519856405654,0.2919003814224815,0.26658446362515414,0.08672793668154338,4455,298,62,0.7919463087248322,121,47,0.6115702479338843,4157,340,0.08178975222516238,0.2080536912751678,0.15422885572139303,338,30,0.08875739644970414,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,0.6171721453233426,risk_on_r_core_horizon_complete,robustness,9730,7866,1864,0.8084275436793422,0.19157245632065775,0.27995889003083246,0.21688278667683702,0.22530487725197343,9705,2024,529,0.7386363636363636,991,376,0.62058526740666,7681,1327,0.1727639630256477,0.26136363636363635,0.28379828326180256,584,87,0.14897260273972604,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,0.6171721453233426,risk_on_r_core_horizon_complete,train,16571,13257,3314,0.8000120692776538,0.19998793072234627,0.3827167943998552,0.33325790148600737,0.12923104927079343,16571,2968,706,0.7621293800539084,1593,546,0.6572504708097928,13603,2608,0.19172241417334412,0.23787061994609165,0.21303560651780326,1250,223,0.1784,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,0.6171721453233426,risk_on_r_core_horizon_complete,validation,4457,3998,459,0.8970159299977564,0.10298407000224366,0.2919003814224815,0.263631815907954,0.09684319484876946,4455,298,66,0.7785234899328859,121,50,0.5867768595041323,4157,393,0.0945393312484965,0.2214765100671141,0.1437908496732026,338,39,0.11538461538461539,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7750,0.775,0.604016200835697,risk_on_r_core_horizon_complete,robustness,9730,7665,2065,0.7877697841726619,0.21223021582733814,0.27995889003083246,0.21395955642530984,0.23574651834865462,9705,2024,582,0.7124505928853755,991,400,0.5963673057517659,7681,1475,0.19203228746256998,0.2875494071146245,0.2818401937046005,584,99,0.1695205479452055,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7750,0.775,0.604016200835697,risk_on_r_core_horizon_complete,train,16571,12842,3729,0.774968318146159,0.22503168185384104,0.3827167943998552,0.3295436847843015,0.13893591917996526,16571,2968,801,0.730121293800539,1593,607,0.6189579409918393,13603,2928,0.21524663677130046,0.2698787061994609,0.21480289621882542,1250,246,0.1968,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7750,0.775,0.604016200835697,risk_on_r_core_horizon_complete,validation,4457,3925,532,0.8806371999102536,0.11936280008974647,0.2919003814224815,0.26038216560509553,0.10797593228139062,4455,298,69,0.7684563758389261,121,50,0.5867768595041323,4157,463,0.11137839788308877,0.23154362416107382,0.12969924812030076,338,47,0.1390532544378698,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7500,0.75,0.5915483879113494,risk_on_r_core_horizon_complete,robustness,9730,7466,2264,0.7673175745118191,0.23268242548818088,0.27995889003083246,0.20854540583980713,0.2550856098306448,9705,2024,625,0.6912055335968379,991,422,0.574167507568113,7681,1631,0.2123421429501367,0.30879446640316205,0.2760600706713781,584,116,0.19863013698630136,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7500,0.75,0.5915483879113494,risk_on_r_core_horizon_complete,train,16571,12428,4143,0.7499849134029328,0.25001508659706717,0.3827167943998552,0.3253138075313807,0.14998815758396247,16571,2968,876,0.7048517520215634,1593,643,0.5963590709353421,13603,3267,0.24016761008601045,0.29514824797843664,0.2114409847936278,1250,275,0.22,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7500,0.75,0.5915483879113494,risk_on_r_core_horizon_complete,validation,4457,3841,616,0.8617904420013462,0.1382095579986538,0.2919003814224815,0.25410049466284823,0.12949584572458525,4455,298,76,0.7449664429530202,121,53,0.5619834710743802,4157,540,0.12990137118114026,0.2550335570469799,0.12337662337662338,338,52,0.15384615384615385,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7250,0.725,0.5806620577922175,risk_on_r_core_horizon_complete,robustness,9730,7287,2443,0.7489208633093525,0.25107913669064746,0.27995889003083246,0.20488541237820776,0.26815893449340616,9705,2024,662,0.6729249011857708,991,439,0.557013118062563,7681,1773,0.23082931909907564,0.32707509881422925,0.27097830536225953,584,128,0.2191780821917808,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7250,0.725,0.5806620577922175,risk_on_r_core_horizon_complete,train,16571,12014,4557,0.7250015086597067,0.2749984913402933,0.3827167943998552,0.3197103379390711,0.16462945285582667,16571,2968,956,0.6778975741239892,1593,695,0.5637162586315129,13603,3601,0.2647210174226274,0.3221024258760108,0.2097871406627167,1250,310,0.248,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7250,0.725,0.5806620577922175,risk_on_r_core_horizon_complete,validation,4457,3767,690,0.8451873457482612,0.15481265425173885,0.2919003814224815,0.2516591452083886,0.1378594848625764,4455,298,82,0.7248322147651006,121,55,0.5454545454545454,4157,608,0.14625932162617272,0.2751677852348993,0.11884057971014493,338,59,0.17455621301775148,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7000,0.7,0.5701509582554376,risk_on_r_core_horizon_complete,robustness,9730,7093,2637,0.7289825282631038,0.2710174717368962,0.27995889003083246,0.20203017059072326,0.27835772399128583,9705,2024,717,0.6457509881422925,991,465,0.5307769929364279,7681,1912,0.24892592110402292,0.3542490118577075,0.27189988623435724,584,132,0.22602739726027396,risk_on_r_core_horizon_complete/train,supported_gate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,baseline_fs0,none,keep_7000,0.7,0.5701509582554376,risk_on_r_core_horizon_complete,train,16571,11600,4971,0.7000181039164806,0.2999818960835194,0.3827167943998552,0.31603448275862067,0.1742340880174861,16571,2968,1045,0.647911051212938,1593,740,0.5354676710608914,13603,3926,0.2886128059986768,0.352088948787062,0.21021927177630256,1250,343,0.2744,risk_on_r_core_horizon_complete/train,supported_gate
