target_component,model_id,threshold_id,denominator_id,split,positive_rate,non_winner_hit_rate,winner_injury_rate,kill_wrong_rate,winner_complete_n,winner_power_caveat
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,robustness,0.065086782376502,0.14376053962900506,0.21061093247588425,0.2769556025369979,2994,False
false_repair_20d_component,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,robustness,0.2837162837162837,0.14376053962900506,0.21061093247588425,0.27578947368421053,2994,False
hybrid_cost_bad_10_20,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,robustness,0.3026973026973027,0.14376053962900506,0.21061093247588425,0.27578947368421053,2994,False
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,train,0.08886107634543179,0.1470888661899898,0.2061503416856492,0.23910171730515192,4794,False
false_repair_20d_component,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,train,0.3901578073089701,0.1470888661899898,0.2061503416856492,0.23660130718954248,4794,False
hybrid_cost_bad_10_20,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,train,0.40386212624584716,0.1470888661899898,0.2061503416856492,0.23660130718954248,4794,False
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,validation,0.08333333333333333,0.06976744186046512,0.14953271028037382,0.14678899082568808,1440,True
false_repair_20d_component,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,validation,0.2685634975711312,0.06976744186046512,0.14953271028037382,0.14678899082568808,1440,True
hybrid_cost_bad_10_20,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r6_horizon_complete,validation,0.2921582234559334,0.06976744186046512,0.14953271028037382,0.14678899082568808,1440,True
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,robustness,0.060137987848831224,0.13526884520244759,0.21146245059288538,0.29155313351498635,9705,False
false_repair_20d_component,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,robustness,0.27995889003083246,0.13526884520244759,0.21146245059288538,0.2903663500678426,9705,False
hybrid_cost_bad_10_20,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,robustness,0.2957862281603289,0.13526884520244759,0.21146245059288538,0.2903663500678426,9705,False
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,train,0.07543298533582765,0.14313019186944057,0.18160377358490565,0.2168141592920354,16571,False
false_repair_20d_component,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,train,0.3827167943998552,0.14313019186944057,0.18160377358490565,0.2168141592920354,16571,False
hybrid_cost_bad_10_20,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,train,0.39068251765131856,0.14313019186944057,0.18160377358490565,0.2168141592920354,16571,False
fast_fail_only_10d,h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,keep_8500,risk_on_r_core_horizon_complete,validation,0.07586980920314254,0.0700024055809478,0.18120805369127516,0.1565217391304348,4455,False
