model_id,calibration_id,denominator_id,split,sample_n,roc_auc,pr_auc,brier_score,keep_0800_threshold_score,keep_0800_after_cost_bad_rate,calibration_fit_scope
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r6_horizon_complete,robustness,3003,0.6581608352200915,0.5100196691202283,0.205815432814988,0.5216670239019419,0.2472233648704237,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r6_horizon_complete,train,4816,0.6595437232491222,0.5808121539445665,0.2264099944139223,0.5771309367991028,0.3593363051015354,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r6_horizon_complete,validation,1441,0.6510882613200181,0.473025258612574,0.2074645871476925,0.39919183140019343,0.2518703241895262,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r_core_horizon_complete,robustness,9730,0.6681433893180513,0.49646494317742307,0.20204610133175993,0.5044079191153066,0.23922772024037847,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r_core_horizon_complete,train,16603,0.6896981441452065,0.6196438473197525,0.21741881226278933,0.5771309367991028,0.3426091945779244,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,isotonic,risk_on_r_core_horizon_complete,validation,4457,0.6805731322099275,0.5102352712563984,0.20465804309333632,0.39919183140019343,0.26064123825317853,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r6_horizon_complete,robustness,3003,0.6560758668559341,0.5179546467708877,0.2370047062694015,0.6559392442613513,0.246044962531224,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r6_horizon_complete,train,4816,0.658327272984659,0.5878445421640411,0.23626551770215942,0.6748707748094913,0.35063586815468467,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r6_horizon_complete,validation,1441,0.6497015514732886,0.4781080442555975,0.21899982630120066,0.545243375247478,0.2471812662619254,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r_core_horizon_complete,robustness,9730,0.6664073225698353,0.5026532782355905,0.23336172545278186,0.6500373191906161,0.23869475847893115,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r_core_horizon_complete,train,16603,0.6873634277788608,0.6267520886266107,0.22772083168505533,0.6740774344633026,0.3329317873814185,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,none,risk_on_r_core_horizon_complete,validation,4457,0.6803292657611695,0.5180905536416596,0.21593298179387996,0.5596671806716877,0.25862552594670407,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r6_horizon_complete,robustness,3003,0.6560758668559341,0.5179546467708877,0.20673039882833444,0.5296191314642086,0.246044962531224,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r6_horizon_complete,train,4816,0.658327272984659,0.5878445421640411,0.22662769307041894,0.5496692801285601,0.35063586815468467,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r6_horizon_complete,validation,1441,0.6497015514732886,0.4781080442555975,0.20804163037491916,0.41256712384605204,0.2471812662619254,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r_core_horizon_complete,robustness,9730,0.6664073225698353,0.5026532782355905,0.20281141854220808,0.5233457945068211,0.23869475847893115,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r_core_horizon_complete,train,16603,0.6873634277788608,0.6267520886266107,0.21870315200836904,0.5488318352696593,0.3329317873814185,risk_on_r_core_horizon_complete/train
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,platt,risk_on_r_core_horizon_complete,validation,4457,0.6803292657611695,0.5180905536416596,0.2046992983010616,0.4275476634660814,0.25862552594670407,risk_on_r_core_horizon_complete/train
