model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,train,2733,0.06818251765131855,-0.005240300878768266,-0.07685695775516624,6,2446,281,2238,6,2446,281,0,-0.002896345714053842,0.07576677369480125,-0.004687910329428849,-0.06818251765131855
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,validation,281,0.03157833229848811,-0.0019776558529360604,-0.0626269884755993,0,249,32,221,0,249,32,0,-0.00242065847923989,0.03311298552512035,0.0008860052526076592,-0.031578332298488165
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,robustness,233,0.04349484870957265,-0.003670792397786265,-0.08439602635008984,0,219,14,162,0,219,14,0,-0.0028748092398399143,0.04796162426530526,-0.001591966315892701,-0.04349484870957265
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,train,443,0.040445721697093207,-0.0021503649822794124,-0.05316668592005757,0,391,52,240,0,391,52,0,-0.002264710823587479,0.04248174083806461,0.00022869168261613337,-0.04044572169709326
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,validation,36,0.011954438885336593,-0.0007861373156882977,-0.065761122142887,0,31,5,31,0,31,5,0,-0.0011505434019517813,0.012376170114761414,0.0007288121725269672,-0.011954438885336538
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,robustness,727,0.041530909011392725,-0.0022651787384681925,-0.05454199757214104,0,669,58,543,0,669,58,0,-0.0023759715631749903,0.043685294925154106,0.00022158564941359565,-0.04153090901139267
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,train,1613,0.04556359681354788,-0.0010411497887115907,-0.022850474096066428,1,1436,176,873,1,1436,176,0,-0.0013349512249299263,0.04631094516604112,0.0005876028724366711,-0.045563596813547935
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,validation,135,0.014946895937103577,-0.00022757822261434968,-0.015225784910258095,0,115,20,96,0,115,20,0,-0.001042458509514222,0.014359593872818044,0.0016297605737997448,-0.014946895937103521
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,robustness,263,0.04896595941372062,-0.004389169353819788,-0.08963715622796335,0,247,16,194,0,247,16,0,-0.003407040720473556,0.05433725740088663,-0.0019642572666924638,-0.04896595941372062
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,train,515,0.04600426838798932,-0.0028491947096598233,-0.06193326857478477,1,455,59,305,1,455,59,0,-0.0025619473293891915,0.04914071047791979,-0.0005744947605412637,-0.04600426838798932
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,validation,43,0.014828803059748485,-0.000856888430886063,-0.05778540772532162,0,37,6,35,0,37,6,0,-0.0013502484365477407,0.015192331484972899,0.0009867200113233554,-0.01482880305974843
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,robustness,833,0.047757119609692145,-0.002949309962062406,-0.061756445660174485,0,769,64,652,0,769,64,0,-0.0028506485290845547,0.05080509100473238,-0.00019732286595570275,-0.04775711960969209
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,train,1837,0.0514973812311591,-0.0015308410102824934,-0.02972657975385047,2,1639,196,1063,2,1639,196,0,-0.0015434567646290583,0.053015606487095024,2.5231508693129845e-05,-0.0514973812311591
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,validation,164,0.018766818744221203,-0.0001314435929403307,-0.007004042333003596,0,139,25,111,0,139,25,0,-0.0012540791775429543,0.017775626752558893,0.002245271169205247,-0.018766818744221148
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,robustness,298,0.05552901790765871,-0.004967524385000116,-0.08945817110003276,0,278,20,233,0,278,20,0,-0.004077233446165486,0.06138683323149344,-0.00178058187766926,-0.05552901790765863
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,train,583,0.05192414174972315,-0.0031838316722037595,-0.06131698213809639,2,513,68,363,2,513,68,0,-0.0028331487633813206,0.05545865633074937,-0.0007013658176448778,-0.05192414174972315
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,validation,51,0.017473739417329104,-0.0007593918065024324,-0.0434590323436623,0,43,8,43,0,43,8,0,-0.0016465510268533108,0.01734597200348062,0.0017743184407017568,-0.017473739417328993
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,robustness,929,0.05276877180122666,-0.003472562171139469,-0.0658071441234254,0,855,74,781,0,855,74,0,-0.0033746568829724245,0.056339239260533164,-0.00019581057633408921,-0.05276877180122663
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,train,2067,0.05825436648589655,-0.0011459349874889668,-0.019671229070294654,4,1825,238,1247,4,1825,238,0,-0.0016895532062570495,0.0588566832546174,0.0010872364375361654,-0.05825436648589655
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,validation,199,0.0227947635693187,0.00011185625662129411,0.004907103172232522,0,166,33,139,0,166,33,0,-0.0015649526431603493,0.021006098412915786,0.003353617799563287,-0.022794763569318754
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,robustness,317,0.05776556914331016,-0.005828470247171116,-0.10089868988759218,0,296,21,269,0,296,21,0,-0.004601935094280977,0.0648205745433714,-0.0024530703057802777,-0.0577655691433101
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,train,648,0.05799545957918051,-0.002920265780730895,-0.05035335182996336,2,563,83,418,2,563,83,0,-0.0033623477297895915,0.06047364341085271,0.0008841638981173933,-0.05799545957918051
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,validation,54,0.018277626441008,-0.0010424974364817083,-0.05703680616552831,0,46,8,47,0,46,8,0,-0.0017784084435559858,0.01858421287041545,0.001471822014148555,-0.018277626441007944
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,robustness,1009,0.057058421288442324,-0.004035435228628589,-0.07072462114275148,0,928,81,892,0,928,81,0,-0.003843117867438073,0.06128617387826141,-0.00038463472238103175,-0.057058421288442296
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,train,2280,0.06409787351489121,-0.0013235393366301355,-0.02064872458401683,4,2007,269,1449,4,2007,269,0,-0.0020015715624285176,0.06474338062572293,0.001356064451596764,-0.06409787351489127
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,validation,218,0.02525721978268536,0.0003644029247512788,0.014427673666643579,0,180,38,151,0,180,38,0,-0.001721439526293212,0.022806974406889585,0.004171684902088982,-0.02525721978268536
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,robustness,343,0.06245961169560493,-0.006853503033469079,-0.10972695550637462,0,321,22,304,0,321,22,0,-0.005212529406077793,0.07095408835646527,-0.0032819472547825704,-0.06245961169560488
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,train,705,0.06198178436550528,-0.0029594165940752606,-0.04774655367492558,4,609,92,484,4,609,92,0,-0.0033896981571400198,0.06451091939651582,0.0008605631261295182,-0.06198178436550528
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,validation,64,0.023737170824354448,0.0004275957068243137,0.01801376035873654,0,51,13,47,0,51,13,0,-0.0019691838896338694,0.020912795521071947,0.004793559192916366,-0.023737170824354448
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,robustness,1088,0.06176870953044264,-0.004565267719335915,-0.07390906745568204,0,1000,88,993,0,1000,88,0,-0.004306012635309452,0.06659323233380499,-0.0005185101680529255,-0.061768709530442556
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,train,2469,0.06842632196416054,-0.0014692971386042319,-0.02147268911185671,6,2166,297,1674,6,2166,297,0,-0.002172673916222471,0.06919224232514654,0.0014067535552364785,-0.06842632196416054
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,validation,247,0.02938930524975225,0.0008527023642758008,0.029014036127410294,0,201,46,165,0,201,46,0,-0.001942472958884972,0.025741427562315677,0.005590350646321546,-0.02938930524975225
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,robustness,370,0.06619006267975117,-0.007844503017824654,-0.1185148147657585,0,345,25,354,0,345,25,0,-0.006029950742543987,0.07584911797285646,-0.0036291045505613337,-0.06619006267975114
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,train,774,0.06852421101102474,-0.0034735303855418925,-0.050690556436805125,4,667,103,550,4,667,103,0,-0.004050549333455111,0.07142072244865341,0.0011540378958264375,-0.06852421101102468
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,validation,69,0.025086903273839334,0.0003243406039685412,0.012928682365781038,0,55,14,54,0,55,14,0,-0.0022019357236955014,0.02223628634220673,0.005052552655328085,-0.025086903273839223
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,robustness,1162,0.06535786774673955,-0.005314941585836244,-0.08132060865925948,0,1068,94,1121,0,1068,94,0,-0.004852130112748796,0.07113562080566321,-0.0009256229461748963,-0.06535786774673946
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,train,2669,0.0739686837908225,-0.001916427294501635,-0.02590863046747104,7,2342,320,1888,7,2342,320,0,-0.002438804799144224,0.07536273358068152,0.0010447550092851782,-0.07396868379082244
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,validation,267,0.03136131059442232,0.0006018698077481337,0.01919147498431324,0,219,48,188,0,219,48,0,-0.002168256235355513,0.027989314743570554,0.005540252086207294,-0.031361310594422376
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,robustness,394,0.07102838681786053,-0.008649245491350755,-0.12177167297252833,0,367,27,386,0,367,27,0,-0.00666000666000666,0.08166687114055535,-0.00397847766268819,-0.0710283868178605
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,train,837,0.07556582994955086,-0.0035869324473975644,-0.047467651050643746,4,718,115,604,4,718,115,0,-0.004666051433493294,0.07807364341085271,0.0021582379721914596,-0.07556582994955086
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,validation,77,0.02652115781886777,-0.0006189395502372574,-0.023337576529065766,0,63,14,69,0,63,14,0,-0.0026601003700240343,0.025098936549318218,0.004082321639573554,-0.026521157818867658
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,robustness,1230,0.06869514369016216,-0.006033611662609913,-0.08783170597653159,0,1130,100,1243,0,1130,100,0,-0.005393552045507042,0.07536881496987494,-0.0012801192342057413,-0.06869514369016216
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,train,2876,0.08051010385821511,-0.00153340432704413,-0.019046110408012646,7,2504,365,2095,7,2504,365,0,-0.0028101388175021183,0.08076677369480126,0.0025534689809159766,-0.08051010385821511
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,validation,300,0.034705924219942286,1.0045394337947905e-05,0.00028944321650353126,0,250,50,226,0,250,50,0,-0.002551872618463881,0.03213396081280254,0.005123836025603658,-0.03470592421994234
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,robustness,246,0.044720649000804635,-0.004540012516666216,-0.10151937903639391,0,233,13,187,0,233,13,0,-0.00319796934582927,0.0506027046883078,-0.0026840863416738928,-0.044720649000804635
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,train,461,0.041557438745847164,-0.0022649923432308955,-0.05450269341868996,1,407,53,259,1,407,53,0,-0.002164821688122924,0.04392260174418605,-0.00020034131021594292,-0.041557438745847164
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,validation,37,0.012070696103635814,-0.0012694806821788272,-0.1051704616932943,0,33,4,33,0,33,4,0,-0.001204690599515796,0.013404966868477641,-0.00012958016532606254,-0.012070696103635759
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,robustness,753,0.0425387010479466,-0.003012771355008541,-0.07082424429492473,0,702,51,586,0,702,51,0,-0.002525659129471537,0.04603858462849211,-0.0009742244510740072,-0.04253870104794655
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,train,1580,0.043220678815677815,-0.0016446286669508526,-0.03805189349210966,2,1421,157,906,2,1421,157,0,-0.0012639537098429552,0.04524598243973654,-0.0007613499142157948,-0.043220678815677815
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,validation,133,0.014963945846604876,-0.0008574466006670764,-0.05730083558552972,0,119,14,91,0,119,14,0,-0.0010091972106509965,0.01566964183728803,0.00030350121996784024,-0.014963945846604876
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,robustness,272,0.04840588553163405,-0.005746548860321318,-0.11871591227405298,0,259,13,226,0,259,13,0,-0.0037734720369450928,0.056125511215331575,-0.003946153646752451,-0.04840588553163405
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,train,522,0.0462345816366489,-0.0027026231569560813,-0.05845458229071084,1,459,62,315,1,459,62,0,-0.002631443817583845,0.0490083841329772,-0.0001423586787444725,-0.04623458163664884
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r6_horizon_complete,validation,40,0.012422540636550128,-0.00163096479133739,-0.13129075919773578,0,36,4,39,0,36,4,0,-0.0013685633956676754,0.014315906823557212,-0.0005248027913394293,-0.012422540636550128
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,robustness,847,0.04771000976531242,-0.0036663795697462857,-0.0768471770972457,0,790,57,696,0,790,57,0,-0.002982970897009031,0.05205979800779592,-0.0013668173454745094,-0.04771000976531237
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,train,1816,0.04996128292086727,-0.0018234311646238063,-0.036496884347663856,2,1626,188,1084,2,1626,188,0,-0.0015434567646290583,0.05206468848548579,-0.0005599487999894959,-0.04996128292086721
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,validation,151,0.01650321746645128,-0.0008298177819334208,-0.0502821818606174,0,133,18,112,0,133,18,0,-0.001195924089554306,0.016966928940763792,0.0007322126152417702,-0.016503217466451225
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,robustness,297,0.05177479347221048,-0.006832445946837091,-0.131964716585578,0,283,14,267,0,283,14,0,-0.004389214721318042,0.06105047064456659,-0.004886462451038097,-0.05177479347221037
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,train,578,0.049808772192493134,-0.0035693204297855413,-0.07166047811801887,1,509,68,377,1,509,68,0,-0.0031306978981397587,0.053816715153924444,-0.0008772450632915652,-0.049808772192493134
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,validation,43,0.013191433788036722,-0.001915439001718259,-0.14520324571960977,0,39,4,43,0,39,4,0,-0.0014975250377070037,0.015524786753766229,-0.0008358279280225103,-0.013191433788036666
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,robustness,940,0.052837751289324775,-0.0043225120113440235,-0.08180726669602487,0,876,64,813,0,876,64,0,-0.003478165192554495,0.05800461011945829,-0.001688693637579057,-0.052837751289324664
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,train,2034,0.055765115524140485,-0.002126549002726203,-0.038134037430723675,2,1816,216,1280,2,1816,216,0,-0.0018404169009089318,0.05817779662868394,-0.0005722642036345427,-0.05576511552414043
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,validation,182,0.02113038850130422,-0.000813286841178245,-0.03848896773138113,0,160,22,121,0,160,22,0,-0.001391081029025118,0.021365881154635585,0.001155588375693746,-0.02113038850130422
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,robustness,331,0.058815446157218315,-0.0069871057212829366,-0.118797121807184,0,311,20,302,0,311,20,0,-0.005069613930373425,0.06772004366941076,-0.0038349835818190237,-0.05881544615721823
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,train,651,0.0575950671075009,-0.0036433056522856173,-0.06325725162339695,3,571,77,428,3,571,77,0,-0.003154123664139783,0.061727554747932345,-0.0009783639762916685,-0.05759506710750084
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,validation,50,0.016321792229167575,-0.001955220068673911,-0.11979199595372061,0,45,5,46,0,45,5,0,-0.0016840845241197118,0.018548147842395696,-0.0005422710891083982,-0.01632179222916752
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,robustness,1051,0.060165903166777196,-0.004441284291554191,-0.07381729613936235,0,970,81,925,0,970,81,0,-0.004033378919768491,0.06501509283011705,-0.000815810743571399,-0.06016590316677717
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,train,2251,0.061839658283618815,-0.0018686257717648487,-0.03021727195183812,4,1992,255,1478,4,1992,255,0,-0.0020015715624285176,0.06357533826472,0.0002658915813273377,-0.061839658283618815
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,validation,215,0.02550100330291938,-0.0006938012255796704,-0.027206820741058582,0,187,28,140,0,187,28,0,-0.0016504751454031706,0.025238130608675552,0.0019133478396470005,-0.02550100330291938
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,robustness,357,0.06321791007257388,-0.007716578432413575,-0.12206316886393394,0,334,23,341,0,334,23,0,-0.005747831344360629,0.07290323559304035,-0.0039374941761058935,-0.06321791007257382
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,train,702,0.06153218958927875,-0.0035884012805931925,-0.05831746447746154,3,610,89,483,3,610,89,0,-0.003646273186504914,0.06506271896396021,0.00011574381182344329,-0.06153218958927875
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,validation,52,0.016167198773809233,-0.0015387074857119987,-0.09517465005778836,0,45,7,52,0,45,7,0,-0.0018353414300818459,0.01740927231515138,0.0005932678887396944,-0.016167198773809233
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,robustness,1131,0.06454863716099071,-0.005027741067049923,-0.07789073926549739,0,1042,89,1044,0,1042,89,0,-0.004556513624309023,0.07004760567078153,-0.0009424548854818013,-0.06454863716099069
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,train,2438,0.06593195440703148,-0.002113004895282704,-0.03204826725199211,4,2149,285,1705,4,2149,285,0,-0.0023336008553920887,0.06782436334220479,0.00044119192021876974,-0.06593195440703148
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,validation,246,0.02907239570468617,-0.00039522066778560974,-0.013594361875100104,0,210,36,167,0,210,36,0,-0.001947669199496585,0.027915167840760813,0.0031048970634219505,-0.029072395704686227
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,robustness,388,0.06958768301050183,-0.00860124215828914,-0.1236029392872742,0,362,26,380,0,362,26,0,-0.006522336723679006,0.08026783060340106,-0.00415781086922027,-0.06958768301050178
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,train,755,0.06463749682737507,-0.0040799009004572374,-0.06311972308199489,4,654,97,553,4,654,97,0,-0.003969569318539114,0.06882772930975048,-0.00022066316383624607,-0.06463749682737507
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,validation,60,0.01908711906864141,-0.0014060352692543097,-0.07366409064657178,0,51,9,59,0,51,9,0,-0.002123882284638022,0.01977530732251201,0.0014356940307674246,-0.019087119068641356
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,robustness,1216,0.06917046595689286,-0.005026694293791663,-0.07267110643615306,0,1108,108,1180,0,1108,108,0,-0.005170752953132449,0.0740531015913437,0.00028811731868157164,-0.0691704659568928
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,train,2643,0.0718045419562961,-0.0021245178555137877,-0.029587513514213036,6,2320,317,1914,6,2320,317,0,-0.0025220410235490855,0.07353153664377457,0.0007950463360705956,-0.07180454195629604
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,validation,276,0.0326365004819259,-0.00018948476571738898,-0.005805915552199773,0,233,43,193,0,233,43,0,-0.002242817750986864,0.03077265226237383,0.00410666597053895,-0.0326365004819259
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,robustness,412,0.07482018211041597,-0.009394548596749423,-0.12556169113415694,0,384,28,410,0,384,28,0,-0.007153781569187348,0.08645549773472744,-0.004481534055124151,-0.07482018211041597
