model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,train,1719,0.042865971678090586,-0.00193315247250179,-0.04509760065674312,4,1534,181,1181,4,1534,181,0,-0.0013971616874584054,0.045335114935635745,-0.001071981570086769,-0.042865971678090586
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8250,risk_on_r_core_horizon_complete,validation,220,0.02342526628612024,-0.001005248950998263,-0.042913021295893895,0,190,30,182,0,190,30,0,-0.0018906515112071046,0.023545112676909674,0.001770805120417683,-0.023425266286120294
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,robustness,332,0.06268066376219456,-0.004215002967082836,-0.06724566579374816,0,302,30,267,0,302,30,0,-0.004729463548099156,0.06638120614826107,0.0010289211620326394,-0.0626806637621945
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,train,579,0.042486464870185814,-0.00394672080718592,-0.09289360315678952,4,507,68,457,4,507,68,0,-0.0026977974652393245,0.04768210901931835,-0.00249784668389319,-0.042486464870185814
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r6_horizon_complete,validation,69,0.02118054832121441,-6.757987647573738e-05,-0.003190657552904306,0,54,15,73,0,54,15,0,-0.0025792540998013196,0.01873645397436452,0.005023348446651164,-0.0211805483212143
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,robustness,1019,0.059452640568160076,-0.0033931142108216024,-0.05707255688553534,1,932,86,845,1,932,86,0,-0.0036234627858354046,0.06261540620396785,0.0004606971500276044,-0.05945264056816002
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,train,1929,0.047844771554916676,-0.0018248216134224404,-0.03814046037042716,5,1706,218,1385,5,1706,218,0,-0.0016141213589311084,0.0498802934228304,-0.0004214005089826639,-0.04784477155491662
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_8000,risk_on_r_core_horizon_complete,validation,247,0.026079059273859506,-0.0005705679853613144,-0.02187839597163792,0,208,39,212,0,208,39,0,-0.002189506240668014,0.025030689003914114,0.0032378765106133994,-0.02607905927385945
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,robustness,349,0.06419645090854634,-0.004677392454223803,-0.07286060814930677,0,316,33,306,0,316,33,0,-0.005294960576050868,0.06825627524094305,0.0012351362436541294,-0.06419645090854631
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,train,638,0.04587801230446126,-0.0052062148357843036,-0.11347952045599069,4,561,73,527,4,561,73,0,-0.0032773299264480388,0.05301311204958181,-0.0038577698186725295,-0.0458780123044612
