model_id,model_family,train_target_component,ablation_id,calibration_id,estimator_type,fit_scope,feature_n,feature_list_hash,train_sample_n,train_positive_n,train_positive_rate,weight_horizon_id,selected_model_candidate_flag,model_status
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_overlap,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_direct_related_overlap,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,35,9cd5473e7ad56dee79f406be5707a905a57af51ac6423884a4cb88ee65dad608,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs2_related_subset_only__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_fs2_related_subset_only,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,43,0325781c40edef296d57e316852fcc57cfaaf1b322103c151995b633bba62bfc,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_fs0_rolling_fracdiff_hygiene__none,regularized_logistic_or_elastic_net,false_repair_20d_component,drop_fs0_rolling_fracdiff_hygiene,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,45,18f65bd757a5d2c416396dbb9331563111837e0f76b5874f0ae3e560e8e088df,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__false_repair_20d_component__family_representative_features_only__none,regularized_logistic_or_elastic_net,false_repair_20d_component,family_representative_features_only,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,7,4377eb22dce126b80117504995b19d81c554e8ff16812c47b2cfff8e99c786ec,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_direct_overlap__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_direct_overlap,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_direct_related_overlap__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_direct_related_overlap,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,35,9cd5473e7ad56dee79f406be5707a905a57af51ac6423884a4cb88ee65dad608,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_fs2_related_subset_only__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_fs2_related_subset_only,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,43,0325781c40edef296d57e316852fcc57cfaaf1b322103c151995b633bba62bfc,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__drop_fs0_rolling_fracdiff_hygiene__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,drop_fs0_rolling_fracdiff_hygiene,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,45,18f65bd757a5d2c416396dbb9331563111837e0f76b5874f0ae3e560e8e088df,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__family_representative_features_only__none,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,family_representative_features_only,none,logistic_l2_balanced,risk_on_r_core_horizon_complete/train,7,4377eb22dce126b80117504995b19d81c554e8ff16812c47b2cfff8e99c786ec,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
shallow_tree_or_bagging_shallow_trees_diagnostic__fast_fail_only_10d__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,fast_fail_only_10d,full,none,random_forest_shallow_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,1250,0.07543298533582765,fast_fail_10d,False,fit
shallow_tree_or_bagging_shallow_trees_diagnostic__false_repair_20d_component__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,false_repair_20d_component,full,none,random_forest_shallow_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6342,0.3827167943998552,cost_bad_10_20_20d,False,fit
shallow_tree_or_bagging_shallow_trees_diagnostic__hybrid_cost_bad_10_20__full__none,shallow_tree_or_bagging_shallow_trees_diagnostic,hybrid_cost_bad_10_20,full,none,random_forest_shallow_balanced,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__platt,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,platt,logistic_l2_balanced_with_platt,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
regularized_logistic_or_elastic_net__hybrid_cost_bad_10_20__full__isotonic,regularized_logistic_or_elastic_net,hybrid_cost_bad_10_20,full,isotonic,logistic_l2_balanced_with_isotonic,risk_on_r_core_horizon_complete/train,48,62a6889162ac937dfe4245d80b5a114fdb26623ecbe34442c3369d9e1cf1eda9,16571,6474,0.39068251765131856,cost_bad_10_20_20d,False,fit
