feature_id,feature_order,feature_family,allowed_for_09C_flag,baseline_role
return_10d,0,FS0_baseline_h_features,True,h_style_fs0_baseline
return_60d,1,FS0_baseline_h_features,True,h_style_fs0_baseline
stock_vs_market_5d,2,FS0_baseline_h_features,True,h_style_fs0_baseline
stock_vs_market_10d,3,FS0_baseline_h_features,True,h_style_fs0_baseline
close_to_high_120,4,FS0_baseline_h_features,True,h_style_fs0_baseline
direction_entropy_20d,5,FS0_baseline_h_features,True,h_style_fs0_baseline
ema60_positive_run,6,FS0_baseline_h_features,True,h_style_fs0_baseline
panel_return_20d_rolling_z_60d,7,FS0_baseline_h_features,True,h_style_fs0_baseline
panel_return_20d_rolling_pct_60d,8,FS0_baseline_h_features,True,h_style_fs0_baseline
log_close_fracdiff_d04,9,FS0_baseline_h_features,True,h_style_fs0_baseline
