reference_event_id,instrument,split,reference_date,date,offset
big_winner_50h120_close_confirmed_SH600000_20240410_000001,SH600000,robustness,2024-04-10,2024-01-18,-51
big_winner_50h120_close_confirmed_SH600009_20181029_000002,SH600009,train,2018-10-29,2018-08-06,-54
big_winner_50h120_close_confirmed_SH600009_20181029_000002,SH600009,train,2018-10-29,2018-10-08,-15
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-06-17,-50
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-06-18,-49
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-06-19,-48
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-07-03,-40
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-07-06,-39
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-07-07,-38
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-07-08,-37
big_winner_50h120_close_confirmed_SH600010_20200828_000003,SH600010,train,2020-08-28,2020-07-09,-36
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-01-07,-34
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-01-20,-25
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-01-21,-24
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-01-22,-23
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-03,-15
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-22,-7
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-23,-6
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-24,-5
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-25,-4
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-02-26,-3
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-03-02,-1
big_winner_50h120_close_confirmed_SH600010_20210303_000004,SH600010,train,2021-03-03,2021-03-03,0
big_winner_50h120_close_confirmed_SH600010_20220426_000005,SH600010,validation,2022-04-26,2022-02-25,-40
big_winner_50h120_close_confirmed_SH600010_20240605_000006,SH600010,robustness,2024-06-05,2024-03-07,-59
big_winner_50h120_close_confirmed_SH600010_20240605_000006,SH600010,robustness,2024-06-05,2024-03-19,-51
big_winner_50h120_close_confirmed_SH600010_20240605_000006,SH600010,robustness,2024-06-05,2024-03-20,-50
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,2024-11-04,-60
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,2024-11-05,-59
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,2024-11-06,-58
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,2024-11-07,-57
big_winner_50h120_close_confirmed_SH600010_20250205_000007,SH600010,robustness,2025-02-05,2024-11-08,-56
big_winner_50h120_close_confirmed_SH600011_20210311_000009,SH600011,train,2021-03-11,2020-12-18,-53
big_winner_50h120_close_confirmed_SH600011_20210311_000009,SH600011,train,2021-03-11,2021-02-22,-13
big_winner_50h120_close_confirmed_SH600011_20210311_000009,SH600011,train,2021-03-11,2021-03-04,-5
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-06-28,-56
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-02,-31
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-18,-19
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-19,-18
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-20,-17
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-23,-16
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-24,-15
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-08-25,-14
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-09-01,-9
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-09-02,-8
big_winner_50h120_close_confirmed_SH600011_20210914_000010,SH600011,train,2021-09-14,2021-09-03,-7
big_winner_50h120_close_confirmed_SH600011_20221212_000012,SH600011,validation,2022-12-12,2022-10-27,-32
big_winner_50h120_close_confirmed_SH600018_20181008_000013,SH600018,train,2018-10-08,2018-08-01,-42
big_winner_50h120_close_confirmed_SH600019_20170926_000014,SH600019,train,2017-09-26,2017-08-04,-37
big_winner_50h120_close_confirmed_SH600019_20170926_000014,SH600019,train,2017-09-26,2017-08-07,-36
big_winner_50h120_close_confirmed_SH600019_20170926_000014,SH600019,train,2017-09-26,2017-08-08,-35
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,2020-06-03,-54
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,2020-06-18,-43
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,2020-07-06,-33
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,2020-07-07,-32
big_winner_50h120_close_confirmed_SH600019_20200820_000015,SH600019,train,2020-08-20,2020-07-09,-30
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,2021-01-07,-49
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,2021-01-14,-44
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,2021-01-20,-40
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,2021-02-22,-22
big_winner_50h120_close_confirmed_SH600019_20210324_000016,SH600019,train,2021-03-24,2021-03-03,-15
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-07-07,-41
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-07-14,-36
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-07-15,-35
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-07-21,-31
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-08-08,-17
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-08-15,-12
big_winner_50h120_close_confirmed_SH600021_20250902_000017,SH600021,robustness,2025-09-02,2025-08-19,-10
big_winner_50h120_close_confirmed_SH600023_20230925_000018,SH600023,validation,2023-09-25,2023-07-25,-44
big_winner_50h120_close_confirmed_SH600025_20180927_000019,SH600025,train,2018-09-27,2018-07-18,-50
big_winner_50h120_close_confirmed_SH600025_20180927_000019,SH600025,train,2018-09-27,2018-07-19,-49
big_winner_50h120_close_confirmed_SH600025_20180927_000019,SH600025,train,2018-09-27,2018-07-20,-48
big_winner_50h120_close_confirmed_SH600025_20180927_000019,SH600025,train,2018-09-27,2018-07-24,-46
