split,event_count,covered_pre60_excl_t0,coverage_pre60_excl_t0,covered_pre60_to_t0,coverage_pre60_to_t0
robustness,241,222,0.921161825726141,223,0.9253112033195021
train,446,380,0.852017937219731,382,0.8565022421524664
validation,158,129,0.8164556962025317,133,0.8417721518987342
