condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and2,2,1.0,845,1.0,845,0.1291750340173906,-6.0,-52.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.1291750340173906,-6.0,-52.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.1291750340173906,-6.0,-52.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.1291750340173906,-6.0,-52.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_5,and2,2,1.0,845,1.0,845,0.12927620097828452,-6.0,-52.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.12927620097828452,-6.0,-52.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.12927620097828452,-6.0,-52.0
vol_ratio20_gt_1_5,single,1,1.0,845,1.0,845,0.12929390519644093,-6.0,-52.0
vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_5,and2,2,1.0,845,1.0,845,0.12929390519644093,-6.0,-52.0
vol_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and2,2,1.0,845,1.0,845,0.12929390519644093,-6.0,-52.0
vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and3,3,1.0,845,1.0,845,0.12929390519644093,-6.0,-52.0
vol_ratio20_gt_1_2 AND money_ratio20_gt_1_2,and2,2,1.0,845,1.0,845,0.23861492313840146,-2.0,-57.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2,and3,3,1.0,845,1.0,845,0.23861492313840146,-2.0,-57.0
money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,1.0,845,1.0,845,0.23861492313840146,-2.0,-57.0
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and2,2,1.0,845,1.0,845,0.2508763587987435,-2.0,-57.0
