horizon,split,event_count,instrument_count,signal_date_count,complete_label_count,self_relative_label_available_count,industry_relative_label_available_count,self_relative_labels_use_completed_labels_only,self_relative_label_lookback_exit_date_le_D_minus_1,horizon_unavailability_independent
H3,robustness,110419,342,485,108113,104988,66354,True,True,True
H3,train,196252,422,1096,192308,178884,84856,True,True,True
H3,validation,109722,323,483,107627,106126,62171,True,True,True
H5,robustness,110419,342,485,107245,104054,65660,True,True,True
H5,train,196252,422,1096,190958,176978,83884,True,True,True
H5,validation,109722,323,483,106823,105204,61547,True,True,True
H10,robustness,110419,342,485,105284,101840,63870,True,True,True
H10,train,196252,422,1096,188147,172837,82005,True,True,True
H10,validation,109722,323,483,105024,103146,60233,True,True,True
