horizon,split,fold_id,fold_unseen_full_valid_instrument_count,fold_unseen_valid_signal_date_count,anchor_valid_signal_date_counts,anchor_min_valid_signal_date_count,partial_instruments_horizon_specific,partial_instruments_excluded_from_sample_gate_by_horizon,partial_instruments_excluded_from_positive_instrument_share_by_horizon,fold_evaluable_flag
H3,train_oof_unseen,0,34,276,"[87, 96, 93]",87,True,True,True,True
H3,train_oof_unseen,1,41,291,"[94, 99, 98]",94,True,True,True,True
H3,train_oof_unseen,2,41,296,"[98, 101, 97]",97,True,True,True,True
H3,train_oof_unseen,3,49,323,"[108, 108, 107]",107,True,True,True,True
H3,train_oof_unseen,4,38,353,"[117, 118, 118]",117,True,True,True,True
H3,validation_oof_unseen,0,44,211,"[72, 73, 66]",66,True,True,True,True
H3,validation_oof_unseen,1,52,239,"[79, 80, 80]",79,True,True,True,True
H3,validation_oof_unseen,2,49,197,"[67, 67, 63]",63,True,True,True,True
H3,validation_oof_unseen,3,52,278,"[90, 95, 93]",90,True,True,True,True
H3,validation_oof_unseen,4,45,237,"[85, 70, 82]",70,True,True,True,True
H3,robustness_oof_unseen,0,38,173,"[59, 55, 59]",55,True,True,True,True
H3,robustness_oof_unseen,1,48,220,"[75, 73, 72]",72,True,True,True,True
H3,robustness_oof_unseen,2,48,213,"[69, 72, 72]",69,True,True,True,True
H3,robustness_oof_unseen,3,55,264,"[82, 88, 94]",82,True,True,True,True
H3,robustness_oof_unseen,4,43,189,"[62, 61, 66]",61,True,True,True,True
H5,train_oof_unseen,0,34,271,"[64, 61, 43, 51, 52]",43,True,True,True,True
H5,train_oof_unseen,1,40,285,"[59, 57, 50, 56, 63]",50,True,True,True,True
H5,train_oof_unseen,2,41,291,"[58, 57, 52, 58, 66]",52,True,True,True,True
H5,train_oof_unseen,3,49,315,"[66, 59, 63, 62, 65]",59,True,True,True,True
H5,train_oof_unseen,4,38,348,"[68, 71, 69, 67, 73]",67,True,True,True,True
H5,validation_oof_unseen,0,44,209,"[41, 43, 36, 43, 46]",36,True,True,True,True
H5,validation_oof_unseen,1,51,237,"[49, 46, 49, 46, 47]",46,True,True,True,True
H5,validation_oof_unseen,2,48,195,"[44, 37, 38, 34, 42]",34,True,True,True,True
H5,validation_oof_unseen,3,52,277,"[55, 56, 55, 55, 56]",55,True,True,True,True
H5,validation_oof_unseen,4,44,230,"[43, 43, 46, 47, 51]",43,True,True,True,True
H5,robustness_oof_unseen,0,37,171,"[30, 31, 36, 38, 36]",30,True,True,True,True
H5,robustness_oof_unseen,1,48,218,"[41, 40, 42, 47, 48]",40,True,True,True,True
H5,robustness_oof_unseen,2,47,212,"[42, 39, 42, 48, 41]",39,True,True,True,True
H5,robustness_oof_unseen,3,55,258,"[52, 54, 57, 46, 49]",46,True,True,True,True
H5,robustness_oof_unseen,4,43,187,"[39, 34, 36, 38, 40]",34,True,True,True,True
H10,train_oof_unseen,0,34,265,"[26, 27, 22, 22, 28, 37, 31, 21, 26, 25]",21,True,True,True,True
H10,train_oof_unseen,1,40,274,"[32, 26, 22, 27, 29, 26, 26, 26, 28, 32]",22,True,True,True,True
H10,train_oof_unseen,2,41,282,"[27, 23, 21, 22, 31, 29, 32, 29, 34, 34]",21,True,True,True,True
H10,train_oof_unseen,3,46,299,"[31, 32, 28, 29, 32, 32, 24, 29, 30, 32]",24,True,True,True,True
H10,train_oof_unseen,4,37,329,"[33, 30, 34, 32, 36, 32, 33, 33, 33, 33]",30,True,True,True,True
H10,validation_oof_unseen,0,44,200,"[17, 22, 17, 22, 21, 21, 19, 18, 20, 23]",17,True,True,True,True
H10,validation_oof_unseen,1,50,230,"[27, 22, 23, 26, 21, 20, 23, 24, 20, 24]",20,True,True,True,True
H10,validation_oof_unseen,2,48,192,"[21, 18, 17, 16, 22, 23, 18, 21, 18, 18]",16,True,True,True,True
H10,validation_oof_unseen,3,52,271,"[29, 29, 24, 26, 26, 25, 26, 29, 28, 29]",24,True,True,True,True
H10,validation_oof_unseen,4,43,226,"[19, 24, 21, 21, 27, 24, 19, 24, 25, 22]",19,True,True,True,True
H10,robustness_oof_unseen,0,36,166,"[11, 12, 19, 19, 21, 18, 18, 15, 18, 15]",11,True,True,True,True
H10,robustness_oof_unseen,1,48,213,"[16, 15, 18, 24, 27, 24, 24, 22, 22, 21]",15,True,True,True,True
H10,robustness_oof_unseen,2,46,204,"[21, 17, 21, 23, 21, 19, 20, 20, 24, 18]",17,True,True,True,True
H10,robustness_oof_unseen,3,54,256,"[24, 27, 31, 24, 26, 28, 27, 24, 21, 24]",21,True,True,True,True
H10,robustness_oof_unseen,4,43,182,"[18, 15, 16, 18, 20, 20, 19, 19, 19, 18]",15,True,True,True,True
