horizon,split,fold_id,full_valid_instrument_count,partial_instrument_count,excluded_thin_instrument_count,full_valid_threshold,partial_threshold,partial_instruments_horizon_specific
H3,train_oof_unseen,0,34,16,8,300,60,True
H3,validation_oof_unseen,0,44,2,7,120,60,True
H3,robustness_oof_unseen,0,39,4,6,120,60,True
H5,train_oof_unseen,0,34,15,7,300,60,True
H5,validation_oof_unseen,0,44,2,7,120,60,True
H5,robustness_oof_unseen,0,38,5,6,120,60,True
H10,train_oof_unseen,0,34,14,6,300,60,True
H10,validation_oof_unseen,0,44,1,8,120,60,True
H10,robustness_oof_unseen,0,36,4,8,120,60,True
H3,train_oof_unseen,1,41,13,14,300,60,True
H3,validation_oof_unseen,1,52,1,5,120,60,True
H3,robustness_oof_unseen,1,48,4,11,120,60,True
H5,train_oof_unseen,1,40,13,12,300,60,True
H5,validation_oof_unseen,1,51,2,3,120,60,True
H5,robustness_oof_unseen,1,48,4,10,120,60,True
H10,train_oof_unseen,1,40,11,6,300,60,True
H10,validation_oof_unseen,1,50,3,3,120,60,True
H10,robustness_oof_unseen,1,48,3,10,120,60,True
H3,train_oof_unseen,2,41,14,10,300,60,True
H3,validation_oof_unseen,2,49,2,5,120,60,True
H3,robustness_oof_unseen,2,48,2,9,120,60,True
H5,train_oof_unseen,2,41,14,9,300,60,True
H5,validation_oof_unseen,2,48,3,5,120,60,True
H5,robustness_oof_unseen,2,47,3,9,120,60,True
H10,train_oof_unseen,2,41,14,7,300,60,True
H10,validation_oof_unseen,2,48,3,4,120,60,True
H10,robustness_oof_unseen,2,47,1,11,120,60,True
H3,train_oof_unseen,3,49,16,7,300,60,True
H3,validation_oof_unseen,3,54,7,11,120,60,True
H3,robustness_oof_unseen,3,56,2,10,120,60,True
H5,train_oof_unseen,3,49,16,7,300,60,True
H5,validation_oof_unseen,3,54,7,11,120,60,True
H5,robustness_oof_unseen,3,56,2,10,120,60,True
H10,train_oof_unseen,3,46,17,9,300,60,True
H10,validation_oof_unseen,3,54,7,9,120,60,True
H10,robustness_oof_unseen,3,56,2,8,120,60,True
H3,train_oof_unseen,4,39,15,17,300,60,True
H3,validation_oof_unseen,4,45,2,6,120,60,True
H3,robustness_oof_unseen,4,43,7,8,120,60,True
H5,train_oof_unseen,4,39,15,17,300,60,True
H5,validation_oof_unseen,4,44,2,5,120,60,True
H5,robustness_oof_unseen,4,43,5,10,120,60,True
H10,train_oof_unseen,4,38,15,15,300,60,True
H10,validation_oof_unseen,4,43,2,6,120,60,True
H10,robustness_oof_unseen,4,43,5,8,120,60,True
