version,period,datetime,cash,position_value,account_value,prev_account_value,return,cost,turnover,positions,cash_ratio,max_single_stock_weight,max_industry_weight_observed
fixed_weight_layered_exit,valid,2023-01-03,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-01-04,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-01-05,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-01-06,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-01-09,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-01-10,954447.2362213135,46540.000915527344,1000987.2371368408,1000000.0,0.0009872371368409016,22.764999389648438,0.04552999877929687,1,0.9535058997868471,0.04649410021315292,0.04649410021315292
fixed_weight_layered_exit,valid,2023-01-11,954447.2362213135,45950.00076293945,1000397.2369842529,1000987.2371368408,-0.0005894182569954332,0.0,0.0,1,0.9540682450288868,0.045931754971113285,0.045931754971113285
fixed_weight_layered_exit,valid,2023-01-12,954447.2362213135,45639.99938964844,1000087.2356109619,1000397.2369842529,-0.0003098782781782994,0.0,0.0,1,0.9543639816962901,0.04563601830370984,0.04563601830370984
fixed_weight_layered_exit,valid,2023-01-13,954447.2362213135,46959.999084472656,1001407.2353057861,1000087.2356109619,0.0013198845538886506,0.0,0.0,1,0.9531059918194688,0.04689400818053119,0.04689400818053119
fixed_weight_layered_exit,valid,2023-01-16,860021.043385601,141237.99633979797,1001259.039725399,1001407.2353057861,-0.0001479873273951826,47.18950166702271,0.09424637650558434,3,0.8589396043020662,0.04749819773149065,0.04749819773149065
fixed_weight_layered_exit,valid,2023-01-17,816809.4497595787,182844.00029182434,999653.450051403,1001259.039725399,-0.0016035707147635803,21.594999313354492,0.04313568908057408,4,0.8170926131626691,0.046616153299650874,0.046616153299650874
fixed_weight_layered_exit,valid,2023-01-18,816809.4497595787,183330.9998512268,1000140.4496108055,999653.450051403,0.00048716838758222636,0.0,0.0,4,0.8166947453004544,0.04649347001023207,0.04649347001023207
fixed_weight_layered_exit,valid,2023-01-19,816809.4497595787,185304.0015220642,1002113.4512816429,1000140.4496108055,0.0019727246024348055,0.0,0.0,4,0.8150868035100501,0.046984700426028085,0.046984700426028085
fixed_weight_layered_exit,valid,2023-01-20,769265.6885382652,233856.00118637085,1003121.689724636,1002113.4512816429,0.001006112074140475,23.760000610351565,0.047419781822036114,5,0.766871752867226,0.047563520957079525,0.09479607664144657
fixed_weight_layered_exit,valid,2023-01-30,769265.6885382652,230191.00108146667,999456.6896197319,1003121.689724636,-0.0036535947158218285,0.0,0.0,5,0.769683865772064,0.046885473975046,0.09267034998379241
fixed_weight_layered_exit,valid,2023-01-31,953846.4026257276,46599.998474121094,1000446.4010998487,999456.6896197319,0.0009902494929454608,277.28700163364414,0.18495849095715183,1,0.9534207945344289,0.046579205465571184,0.046579205465571184
fixed_weight_layered_exit,valid,2023-02-01,906302.642167735,93470.00122070312,999772.6433884382,1000446.4010998487,-0.0006734570794295625,23.760000228881836,0.04749879694256702,2,0.9065087429238774,0.0471607238282473,0.0471607238282473
fixed_weight_layered_exit,valid,2023-02-02,860285.643778491,140349.99885559082,1000635.6426340818,999772.6433884382,0.0008631954988473911,22.997000694274902,0.046004460806875584,3,0.8597391569161655,0.04716002208751565,0.09369044673911618
fixed_weight_layered_exit,valid,2023-02-03,860285.643778491,141417.99774169922,1001703.6415201902,1000635.6426340818,0.0010673204517250845,0.0,0.0,3,0.8588225180782186,0.04796628146114811,0.09404777496291823
fixed_weight_layered_exit,valid,2023-02-06,812789.9061297177,188391.9979095459,1001181.9040392636,1001703.6415201902,-0.0005208501390039366,23.73600082397461,0.047391263923035644,4,0.8118304005001695,0.05032851434360033,0.09555505968627476
fixed_weight_layered_exit,valid,2023-02-07,859136.2824953793,140863.99955749512,1000000.2820528744,1001181.9040392636,-0.0011802270712464313,69.6240005493164,0.046361205869728375,3,0.8591360401735897,0.05002398529549838,0.09482397189659393
fixed_weight_layered_exit,valid,2023-02-08,778737.1014534711,220325.9952545166,999063.0967079877,1000000.2820528744,-0.0009371850805509618,40.17950077056885,0.08035897887565671,5,0.7794673870143811,0.049134031653999634,0.09397604351959751
fixed_weight_layered_exit,valid,2023-02-09,778737.1014534711,223904.0012359619,1002641.102689433,999063.0967079877,0.0035813613707034175,0.0,0.0,5,0.7766857945127391,0.04947732510523436,0.09535615440578064
fixed_weight_layered_exit,valid,2023-02-10,731512.5000718355,266980.00588417053,998492.505956006,1002641.102689433,-0.004137668725428312,23.600500440597536,0.04707666657050616,6,0.7326169157087957,0.048276779337685864,0.09466671157906525
fixed_weight_layered_exit,valid,2023-02-13,731512.5000718355,269700.0006198883,1001212.5006917238,998492.505956006,0.002724101302206128,0.0,0.0,6,0.7306266147960035,0.04832740457543713,0.09539033966597008
fixed_weight_layered_exit,valid,2023-02-14,685266.1932878254,314619.0034389496,999885.196726775,1001212.5006917238,-0.0013256965569564683,117.30449900627136,0.14019900875368035,7,0.6853448731225479,0.04789749898802737,0.09457685919594343
fixed_weight_layered_exit,valid,2023-02-15,640793.9682878255,362269.99802589417,1003063.9663137196,999885.196726775,0.0031791345619982536,22.225,0.044455103591403845,8,0.6388365944823602,0.04943054567971155,0.13406622754811012
fixed_weight_layered_exit,valid,2023-02-16,640793.9682878255,365890.0010585785,1006683.969346404,1003063.9663137196,0.003608945345717096,0.0,0.0,8,0.6365393587263192,0.051293159679933184,0.13451391474983773
fixed_weight_layered_exit,valid,2023-02-17,640793.9682878255,354983.0011367798,995776.9694246053,1006683.969346404,-0.010834581908441554,0.0,0.0,8,0.6435115371849769,0.04992282781025973,0.13129044170325646
fixed_weight_layered_exit,valid,2023-02-20,730518.177708125,280250.9983062744,1010769.1760143994,995776.9694246053,0.01505578764134019,134.78849687576295,0.09024008455337039,6,0.7227349181626785,0.05327229885655102,0.08949916668324837
fixed_weight_layered_exit,valid,2023-02-21,590142.0276240109,418765.00129699707,1008907.028921008,1010769.1760143994,-0.0018423069654083246,70.15299854278564,0.1388111157473331,9,0.5849320211944087,0.05156669455532768,0.14479035113046193
fixed_weight_layered_exit,valid,2023-02-22,590142.0276240109,413330.9987068176,1003473.0263308286,1008907.028921008,-0.005386029073452758,0.0,0.0,9,0.5880995424280102,0.050913176206626984,0.14411348809284222
fixed_weight_layered_exit,valid,2023-02-23,590142.0276240109,408056.99348449707,998199.021108508,1003473.0263308286,-0.005255751857730306,0.0,0.0,9,0.5912067785526913,0.0513384570971827,0.14328004044505185
fixed_weight_layered_exit,valid,2023-02-24,546049.9914026974,451715.9987449646,997765.990147662,998199.021108508,-0.00043381224754668324,22.035000610351563,0.04414951356269919,10,0.5472726037914822,0.050605052383968126,0.14326806279022697
fixed_weight_layered_exit,valid,2023-02-27,581031.4400370357,413061.9998931885,994093.4399302242,997765.990147662,-0.003680773100809165,52.5509994506836,0.035112441173309875,9,0.5844837282879751,0.05053046040628612,0.14140119290797637
fixed_weight_layered_exit,valid,2023-02-28,579723.1670513866,415943.00022125244,995666.167272639,994093.4399302242,0.0015820719453949472,91.2704984664917,0.09242491301072465,9,0.5822465261015979,0.049480439168434115,0.139490531935989
fixed_weight_layered_exit,valid,2023-03-01,582461.0844483135,431938.00382614136,1014399.0882744548,995666.167272639,0.018814459723111465,96.08299980163574,0.09507805197658133,9,0.5741932255076351,0.05349374065709376,0.1882336067794945
fixed_weight_layered_exit,valid,2023-03-02,498761.25335681415,517918.99156570435,1016680.2449225185,1014399.0882744548,0.0022487763193321797,41.82900104522705,0.08247050205137771,11,0.49057828736981596,0.054677956350711744,0.1872171669943162
fixed_weight_layered_exit,valid,2023-03-03,498761.25335681415,516809.99364852905,1015571.2470053432,1016680.2449225185,-0.001090803055054712,0.0,0.0,11,0.4911139960170515,0.0558424626372402,0.18634142894283204
fixed_weight_layered_exit,valid,2023-03-06,591477.9668276546,424631.99911117554,1016109.9659388302,1015571.2470053432,0.0005304590249828323,139.28399620056155,0.0914322828071879,9,0.5821003500159171,0.05561209072355724,0.190097535408397
fixed_weight_layered_exit,valid,2023-03-07,591477.9668276546,413299.0005493164,1004776.967376971,1016109.9659388302,-0.01115331897309757,0.0,0.0,9,0.5886659288894155,0.05461510658485173,0.1857387300706173
fixed_weight_layered_exit,valid,2023-03-08,680575.1209408997,326814.000415802,1007389.1213567017,1004776.967376971,0.002599735129826808,133.8465009212494,0.08880677355404454,7,0.6755831550218995,0.05629602128319036,0.18715012633212452
fixed_weight_layered_exit,valid,2023-03-09,680575.1209408997,327125.9983062744,1007701.1192471741,1007389.1213567017,0.00030970941005614705,0.0,0.0,7,0.6753739853433315,0.05557004611371261,0.18888537214062553
fixed_weight_layered_exit,valid,2023-03-10,726049.8051382302,278252.9960632324,1004302.8012014626,1007701.1192471741,-0.003372347197798331,68.31449804306031,0.04519494701901042,6,0.7229391417306074,0.053320572177969955,0.18952550597668935
fixed_weight_layered_exit,valid,2023-03-13,760316.327406907,256148.00243377686,1016464.3298406838,1004302.8012014626,0.012109424194249208,51.47699890136719,0.03417096838376134,5,0.7480009923477351,0.05559270301177976,0.1964063046404852
fixed_weight_layered_exit,valid,2023-03-14,760316.327406907,257053.9981842041,1017370.3255911111,1016464.3298406838,0.0008913207515794941,0.0,0.0,5,0.7473348772632513,0.056746296792232614,0.19591882594451612
fixed_weight_layered_exit,valid,2023-03-15,760316.327406907,254015.99617004395,1014332.3235769509,1017370.3255911111,-0.002986131930273306,0.0,0.0,5,0.7495732017350294,0.05685710719005201,0.1952200416983126
fixed_weight_layered_exit,valid,2023-03-16,760316.327406907,249580.00192642212,1009896.3293333291,1014332.3235769509,-0.004373314485314528,0.0,0.0,5,0.7528657202950927,0.05614437675739432,0.19299802851372017
fixed_weight_layered_exit,valid,2023-03-17,806189.4146049737,215730.00049591064,1021919.4151008844,1009896.3293333291,0.011905267321342006,68.91300029754639,0.04549179837963399,4,0.7888972483465209,0.06101459467350639,0.15490849570852455
fixed_weight_layered_exit,valid,2023-03-20,806189.4146049737,207810.00213623047,1013999.4167412042,1021919.4151008844,-0.0077501202566919725,0.0,0.0,4,0.7950590516076517,0.061455654755368606,0.15373973397424665
fixed_weight_layered_exit,valid,2023-03-21,857927.6898279428,154968.0030822754,1012895.6929102181,1013999.4167412042,-0.001088485666523531,77.72399883270263,0.05110062034190142,3,0.8470049737924875,0.06138045810948085,0.15299502620751254
fixed_weight_layered_exit,valid,2023-03-22,857927.6898279428,160391.99752807617,1018319.6873560189,1012895.6929102181,0.005354938799489561,0.0,0.0,3,0.8424934728066386,0.06561397064891741,0.1575065271933615
fixed_weight_layered_exit,valid,2023-03-23,857927.6898279428,165947.99880981445,1023875.6886377572,1018319.6873560189,0.005456048184793394,0.0,0.0,3,0.8379217314646816,0.06880913345554862,0.1620782685353184
fixed_weight_layered_exit,valid,2023-03-24,857927.6898279428,171026.00479125977,1028953.6946192025,1023875.6886377572,0.004959592299922155,0.0,0.0,3,0.8337864904070795,0.07123352837018693,0.16621350959292044
fixed_weight_layered_exit,valid,2023-03-27,857927.6898279428,174234.00039672852,1032161.6902246713,1028953.6946192025,0.003117725921238934,0.0,0.0,3,0.8311950520477049,0.07097725295088647,0.16880494795229506
fixed_weight_layered_exit,valid,2023-03-28,857927.6898279428,168391.99829101562,1026319.6881189584,1032161.6902246713,-0.005659967969205759,0.0,0.0,3,0.8359263685181321,0.06748774283281328,0.16407363148186796
fixed_weight_layered_exit,valid,2023-03-29,857927.6898279428,169312.00103759766,1027239.6908655404,1026319.6881189584,0.0008964095273942263,0.0,0.0,3,0.8351777072642731,0.06777775544347592,0.16482229273572685
fixed_weight_layered_exit,valid,2023-03-30,857927.6898279428,166172.00622558594,1024099.6960535287,1027239.6908655404,-0.0030567304203034107,0.0,0.0,3,0.8377384478621109,0.06541941419906819,0.162261552137889
fixed_weight_layered_exit,valid,2023-03-31,857927.6898279428,179391.99752807617,1037319.6873560189,1024099.6960535287,0.012908890954108188,0.0,0.0,3,0.8270619947594738,0.07107548352810407,0.17293800524052616
fixed_weight_layered_exit,valid,2023-04-03,857927.6898279428,188229.99725341797,1046157.6870813607,1037319.6873560189,0.008520034694288414,0.0,0.0,3,0.8200749279216651,0.07618736523850225,0.1799250720783349
fixed_weight_layered_exit,valid,2023-04-04,857927.6898279428,192748.00033569336,1050675.690163636,1046157.6870813607,0.0043186635610164,0.0,0.0,3,0.8165485295413335,0.0796630214095505,0.18345147045866653
fixed_weight_layered_exit,valid,2023-04-06,857927.6898279428,187542.00134277344,1045469.6911707162,1050675.690163636,-0.0049549057255804385,0.0,0.0,3,0.8206145975090258,0.07868233968712793,0.1793854024909742
fixed_weight_layered_exit,valid,2023-04-07,857927.6898279428,195834.00039672852,1053761.6902246713,1045469.6911707162,0.007931362452669122,0.0,0.0,3,0.8141572214919153,0.0835293250486411,0.18584277850808467
fixed_weight_layered_exit,valid,2023-04-10,857927.6898279428,188561.99798583984,1046489.6878137826,1053761.6902246713,-0.006900993344461259,0.0,0.0,3,0.8198147576783447,0.08218332087189983,0.1801852423216553
fixed_weight_layered_exit,valid,2023-04-11,857927.6898279428,183613.99841308594,1041541.6882410287,1046489.6878137826,-0.00472818760698035,0.0,0.0,3,0.8237094103038967,0.07856430450733387,0.1762905896961033
fixed_weight_layered_exit,valid,2023-04-12,857927.6898279428,190010.00595092773,1047937.6957788705,1041541.6882410287,0.006140904017623683,0.0,0.0,3,0.8186819629484705,0.08258506554779038,0.18131803705152955
fixed_weight_layered_exit,valid,2023-04-13,811616.5438127755,228653.99322509766,1040270.5370378732,1047937.6957788705,-0.007316426130943521,23.144001007080078,0.04417056681958273,4,0.7801975687245932,0.07686077213315386,0.2198024312754068
fixed_weight_layered_exit,valid,2023-04-14,811616.5438127755,227956.99882507324,1039573.5426378488,1040270.5370378732,-0.0006700126315305477,0.0,0.0,4,0.7807206614294477,0.07691230434858753,0.2192793385705522
fixed_weight_layered_exit,valid,2023-04-17,765261.3786066293,269641.00036621094,1034902.3789728403,1039573.5426378488,-0.004493346043759172,23.165999603271484,0.04456827468788654,5,0.7394527195561821,0.07558973671477451,0.21700887458339593
fixed_weight_layered_exit,valid,2023-04-18,765261.3786066293,270642.00134277344,1035903.3799494028,1034902.3789728403,0.0009672419320903014,0.0,0.0,5,0.7387381810106725,0.07801886190440808,0.2188070850521536
fixed_weight_layered_exit,valid,2023-04-19,716408.9628204583,319443.9953804016,1035852.95820086,1035903.3799494028,-4.867418093112974e-05,24.414000892639162,0.04713567184968858,6,0.6916126050021292,0.0792737979143461,0.22041158864943428
fixed_weight_layered_exit,valid,2023-04-20,716408.9628204583,323103.9996147156,1039512.9624351739,1035852.95820086,0.0035333241125949932,0.0,0.0,6,0.6891775174618229,0.083912371951293,0.22248110898690726
fixed_weight_layered_exit,valid,2023-04-21,716408.9628204583,308501.9994735718,1024910.9622940301,1039512.9624351739,-0.014046963019044068,0.0,0.0,6,0.6989962925334897,0.07934738093472152,0.21562751136273406
fixed_weight_layered_exit,valid,2023-04-24,849322.2936175584,170967.99783706665,1020290.2914546251,1024910.9622940301,-0.004508363174360763,199.6695004463196,0.12987762371045697,3,0.8324320056076217,0.07635473791646773,0.12223383895795085
fixed_weight_layered_exit,valid,2023-04-25,895882.3496840715,121848.00395965576,1017730.3536437273,1020290.2914546251,-0.002509028883581843,69.94500160217285,0.04570268036328658,2,0.8802747667656667,0.07527337884504295,0.07527337884504295
fixed_weight_layered_exit,valid,2023-04-26,972051.925603795,45084.00163650513,1017135.9272403001,1017730.3536437273,-0.0005840706246983407,114.42600288391114,0.07495502285992725,1,0.9556755391004353,0.04432446089956466,0.04432446089956466
fixed_weight_layered_exit,valid,2023-04-27,972051.925603795,45396.00133895874,1017447.9269427537,1017135.9272403001,0.00030674337037739363,0.0,0.0,1,0.9553824818579507,0.04461751814204928,0.04461751814204928
fixed_weight_layered_exit,valid,2023-04-28,972051.925603795,46488.00029754639,1018539.9259013414,1017447.9269427537,0.0010732725770732365,0.0,0.0,1,0.9543581953781463,0.045641804621853715,0.045641804621853715
fixed_weight_layered_exit,valid,2023-05-04,972051.925603795,46176.00059509277,1018227.9261988878,1018539.9259013414,-0.00030632054229740024,0.0,0.0,1,0.95465062447514,0.04534937552485998,0.04534937552485998
fixed_weight_layered_exit,valid,2023-05-05,1018158.6621979951,0.0,1018158.6621979951,1018227.9261988878,-6.802406328731969e-05,69.26400089263916,0.04534937552485998,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-08,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-09,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-10,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-11,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-12,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-15,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-16,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-17,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-18,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-19,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-22,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-23,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-24,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-25,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-26,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-29,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-30,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-05-31,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-01,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-02,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-05,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-06,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-07,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-08,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-09,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-12,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-13,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-14,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-15,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-16,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-19,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-20,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-21,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-26,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-27,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-28,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
fixed_weight_layered_exit,valid,2023-06-29,1018158.6621979951,0.0,1018158.6621979951,1018158.6621979951,0.0,0.0,0.0,0,1.0,0.0,0.0
