version,period,direction,instrument,signal_date,order_date,status,reason,open,prev_close_for_limit,limit_threshold,entry_type,exit_reason
fixed_weight_layered_exit,valid,buy,SZ000963,2023-01-09,2023-01-10,executed,executed,45.529998779296875,45.77000045776367,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SZ002027,2023-01-13,2023-01-16,executed,executed,6.010000228881836,5.980000019073486,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SH601601,2023-01-13,2023-01-16,executed,executed,23.450000762939453,23.3799991607666,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SH600570,2023-01-16,2023-01-17,executed,executed,43.189998626708984,43.41999816894531,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SH601336,2023-01-19,2023-01-20,executed,executed,29.700000762939453,29.700000762939453,0.095,pullback,
fixed_weight_layered_exit,valid,sell,SZ000963,2023-01-30,2023-01-31,executed,executed,45.220001220703125,45.36000061035156,0.095,,time_stop
fixed_weight_layered_exit,valid,sell,SZ002027,2023-01-30,2023-01-31,executed,executed,5.900000095367432,5.889999866485596,0.095,,time_stop
fixed_weight_layered_exit,valid,sell,SH601601,2023-01-30,2023-01-31,executed,executed,23.649999618530273,23.43000030517578,0.095,,time_stop
fixed_weight_layered_exit,valid,sell,SH601336,2023-01-30,2023-01-31,executed,executed,28.579999923706055,28.600000381469727,0.095,,time_stop
fixed_weight_layered_exit,valid,buy,SZ002027,2023-01-31,2023-02-01,executed,executed,5.940000057220459,5.920000076293945,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SZ002555,2023-02-01,2023-02-02,executed,executed,17.690000534057617,17.690000534057617,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SH600958,2023-02-03,2023-02-06,executed,executed,9.890000343322754,9.960000038146973,0.095,pullback,
fixed_weight_layered_exit,valid,sell,SH600958,2023-02-06,2023-02-07,executed,executed,9.670000076293945,9.579999923706055,0.095,,stop_loss
fixed_weight_layered_exit,valid,buy,SZ000858,2023-02-07,2023-02-08,executed,executed,178.77999877929688,178.77999877929688,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SZ002415,2023-02-07,2023-02-08,executed,executed,34.310001373291016,34.290000915527344,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SH601377,2023-02-09,2023-02-10,executed,executed,6.130000114440918,6.159999847412109,0.095,pullback,
fixed_weight_layered_exit,valid,sell,SZ002027,2023-02-13,2023-02-14,executed,executed,5.889999866485596,5.889999866485596,0.095,,time_stop
fixed_weight_layered_exit,valid,buy,SH600050,2023-02-13,2023-02-14,executed,executed,4.610000133514404,4.610000133514404,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SH601601,2023-02-13,2023-02-14,executed,executed,24.329999923706055,24.440000534057617,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SH600845,2023-02-14,2023-02-15,executed,executed,31.75,31.799999237060547,0.095,pullback,
fixed_weight_layered_exit,valid,sell,SH601377,2023-02-17,2023-02-20,executed,executed,5.989999771118164,5.920000076293945,0.095,,stop_loss
fixed_weight_layered_exit,valid,sell,SH600845,2023-02-17,2023-02-20,executed,executed,31.239999771118164,31.190000534057617,0.095,,trailing_stop
fixed_weight_layered_exit,valid,buy,SZ002558,2023-02-20,2023-02-21,executed,executed,10.239999771118164,10.25,0.095,breakout,
fixed_weight_layered_exit,valid,buy,SZ002602,2023-02-20,2023-02-21,executed,executed,4.579999923706055,4.610000133514404,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SH600845,2023-02-20,2023-02-21,executed,executed,32.54999923706055,32.630001068115234,0.095,pullback,
fixed_weight_layered_exit,valid,buy,SZ000568,2023-02-23,2023-02-24,executed,executed,220.35000610351562,222.4600067138672,0.095,pullback,
fixed_weight_layered_exit,valid,sell,SZ000858,2023-02-24,2023-02-27,executed,executed,175.1699981689453,176.9600067138672,0.095,,trailing_stop
fixed_weight_layered_exit,valid,sell,SZ002415,2023-02-27,2023-02-28,executed,executed,34.869998931884766,34.25,0.095,,time_stop
fixed_weight_layered_exit,valid,buy,SZ002236,2023-02-27,2023-02-28,executed,executed,12.930000305175781,12.680000305175781,0.095,breakout,
