version,period,datetime,industry_name,exposure_value,exposure_weight,account_value
fixed_weight_layered_exit,valid,2023-01-03,UNKNOWN,0.0,0.0,1000000.0
fixed_weight_layered_exit,valid,2023-01-04,UNKNOWN,0.0,0.0,1000000.0
fixed_weight_layered_exit,valid,2023-01-05,UNKNOWN,0.0,0.0,1000000.0
fixed_weight_layered_exit,valid,2023-01-06,UNKNOWN,0.0,0.0,1000000.0
fixed_weight_layered_exit,valid,2023-01-09,UNKNOWN,0.0,0.0,1000000.0
fixed_weight_layered_exit,valid,2023-01-10,医药生物,46540.000915527344,0.04649410021315292,1000987.2371368408
fixed_weight_layered_exit,valid,2023-01-10,UNKNOWN,0.0,0.0,1000987.2371368408
fixed_weight_layered_exit,valid,2023-01-11,医药生物,45950.00076293945,0.045931754971113285,1000397.2369842529
fixed_weight_layered_exit,valid,2023-01-11,UNKNOWN,0.0,0.0,1000397.2369842529
fixed_weight_layered_exit,valid,2023-01-12,医药生物,45639.99938964844,0.04563601830370984,1000087.2356109619
fixed_weight_layered_exit,valid,2023-01-12,UNKNOWN,0.0,0.0,1000087.2356109619
fixed_weight_layered_exit,valid,2023-01-13,医药生物,46959.999084472656,0.04689400818053119,1001407.2353057861
fixed_weight_layered_exit,valid,2023-01-13,UNKNOWN,0.0,0.0,1001407.2353057861
fixed_weight_layered_exit,valid,2023-01-16,医药生物,46419.99816894531,0.04636162703876937,1001259.039725399
fixed_weight_layered_exit,valid,2023-01-16,传媒,47557.99984931946,0.04749819773149065,1001259.039725399
fixed_weight_layered_exit,valid,2023-01-16,非银金融,47259.9983215332,0.04720057092767375,1001259.039725399
fixed_weight_layered_exit,valid,2023-01-16,UNKNOWN,0.0,0.0,1001259.039725399
fixed_weight_layered_exit,valid,2023-01-17,医药生物,46540.000915527344,0.04655613494169826,999653.450051403
fixed_weight_layered_exit,valid,2023-01-17,传媒,46294.001054763794,0.046310049800141556,999653.450051403
fixed_weight_layered_exit,valid,2023-01-17,非银金融,46599.998474121094,0.046616153299650874,999653.450051403
fixed_weight_layered_exit,valid,2023-01-17,计算机,43409.99984741211,0.04342504879584013,999653.450051403
fixed_weight_layered_exit,valid,2023-01-17,UNKNOWN,0.0,0.0,999653.450051403
fixed_weight_layered_exit,valid,2023-01-18,医药生物,45700.00076293945,0.045693583116974364,1000140.4496108055
fixed_weight_layered_exit,valid,2023-01-18,传媒,45740.999698638916,0.0457345762951979,1000140.4496108055
fixed_weight_layered_exit,valid,2023-01-18,非银金融,46500.0,0.04649347001023207,1000140.4496108055
fixed_weight_layered_exit,valid,2023-01-18,计算机,45389.99938964844,0.04538362527714132,1000140.4496108055
fixed_weight_layered_exit,valid,2023-01-18,UNKNOWN,0.0,0.0,1000140.4496108055
fixed_weight_layered_exit,valid,2023-01-19,医药生物,45880.001068115234,0.04578324041997188,1002113.4512816429
fixed_weight_layered_exit,valid,2023-01-19,传媒,47084.000301361084,0.046984700426028085,1002113.4512816429
fixed_weight_layered_exit,valid,2023-01-19,非银金融,46560.001373291016,0.0464618066085667,1002113.4512816429
fixed_weight_layered_exit,valid,2023-01-19,计算机,45779.998779296875,0.045683449035383177,1002113.4512816429
fixed_weight_layered_exit,valid,2023-01-19,UNKNOWN,0.0,0.0,1002113.4512816429
fixed_weight_layered_exit,valid,2023-01-20,医药生物,46080.00183105469,0.045936602012567364,1003121.689724636
