pool_id,adapter_id,pool_promotability_status,leakage_risk_class,invalid_pool_reason
baseline_A_r04_included_rps_episode_first_trigger,control_baseline_A,control_baseline,no_known_oos_leakage,
baseline_A_matched_background,control_background,descriptive_control_not_replayed,no_known_oos_leakage,
r04_rps95,r04_deterministic_auxiliary,promotable,no_known_oos_leakage,
r04_rps95_money80,r04_deterministic_auxiliary,promotable,no_known_oos_leakage,
r04_rps95_industry80,r04_deterministic_auxiliary,promotable,no_known_oos_leakage,
r04_rps95_industry_relative10,r04_deterministic_auxiliary,promotable,no_known_oos_leakage,
r02_precision_momentum_rps,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_oscillator,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_price_trend,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_pullback_drawdown,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_range_breakout,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_volatility_band,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r02_precision_volume_money,r02_family_precision_frozen_family_occurrence,promotable,no_known_oos_leakage,
r03c_config_frozen_family_set_pool,r03c_config_frozen_family_set_pool,descriptive_lead_only_no_config_keys,no_known_oos_leakage,
