pool_id,pool_family_id,pool_source_id,adapter_id,pool_source_artifact_path,pool_source_artifact_hash,pool_type,anchor_type,anchor_signal_date_column,instrument_column,membership_rule_text,membership_rule_json,membership_rule_hash,field_source_map_hash,episode_collapse_rule,selection_stage_allowed,pool_promotability_status,leakage_risk_class,invalid_pool_reason
baseline_A_r04_included_rps_episode_first_trigger,control_baseline_A,r04_baseline_A,control_baseline_A,ep4/outputs/r04b_fixed_entry_hold_exit_risk_budget_cta_diagnostic_v1/cache/r04b_candidate_replay_base_panel.parquet,051219901a50010f2e3df542c1e93ba795dd56b40801a47347e4859070d5a29c,control_baseline,source_observable_signal_date,anchor_signal_date,instrument_id,"{""entry_valid_r04b"": true, ""r04_inclusion_status"": ""included""}","{""entry_valid_r04b"": true, ""r04_inclusion_status"": ""included""}",ea2e70046931a8ca6ff731b6e043e4e6f35fd8e1e499c5a56f3f325e4571d335,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,none,control_baseline,no_known_oos_leakage,
baseline_A_matched_background,control_background,r04_background_action_time,control_background,ep4/outputs/r04_dynamic_momentum_exposure_eligibility_audit_v1/cache/r04_background_action_time_panel.parquet,a5a12e5184c299fa8bf38aa2e9cca568ec7e4f7772f8c433022f4912d064f1fa,control_not_replayed,source_observable_signal_date,anchor_signal_date,instrument_id,"{""background_pool"": ""available_for_descriptive_context_only""}","{""background_pool"": ""available_for_descriptive_context_only""}",fd8dacbed7a6b571537df8a4fa0ec9b2eb9c19eb4cf237a0ef67eec9fc90f3f8,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,none,descriptive_control_not_replayed,no_known_oos_leakage,
r04_rps95,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,ep4/outputs/r04_dynamic_momentum_exposure_eligibility_audit_v1/cache/r04_candidate_regime_join_panel.parquet,5a9bb65ddcae62eeeb080a30050cd2a8d7f0a56b756d020f5ce3d9b56bcb1df0,deterministic_auxiliary,source_observable_signal_date,anchor_signal_date,instrument_id,"{""stock_rps_60d"": ["">="", 0.95]}","{""stock_rps_60d"": ["">="", 0.95]}",bfea73ad07857aa1dcd940a265e84988fa6f453090798ee606743b566a931f4a,04be6f0a48693897d422ede84f9284c27526ed47ffe1c14a28d3cbe6c96376b3,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r04_rps95_money80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,ep4/outputs/r04_dynamic_momentum_exposure_eligibility_audit_v1/cache/r04_candidate_regime_join_panel.parquet,5a9bb65ddcae62eeeb080a30050cd2a8d7f0a56b756d020f5ce3d9b56bcb1df0,deterministic_auxiliary,source_observable_signal_date,anchor_signal_date,instrument_id,"{""money_rank_20d"": ["">="", 0.8], ""stock_rps_60d"": ["">="", 0.95]}","{""money_rank_20d"": ["">="", 0.8], ""stock_rps_60d"": ["">="", 0.95]}",af26ef6707e051763578f5db8061484d521b65f015dd5dd46375232fd5941eb9,be7096aa3e77b91b69f8bbc1c49c0d91d74b37f1b349a6b59ba0f37db9e0847c,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r04_rps95_industry80,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,ep4/outputs/r04_dynamic_momentum_exposure_eligibility_audit_v1/cache/r04_candidate_regime_join_panel.parquet,5a9bb65ddcae62eeeb080a30050cd2a8d7f0a56b756d020f5ce3d9b56bcb1df0,deterministic_auxiliary,source_observable_signal_date,anchor_signal_date,instrument_id,"{""industry_rps_60d"": ["">="", 0.8], ""stock_rps_60d"": ["">="", 0.95]}","{""industry_rps_60d"": ["">="", 0.8], ""stock_rps_60d"": ["">="", 0.95]}",3f679c9fee33a74cfbff369d9817056590227bc3d00c77b4a6a33224351b5f81,cd1dcf352144544afabf6a958d7096839d4acfed5f019a5cd323b5af6a4f5a33,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r04_rps95_industry_relative10,r04_deterministic_auxiliary,r04_baseline_A,r04_deterministic_auxiliary,ep4/outputs/r04_dynamic_momentum_exposure_eligibility_audit_v1/cache/r04_candidate_regime_join_panel.parquet,5a9bb65ddcae62eeeb080a30050cd2a8d7f0a56b756d020f5ce3d9b56bcb1df0,deterministic_auxiliary,source_observable_signal_date,anchor_signal_date,instrument_id,"{""stock_rps_60d"": ["">="", 0.95], ""stock_rps_minus_industry_rps_60d"": ["">="", 0.1]}","{""stock_rps_60d"": ["">="", 0.95], ""stock_rps_minus_industry_rps_60d"": ["">="", 0.1]}",a43306f7d10492edf3ef9c4eb4a5b0cfa8717f40bb0d2c419c6284c57b4f62ed,9d34240adc79dc9aff1fa9ad3ea34cf6eabf94a00a533d5f2f928fe9076cb9ae,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r02_precision_momentum_rps,r02_family_precision,r02_family_precision,r02_family_precision_frozen_family_occurrence,ep4/outputs/r02_family_precision_forward_return_stats_v1/cache/r02_family_action_time_panel.parquet,0eb74bf673db2c4a116242c59eb3332551fd6d3be4dcf62e2053b21531a07ceb,upstream_family_occurrence,source_observable_signal_date,trade_date,instrument_id,"{""base_action_time_eligible_flag"": true, ""family_id"": ""momentum_rps"", ""feature_complete_flag"": true, ""signal_occurs"": true}","{""base_action_time_eligible_flag"": true, ""family_id"": ""momentum_rps"", ""feature_complete_flag"": true, ""signal_occurs"": true}",e465596749061916151f8e11c6f260870d93d2f35df35298e54a83f1bff8b43d,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r02_precision_oscillator,r02_family_precision,r02_family_precision,r02_family_precision_frozen_family_occurrence,ep4/outputs/r02_family_precision_forward_return_stats_v1/cache/r02_family_action_time_panel.parquet,0eb74bf673db2c4a116242c59eb3332551fd6d3be4dcf62e2053b21531a07ceb,upstream_family_occurrence,source_observable_signal_date,trade_date,instrument_id,"{""base_action_time_eligible_flag"": true, ""family_id"": ""oscillator"", ""feature_complete_flag"": true, ""signal_occurs"": true}","{""base_action_time_eligible_flag"": true, ""family_id"": ""oscillator"", ""feature_complete_flag"": true, ""signal_occurs"": true}",edbdf72edac63501cc28315e8a36ed3b03169d0b9c2fcedbf828e4119cb48aaf,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r02_precision_price_trend,r02_family_precision,r02_family_precision,r02_family_precision_frozen_family_occurrence,ep4/outputs/r02_family_precision_forward_return_stats_v1/cache/r02_family_action_time_panel.parquet,0eb74bf673db2c4a116242c59eb3332551fd6d3be4dcf62e2053b21531a07ceb,upstream_family_occurrence,source_observable_signal_date,trade_date,instrument_id,"{""base_action_time_eligible_flag"": true, ""family_id"": ""price_trend"", ""feature_complete_flag"": true, ""signal_occurs"": true}","{""base_action_time_eligible_flag"": true, ""family_id"": ""price_trend"", ""feature_complete_flag"": true, ""signal_occurs"": true}",65d4eec422589a6bfa5bba5ec99b7d24eecfb9a158402bbaa5d710c6853f7fe5,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
r02_precision_pullback_drawdown,r02_family_precision,r02_family_precision,r02_family_precision_frozen_family_occurrence,ep4/outputs/r02_family_precision_forward_return_stats_v1/cache/r02_family_action_time_panel.parquet,0eb74bf673db2c4a116242c59eb3332551fd6d3be4dcf62e2053b21531a07ceb,upstream_family_occurrence,source_observable_signal_date,trade_date,instrument_id,"{""base_action_time_eligible_flag"": true, ""family_id"": ""pullback_drawdown"", ""feature_complete_flag"": true, ""signal_occurs"": true}","{""base_action_time_eligible_flag"": true, ""family_id"": ""pullback_drawdown"", ""feature_complete_flag"": true, ""signal_occurs"": true}",ad7e45cdfd4766e1cf5dfa679090b0bb4e0147315af32d53cb905cb1d7ae257a,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,episode_gap_trading_days=20,train,promotable,no_known_oos_leakage,
