source_id,source_root,required_artifacts_present,source_validation_status,source_hash,adapter_id,source_promotability_default,source_readiness_status,unavailable_reason
r02_family_precision,ep4/outputs/r02_family_precision_forward_return_stats_v1,True,not_applicable,5bdb3fdec29fedfcddd688271fb32946b815c217efcb8e1c40db6acd4c08c302,r02_family_precision_frozen_family_occurrence,promotable_if_definition_train_frozen,available,
r02_evidence_family,ep4/outputs/r02_evidence_family_discovery_v1,True,not_applicable,9416d4ad079d9b829464919f709f7ed1f20780471f1f35b658d5391e7b857033,r02_evidence_family,descriptive_lead_only_adapter_not_implemented_v1,available,
r03b_signal_sequence,ep4/outputs/r03b_signal_sequence_big_winner_path_diagnostic_v1,True,not_applicable,fd13420cdfb837ff027882d683fd78f3e7cce2f241f307421c4cc26d1d16e243,r03b_signal_sequence,descriptive_lead_only_adapter_not_implemented_v1,available,
r03c_family_set_pooling,ep4/outputs/r03c_price_aware_kth_fresh_family_set_pooling_diagnostic_v1,True,not_applicable,b5e81e80cea6fa5ef41cba4f81381131dee389b1dcbacb26cbf8ca207e73dc50,r03c_config_frozen_family_set_pool,conditional_promotable_if_config_frozen,available,
r02_winner_anchored_v2,ep4/outputs/r02_winner_anchored_structure_profile_discovery_v2,True,not_applicable,fef734469959ec14f3b02c06fd41998750f5fea8c7b5fbc66f4946dc38582a14,r02_winner_anchored_v2,descriptive_lead_only_winner_anchored,available,
r01_pre60_indicator_search_v2,ep4/outputs/r01_big_winner_pre60_indicator_search_v2,True,not_applicable,5e92ad31a966b557b9092d6bdb2b15890eaa9826787d4a8e075ce63e1fd9acad,r01_pre60_indicator_search_v2,descriptive_lead_only_winner_anchored,available,
r01_post30_indicator_search_v1,ep4/outputs/r01_big_winner_post30_indicator_search_v1,True,not_applicable,376ee66515ec6e8be0116f4b57030947c3ea7445858e2235403ce0b76ab6ebf6,r01_post30_indicator_search_v1,descriptive_lead_only_winner_anchored,available,
