selection_stage,split_used,pool_family_id,candidate_pool_id,selection_metric_name,selection_metric_value,selection_rank,z_reference_set_id,z_reference_set_size,selected_flag,rejection_reason
train_pool_selection,train,r04_deterministic_auxiliary,r04_rps95_industry80,train_pool_quality_score,3.391303288421357,1,r04_deterministic_auxiliary,4,True,
train_pool_selection,train,r04_deterministic_auxiliary,r04_rps95_money80,train_pool_quality_score,2.3055104244214344,2,r04_deterministic_auxiliary,4,False,lower_train_score
train_pool_selection,train,r04_deterministic_auxiliary,r04_rps95,train_pool_quality_score,0.951878336385902,3,r04_deterministic_auxiliary,4,False,lower_train_score
train_pool_selection,train,r04_deterministic_auxiliary,r04_rps95_industry_relative10,train_pool_quality_score,-6.744845895382538,4,r04_deterministic_auxiliary,4,False,failed_train_gate
train_pool_selection,train,r02_family_precision,r02_precision_volume_money,train_pool_quality_score,2.543333123190758,1,r02_family_precision,7,True,
train_pool_selection,train,r02_family_precision,r02_precision_volatility_band,train_pool_quality_score,1.6186828855597692,2,r02_family_precision,7,False,lower_train_score
train_pool_selection,train,r02_family_precision,r02_precision_momentum_rps,train_pool_quality_score,0.8309339503008153,3,r02_family_precision,7,False,lower_train_score
train_pool_selection,train,r02_family_precision,r02_precision_pullback_drawdown,train_pool_quality_score,0.5575833033732646,4,r02_family_precision,7,False,lower_train_score
train_pool_selection,train,r02_family_precision,r02_precision_oscillator,train_pool_quality_score,-1.0746515763155555,5,r02_family_precision,7,False,lower_train_score
train_pool_selection,train,r02_family_precision,r02_precision_range_breakout,train_pool_quality_score,-1.8664012628528606,6,r02_family_precision,7,False,lower_train_score
train_pool_selection,train,r02_family_precision,r02_precision_price_trend,train_pool_quality_score,-2.609480423256199,7,r02_family_precision,7,False,lower_train_score
